Customer_ID,Total_Spending,Complaint_Frequency
C00132,1069683.55,3.0
C00133,423088.85,1.0
C00134,1221130.27,1.0
C00135,638116.47,2.0
C00136,1112658.3,1.0
C00137,838508.29,2.0
C00138,740900.93,3.0
C00139,193554.94,0.0
C00140,196914.7,0.0
C00141,200314.16999999998,2.0
C00142,402296.83999999997,1.0
C00143,582474.66,1.0
C00144,613085.26,1.0
C00145,1252411.36,1.0
C00146,2624666.37,0.0
C00147,467587.35,0.0
C00148,714893.36,0.0
C00149,85109.12,0.0
C00150,63869.79000000001,1.0
C00151,477446.11,4.0
C00152,186452.93,2.0
C00153,347270.9,0.0
C00154,80042.56999999999,1.0
C00155,648822.8400000001,2.0
C00156,767367.67,3.0
C00157,583692.05,2.0
C00158,816507.51,4.0
C00159,316919.07,1.0
C00160,614327.69,0.0
C00161,797214.33,1.0
C00163,631419.27,2.0
C00164,814149.96,1.0
C00165,571539.88,1.0
C00166,2268655.8000000003,3.0
C00167,406481.91000000003,2.0
C00168,1212137.1199999999,1.0
C00169,262564.65,4.0
C00170,983918.7,0.0
C00171,476550.3,1.0
C00172,622406.84,2.0
C00173,1304879.1300000001,3.0
C00174,825905.69,3.0
C00175,1281799.04,1.0
C00176,1175737.5,2.0
C00177,631930.4,1.0
C00178,654907.8,1.0
C00179,323098.05,0.0
C00180,720565.0900000001,0.0
C00181,786823.12,0.0
C00182,730905.19,2.0
C00183,420436.02,1.0
C00184,1076797.04,0.0
C00185,1491891.92,1.0
C00186,1993931.51,0.0
C00187,739795.37,1.0
C00188,661689.73,3.0
C00189,767050.63,1.0
C00190,257164.28,0.0
C00191,533366.09,2.0
C00192,819391.63,0.0
C00193,151698.44,0.0
C00194,460658.6,1.0
C00195,110220.52999999998,2.0
C00196,528867.93,0.0
C00197,239475.61,0.0
C00198,32077.63,4.0
C00199,172993.63,3.0
C00200,805809.5800000001,0.0
C00201,514316.07,1.0
C00202,426405.33,3.0
C00203,302959.45,0.0
C00204,1418328.03,1.0
C00205,1866515.04,1.0
C00206,733133.3200000001,0.0
C00207,664546.17,1.0
C00208,996374.8200000001,0.0
C00209,1527030.99,0.0
C00210,362468.01,2.0
C00211,697081.95,3.0
C00212,904431.76,2.0
C00213,1320262.53,4.0
C00214,727388.84,0.0
C00215,1693253.08,2.0
C00216,1218462.5,1.0
C00217,548704.63,2.0
C00218,502805.03,1.0
C00219,551454.01,2.0
C00220,382545.19,1.0
C00221,1639972.72,0.0
C00222,639415.46,0.0
C00223,273063.85,2.0
C00224,169501.46000000002,0.0
C00225,1340542.74,2.0
C00226,376106.82,1.0
C00227,418528.04,1.0
C00228,1110672.86,2.0
C00229,255260.06,0.0
C00230,192371.31,0.0
C00231,753621.71,1.0
C00232,1415354.31,0.0
C00233,503843.07,1.0
C00234,436971.24,0.0
C00235,10607.24,1.0
C00236,575572.96,0.0
C00237,1000800.6100000001,0.0
C00238,1050631.46,0.0
C00239,553085.11,2.0
C00240,1396074.07,0.0
C00241,750395.69,0.0
C00242,494589.56,3.0
C00243,374641.13999999996,1.0
C00244,268104.9,1.0
C00245,550734.66,0.0
C00246,683001.38,2.0
C00247,804224.78,1.0
C00248,732415.36,1.0
C00249,500207.67000000004,1.0
C00250,354110.70999999996,3.0
C00251,1283868.8699999999,1.0
C00252,605322.43,1.0
C00253,425510.10000000003,1.0
C00254,10475.880000000001,0.0
C00255,1342401.44,0.0
C00256,400363.37,2.0
C00257,1145500.18,0.0
C00258,1729020.27,1.0
C00260,266968.45999999996,1.0
C00261,1341405.19,0.0
C00262,813256.78,0.0
C00263,693109.42,1.0
C00264,374273.70999999996,0.0
C00265,667468.48,0.0
C00266,837452.97,2.0
C00267,957185.5,1.0
C00268,193736.78999999998,1.0
C00269,1040810.23,0.0
C00270,291839.84,2.0
C00271,577277.45,0.0
C00272,265186.58,3.0
C00273,459677.78,2.0
C00274,292542.25,0.0
C00275,575026.95,0.0
C00276,105011.46,0.0
C00277,417801.39,0.0
C00278,465837.94000000006,2.0
C00279,65918.25,1.0
C00280,56872.350000000006,1.0
C00281,189065.5,4.0
C00282,710708.42,0.0
C00283,1150540.27,2.0
C00284,76340.17,0.0
C00285,725576.83,1.0
C00286,1674290.23,1.0
C00287,182270.16999999998,1.0
C00288,597984.38,1.0
C00289,1250531.19,1.0
C00290,1004685.55,2.0
C00291,849192.91,1.0
C00292,159537.27,2.0
C00293,160798.56,1.0
C00294,357453.04,3.0
C00295,506499.08,0.0
C00297,404045.88,2.0
C00298,1034405.43,1.0
C00299,800985.62,1.0
C00301,91177.99,3.0
C00302,1360068.45,2.0
C00303,1753430.69,1.0
C00304,725975.61,0.0
C00305,281511.44,0.0
C00306,1114070.96,1.0
C00307,1788851.46,3.0
C00308,2261549.61,0.0
C00309,914098.23,1.0
C00310,542056.64,0.0
C00311,1527242.0899999999,2.0
C00312,237653.97,1.0
C00313,1099561.39,0.0
C00314,214447.84,2.0
C00315,101555.75,1.0
C00316,298935.92,1.0
C00317,649917.13,2.0
C00318,723131.85,0.0
C00319,1532268.88,1.0
C00320,297386.35,0.0
C00321,1669457.3599999999,2.0
C00322,377914.06,0.0
C00323,667408.99,0.0
C00324,382489.69,1.0
C00325,513128.88,0.0
C00326,1033229.6599999999,0.0
C00327,902576.58,1.0
C00328,710401.4400000001,1.0
C00329,848443.81,1.0
C00330,630942.1,3.0
C00331,173255.30000000002,0.0
C00332,385164.37,0.0
C00333,841136.27,1.0
C00334,833324.23,0.0
C00335,751963.59,1.0
C00336,1285069.4,1.0
C00337,735667.55,1.0
C00338,31913.239999999998,5.0
C00339,436653.09,1.0
C00340,1067039.37,1.0
C00341,248137.22000000003,0.0
C00342,618129.53,3.0
C00343,340288.3,1.0
C00344,491074.05,0.0
C00345,145994.52,0.0
C00346,1300846.4200000002,1.0
C00347,58779.35,2.0
C00348,612817.48,2.0
C00349,237280.52000000002,1.0
C00350,568598.71,0.0
C00351,573086.83,1.0
C00352,481796.04,1.0
C00353,306634.14,4.0
C00354,114709.66,0.0
C00355,235662.08000000002,1.0
C00356,1067109.72,1.0
C00357,278351.74,3.0
C00358,672090.52,1.0
C00359,710239.6299999999,2.0
C00360,380170.33999999997,4.0
C00361,1044526.73,3.0
C00362,718082.96,1.0
C00363,1170159.43,0.0
C00364,934377.24,1.0
C00365,93768.93,0.0
C00366,667338.9299999999,1.0
C00367,1359838.22,2.0
C00368,376298.41000000003,0.0
C00369,230617.04,0.0
C00370,1252372.13,1.0
C00371,238110.16,0.0
C00372,428829.4,0.0
C00373,1570468.6,1.0
C00374,226382.30000000002,1.0
C00375,579811.23,1.0
C00376,98102.5,0.0
C00377,381243.54000000004,2.0
C00378,861200.8099999999,2.0
C00379,122565.01000000001,2.0
C00380,709699.13,2.0
C00382,697922.4299999999,1.0
C00383,78555.4,1.0
C00384,1519599.54,0.0
C00385,244790.4,0.0
C00386,744312.85,0.0
C00387,1227230.15,0.0
C00388,263645.65,0.0
C00389,102458.17,1.0
C00390,742308.5800000001,3.0
C00391,584564.44,0.0
C00392,1570906.8900000001,1.0
C00393,672880.27,1.0
C00394,1620268.3599999999,0.0
C00395,412958.48,1.0
C00396,737500.1,0.0
C00397,1234586.43,1.0
C00398,483476.9,1.0
C00399,1109672.78,0.0
C00400,45683.33,1.0
C00401,610747.81,2.0
C00402,446812.24,1.0
C00403,656800.1799999999,0.0
C00404,400660.41000000003,2.0
C00405,332340.20999999996,1.0
C00406,451757.6699999999,1.0
C00407,458568.13999999996,0.0
C00408,1112487.1400000001,0.0
C00409,834170.5900000001,1.0
C00410,1355715.06,1.0
C00411,1176914.42,2.0
C00412,1062418.01,2.0
C00413,938867.05,2.0
C00414,1556178.42,0.0
C00415,1080468.94,2.0
C00416,581670.06,3.0
C00417,821777.26,2.0
C00418,2007270.11,1.0
C00419,486699.25,1.0
C00421,1112623.43,0.0
C00422,225264.74,0.0
C00423,17254.730000000003,0.0
C00424,1362566.19,1.0
C00425,322824.69000000006,1.0
C00426,476265.63,1.0
C00427,20160.9,1.0
C00428,170515.82,2.0
C00429,1055332.57,0.0
C00430,821840.64,1.0
C00431,928992.83,1.0
C00432,299003.79000000004,0.0
C00433,43768.2,0.0
C00434,1425884.95,0.0
C00436,995511.99,2.0
C00437,606890.75,1.0
C00438,426220.86,1.0
C00439,884355.09,0.0
C00440,685686.47,1.0
C00441,218729.84,1.0
C00442,242105.44,0.0
C00443,706624.36,0.0
C00444,781744.69,3.0
C00445,942427.52,0.0
C00446,810695.29,3.0
C00447,1027473.3500000001,0.0
C00448,301450.72,0.0
C00449,664879.53,3.0
C00450,478200.3,1.0
C00451,874695.49,0.0
C00452,373134.83,0.0
C00453,1042624.54,1.0
C00454,1398051.43,0.0
C00455,813652.43,0.0
C00456,1526744.61,0.0
C00457,296155.27999999997,2.0
C00458,748398.88,0.0
C00459,139046.73,1.0
C00460,572823.24,2.0
C00461,958091.3300000001,2.0
C00462,189512.97999999998,0.0
C00463,268367.46,1.0
C00464,980976.44,2.0
C00465,1397420.17,1.0
C00466,1056793.17,2.0
C00467,581641.88,1.0
C00468,702666.72,1.0
C00469,1088796.94,1.0
C00470,264730.1,1.0
C00471,1110171.34,4.0
C00472,681692.49,0.0
C00473,998332.71,0.0
C00474,1206798.3599999999,2.0
C00475,971198.0700000001,3.0
C00476,945786.0,1.0
C00477,132380.56,3.0
C00478,131855.09999999998,2.0
C00479,1319823.42,1.0
C00480,401419.80000000005,0.0
C00481,706043.16,1.0
C00482,326298.54,2.0
C00483,171449.89,4.0
C00484,692985.35,0.0
C00485,483048.27,0.0
C00486,938256.22,1.0
C00487,510207.8,1.0
C00488,801237.8,2.0
C00489,709445.27,0.0
C00490,171170.71000000002,3.0
C00491,725000.82,2.0
C00492,29241.65,0.0
C00493,476404.73000000004,0.0
C00494,642245.26,0.0
C00495,235999.5,2.0
C00496,769706.81,0.0
C00497,419280.16,3.0
C00498,45604.95,1.0
C00499,319992.88,0.0
C00500,911961.54,1.0
C00501,1683926.16,0.0
C00503,1627218.06,1.0
C00504,870708.28,1.0
C00505,224521.46000000002,3.0
C00506,352719.4,3.0
C00507,868809.9600000001,0.0
C00508,1529411.61,2.0
C00509,604190.34,0.0
C00510,117790.93,2.0
C00511,410582.86,0.0
C00512,850726.93,0.0
C00513,671800.87,1.0
C00514,267100.81,1.0
C00515,213019.57,2.0
C00516,386353.0,3.0
C00517,481329.19,3.0
C00518,972355.21,1.0
C00519,299721.3,2.0
C00521,170005.04,3.0
C00522,24897.48,2.0
C00523,669474.26,0.0
C00524,378411.69,0.0
C00525,149126.7,1.0
C00526,569840.96,1.0
C00527,182169.24000000002,0.0
C00528,524575.92,1.0
C00529,224937.05,2.0
C00530,604567.39,0.0
C00531,232043.64,0.0
C00532,842123.58,1.0
C00533,245074.32,0.0
C00534,515880.38,1.0
C00535,1560505.75,1.0
C00536,1941181.75,0.0
C00537,791765.64,0.0
C00538,340174.77999999997,0.0
C00539,677903.9,2.0
C00540,558834.77,0.0
C00541,230551.52,1.0
C00542,166706.78,1.0
C00543,687091.22,1.0
C00544,734274.33,0.0
C00545,504106.37,1.0
C00546,699824.9500000001,2.0
C00547,825521.86,3.0
C00548,242750.56,0.0
C00549,1082277.31,4.0
C00550,571842.09,0.0
C00551,878225.27,2.0
C00552,406153.95,1.0
C00553,596007.38,2.0
C00554,282250.20999999996,0.0
C00555,1287504.33,0.0
C00556,473334.05,3.0
C00557,618065.9299999999,2.0
C00558,669298.46,2.0
C00559,680920.28,1.0
C00560,1041656.48,0.0
C00561,622574.14,1.0
C00562,45733.84,1.0
C00563,685222.75,2.0
C00564,1593418.51,0.0
C00565,926303.63,0.0
C00566,507304.58999999997,2.0
C00567,1566722.48,1.0
C00568,1049755.0,0.0
C00569,905044.19,4.0
C00570,585783.85,2.0
C00571,1053658.92,1.0
C00572,735396.0,2.0
C00573,499693.83999999997,0.0
C00574,1919789.49,2.0
C00575,2056157.25,2.0
C00576,1116535.77,2.0
C00577,252513.08000000002,0.0
C00578,767359.32,0.0
C00579,1140594.54,2.0
C00580,363543.16,2.0
C00581,832934.54,2.0
C00582,1297876.73,2.0
C00583,691433.26,3.0
C00584,248274.08000000002,0.0
C00585,641142.27,1.0
C00586,1079892.07,3.0
C00587,1127239.65,0.0
C00588,200042.16,1.0
C00589,1337178.98,1.0
C00590,707246.2000000001,1.0
C00591,464100.01999999996,2.0
C00592,499934.37,0.0
C00593,140624.85,0.0
C00594,303256.02,1.0
C00595,401123.13,1.0
C00596,661677.91,1.0
C00598,791569.64,0.0
C00599,621001.52,0.0
C00600,998016.84,1.0
