Transaction_ID,Sales_Date,Order_ID,Customer_ID,Product_ID,Employee_ID,Region_ID,Quantity,Unit_Price,Discount_Pct,Gross_Revenue,Discount_Value,Sales_Value,Product_Cost,Profit
ST0000036,3/30/2025,O002202,C00179,P0054,E0005,R005,2,17892.54,0.05,35785.07,1789.25,33995.82,19022.91,14972.91
ST0000037,1/9/2025,O000262,C00352,P0079,E0020,R001,8,26371.58,0.2,210972.65,42194.53,168778.12,173796.6,-5018.48
ST0000038,3/7/2025,O002874,C00202,P0027,E0006,R002,3,19739.92,0.2,59219.77,11843.95,47375.81,33053.79,14322.02
ST0000039,8/19/2026,O001322,C00008,P0013,E0024,R002,4,11235.44,0.1,44941.75,4494.18,40447.58,38359.32,2088.26
ST0000040,12/30/2025,O000467,C00359,P0084,E0013,R004,7,39316.4,0.25,275214.82,68803.7,206411.11,190578.19,15832.92
ST0000041,9/26/2025,O002187,C00092,P0020,E0033,R008,1,42508.55,0.1,42508.55,4250.85,38257.69,26576.26,11681.43
ST0000042,7/3/2025,O001845,C00214,P0115,E0036,R004,1,39403.97,0,39403.97,0,39403.97,21707.96,17696.01
ST0000044,4/30/2025,O001196,C00047,P0068,E0026,R006,7,25700.93,0.15,179906.5,26985.98,152920.53,108315.57,44604.96
ST0000045,4/28/2025,O001202,C00132,P0007,E0016,R002,4,25469.49,0.1,101877.96,10187.8,91690.16,67325.19,24364.98
ST0000046,11/2/2025,O002973,C00419,P0110,E0014,R005,5,440.6,0,2203.02,0,2203.02,1707.37,495.65
ST0000047,2/18/2026,O001770,C00399,P0056,E0012,R004,3,47636.69,0.1,142910.07,14291.01,128619.06,76882.52,51736.54
ST0000048,3/12/2026,O000896,C00054,P0128,E0010,R004,4,5676.36,0.05,22705.44,1135.27,21570.17,12544.9,9025.27
ST0000049,4/9/2025,O002386,C00448,P0128,E0022,R003,6,5448.84,0,32693.03,0,32693.03,18817.35,13875.68
ST0000050,4/19/2025,O002464,C00022,P0038,E0029,R006,8,29480.74,0.15,235845.9,35376.88,200469.01,166197.2,34271.81
ST0000051,4/9/2026,O001612,C00533,P0144,E0037,R004,4,20481.69,0,81926.76,0,81926.76,45191.11,36735.65
ST0000052,1/17/2026,O002314,C00304,P0023,E0034,R001,6,29137.22,0.2,174823.35,34964.67,139858.68,114260.41,25598.27
ST0000053,7/20/2026,O002712,C00308,P0078,E0030,R003,3,21061.17,0,63183.52,0,63183.52,47023.39,16160.13
ST0000054,1/17/2026,O000929,C00144,P0045,E0031,R001,5,55267.29,0.25,276336.46,69084.11,207252.34,157747.6,49504.74
ST0000055,7/13/2026,O001528,C00575,P0018,E0023,R004,6,36942.27,0.05,221653.61,11082.68,210570.93,181707.48,28863.45
ST0000056,3/30/2025,O002202,C00179,P0064,E0005,R005,7,17837.86,0,124865.02,0,124865.02,69442.11,55422.91
ST0000057,7/21/2026,O001912,C00182,P0054,E0033,R008,5,16730.29,0.1,83651.44,8365.14,75286.3,47557.28,27729.02
ST0000058,3/16/2026,O001929,C00269,P0066,E0009,R002,7,28079.86,0,196559.02,0,196559.02,119237.7,77321.32
ST0000059,7/23/2025,O001415,C00524,P0147,E0038,R002,6,50947.71,0.2,305686.28,61137.26,244549.02,168123.88,76425.14
ST0000060,11/27/2025,O000338,C00525,P0125,E0007,R002,5,13859.28,0.15,69296.42,10394.46,58901.96,59179.45,-277.49
ST0000061,4/22/2025,O000471,C00439,P0109,E0013,R004,2,43572.04,0.05,87144.07,4357.2,82786.87,55423.81,27363.06
ST0000062,5/24/2026,O000054,C00373,P0042,E0029,R006,3,20263.55,0.2,60790.66,12158.13,48632.53,41167.79,7464.74
ST0000063,4/10/2025,O000386,C00008,P0104,E0039,R005,2,4094.55,0.05,8189.1,409.45,7779.64,4701.68,3077.96
ST0000064,2/2/2026,O000406,C00064,P0059,E0039,R005,5,25447.88,0.2,127239.39,25447.88,101791.51,82370.72,19420.79
ST0000065,6/26/2026,O001965,C00169,P0099,E0004,R008,1,16671.18,0.05,16671.18,833.56,15837.62,11954.26,3883.36
ST0000066,1/29/2025,O002304,C00146,P0053,E0040,R005,8,10625.8,0.05,85006.41,4250.32,80756.09,52803.13,27952.96
ST0000067,4/2/2025,O000106,C00348,P0033,E0031,R001,3,30169.98,0.05,90509.95,4525.5,85984.45,60494.33,25490.12
ST0000068,1/22/2025,O002722,C00006,P0062,E0003,R001,4,32047.51,0,128190.05,0,128190.05,81142.24,47047.81
ST0000069,1/24/2025,O000621,C00282,P0109,E0006,R002,6,45882.96,0.2,275297.79,55059.56,220238.23,166271.42,53966.81
ST0000070,4/5/2025,O000122,C00561,P0148,E0040,R005,7,17547.07,0,122829.51,0,122829.51,96229.04,26600.47
ST0000071,2/23/2025,O000478,C00513,P0143,E0001,R002,4,37421.6,0.1,149686.41,14968.64,134717.77,91033.84,43683.93
ST0000072,3/11/2025,O001883,C00319,P0032,E0023,R004,7,24114.24,0.1,168799.68,16879.97,151919.71,116897.64,35022.07
ST0000073,8/29/2026,O001784,C00393,P0020,E0041,R002,1,40639.91,0.05,40639.91,2032,38607.92,26576.26,12031.65
ST0000074,4/4/2025,O001615,C00303,P0062,E0026,R006,5,30185.46,0,150927.3,0,150927.3,101427.81,49499.5
ST0000075,6/9/2025,O000551,C00014,P0033,E0020,R001,3,30602.98,0,91808.93,0,91808.93,60494.33,31314.59
ST0000076,7/6/2025,O001101,C00395,P0140,E0004,R008,1,30870.42,0,30870.42,0,30870.42,18074.01,12796.42
ST0000077,6/9/2026,O002971,C00548,P0113,E0029,R006,7,1801.92,0.1,12613.44,1261.34,11352.09,10025.6,1326.5
ST0000078,7/15/2026,O002000,C00396,P0092,E0009,R002,1,55023.75,0.25,55023.75,13755.94,41267.81,33400.94,7866.87
ST0000079,7/7/2026,O001853,C00368,P0019,E0037,R004,6,18262.8,0.05,109576.79,5478.84,104097.95,98427.79,5670.16
ST0000080,9/30/2025,O001131,C00227,P0104,E0039,R005,2,3944.75,0,7889.49,0,7889.49,4701.68,3187.81
ST0000081,7/11/2026,O002527,C00555,P0043,E0023,R004,4,43824.96,0.25,175299.86,43824.96,131474.89,111307.25,20167.65
ST0000082,1/4/2026,O001436,C00399,P0017,E0038,R002,8,28303.52,0.1,226428.13,22642.81,203785.32,189791.19,13994.13
ST0000083,6/17/2025,O001477,C00216,P0112,E0001,R002,5,32484.54,0.25,162422.72,40605.68,121817.04,112185.6,9631.44
ST0000084,1/8/2025,O001544,C00382,P0014,E0023,R004,2,23117.13,0,46234.26,0,46234.26,36871.01,9363.26
ST0000085,1/14/2026,O002006,C00414,P0033,E0013,R004,7,29214.53,0.15,204501.73,30675.26,173826.47,141153.44,32673.03
ST0000086,4/5/2026,O002395,C00501,P0092,E0025,R004,7,59611.11,0.2,417277.79,83455.56,333822.23,233806.57,100015.66
ST0000087,4/8/2025,O001372,C00222,P0092,E0041,R002,3,58152.79,0.1,174458.37,17445.84,157012.53,100202.82,56809.72
ST0000088,5/26/2026,O002808,C00122,P0113,E0024,R002,7,1855.17,0.05,12986.16,649.31,12336.85,10025.6,2311.25
ST0000090,10/21/2025,O002243,C00532,P0083,E0024,R002,1,55717.99,0.2,55717.99,11143.6,44574.39,31630.3,12944.1
ST0000091,11/14/2025,O001371,C00481,P0088,E0003,R001,2,26719.06,0,53438.13,0,53438.13,40097,13341.13
ST0000092,12/29/2025,O001111,C00228,P0074,E0002,R002,5,16103.58,0.1,80517.88,8051.79,72466.09,59018.32,13447.77
ST0000093,5/30/2025,O001971,C00293,P0037,E0031,R001,3,30426.88,0.15,91280.63,13692.1,77588.54,72994.09,4594.45
ST0000094,11/4/2025,O000937,C00168,P0147,E0034,R001,1,49709.73,0.25,49709.73,12427.43,37282.3,28020.65,9261.65
ST0000095,7/2/2025,O000988,C00217,P0060,E0009,R002,2,55837.58,0.05,111675.17,5583.76,106091.41,67250.15,38841.26
ST0000096,9/30/2025,O001131,C00227,P0097,E0039,R005,2,11137.05,0.1,22274.1,2227.41,20046.69,13710.15,6336.54
ST0000097,5/26/2025,O001198,C00412,P0149,E0003,R001,4,34947.38,0,139789.51,0,139789.51,97736.9,42052.61
ST0000098,1/8/2025,O000469,C00421,P0067,E0009,R002,8,40403.37,0.1,323226.94,32322.69,290904.24,261567.14,29337.11
ST0000099,5/7/2026,O002416,C00546,P0082,E0040,R005,4,28297.84,0.25,113191.37,28297.84,84893.53,65629.64,19263.89
ST0000100,1/17/2026,O002819,C00508,P0003,E0030,R003,5,2233.14,0.05,11165.7,558.28,10607.41,8533.84,2073.57
ST0000101,4/9/2025,O001170,C00142,P0063,E0023,R004,8,20639.14,0.1,165113.11,16511.31,148601.8,136227.48,12374.31
ST0000102,5/5/2026,O001741,C00413,P0025,E0009,R002,4,1922.75,0.15,7690.99,1153.65,6537.34,4525.06,2012.29
ST0000103,7/10/2026,O001532,C00100,P0129,E0020,R001,1,15576.27,0.2,15576.27,3115.25,12461.02,9857.48,2603.54
ST0000104,10/19/2025,O002854,C00485,P0138,E0001,R002,8,26068.97,0,208551.75,0,208551.75,149108.01,59443.75
ST0000105,1/30/2026,O001279,C00464,P0053,E0011,R008,2,10124.66,0,20249.32,0,20249.32,13200.78,7048.54
ST0000106,7/1/2025,O001025,C00251,P0059,E0016,R002,7,24570.56,0.1,171993.91,17199.39,154794.52,115319.01,39475.51
ST0000107,11/7/2025,O000700,C00536,P0027,E0020,R001,1,18888.14,0.15,18888.14,2833.22,16054.92,11017.93,5036.99
ST0000108,12/22/2025,O000318,C00094,P0141,E0020,R001,8,18044.48,0.15,144355.87,21653.38,122702.49,130812.07,-8109.58
ST0000109,12/26/2025,O002751,C00085,P0104,E0036,R004,6,4004.84,0,24029.03,0,24029.03,14105.05,9923.98
ST0000110,6/17/2026,O001355,C00115,P0117,E0034,R001,1,21406,0.15,21406,3210.9,18195.1,17473.32,721.78
ST0000111,8/2/2026,O002670,C00559,P0001,E0001,R002,3,30976.99,0.25,92930.97,23232.74,69698.22,52443.63,17254.59
ST0000112,8/31/2025,O002369,C00567,P0051,E0024,R002,4,8737.31,0.2,34949.25,6989.85,27959.4,19624.97,8334.43
ST0000113,11/3/2025,O000296,C00557,P0096,E0018,R003,5,34477.46,0.2,172387.32,34477.46,137909.86,120734.15,17175.71
ST0000114,8/9/2025,O000804,C00217,P0004,E0022,R003,7,30108.46,0,210759.19,0,210759.19,169314.57,41444.62
ST0000115,3/15/2025,O000800,C00585,P0014,E0025,R004,3,24058.77,0.1,72176.3,7217.63,64958.67,55306.51,9652.16
ST0000116,7/3/2026,O001374,C00475,P0086,E0019,R002,1,21543.2,0.25,21543.2,5385.8,16157.4,17282.96,-1125.56
ST0000117,10/25/2025,O000566,C00392,P0044,E0032,R001,5,759.8,0,3798.98,0,3798.98,2016,1782.98
ST0000118,11/25/2025,O001185,C00102,P0040,E0035,R002,1,27543.19,0.1,27543.19,2754.32,24788.87,17361.01,7427.85
ST0000119,3/9/2026,O000151,C00238,P0027,E0004,R008,6,18111.69,0.05,108670.16,5433.51,103236.65,66107.58,37129.07
ST0000120,6/16/2025,O002412,C00491,P0145,E0030,R003,3,3043.47,0.25,9130.42,2282.61,6847.82,6990.95,-143.13
ST0000121,1/22/2025,O001646,C00418,P0109,E0021,R001,4,42537.09,0.2,170148.36,34029.67,136118.69,110847.62,25271.07
ST0000123,6/14/2025,O001139,C00333,P0010,E0031,R001,1,1249.95,0,1249.95,0,1249.95,772.9,477.05
ST0000124,7/25/2026,O002405,C00519,P0034,E0036,R004,3,39316.72,0,117950.15,0,117950.15,68318.6,49631.55
ST0000125,2/22/2025,O001526,C00017,P0097,E0034,R001,3,11454.25,0,34362.75,0,34362.75,20565.22,13797.53
ST0000126,3/17/2026,O002717,C00351,P0012,E0004,R008,2,25671.19,0,51342.37,0,51342.37,42492.87,8849.5
ST0000127,10/8/2025,O001049,C00221,P0137,E0041,R002,5,26852.7,0.15,134263.49,20139.52,114123.97,123360.52,-9236.55
ST0000128,12/23/2025,O000414,C00346,P0050,E0029,R006,4,1115.32,0.05,4461.27,223.06,4238.21,2671.55,1566.65
ST0000129,7/20/2025,O000744,C00137,P0133,E0038,R002,7,5269.17,0,36884.2,0,36884.2,21127.63,15756.57
ST0000130,5/24/2025,O000880,C00508,P0041,E0012,R004,4,48554.13,0.05,194216.51,9710.83,184505.69,113468.79,71036.9
ST0000131,6/28/2025,O001375,C00600,P0106,E0009,R002,5,51741.15,0,258705.74,0,258705.74,170788.81,87916.93
ST0000132,7/1/2025,O001247,C00088,P0048,E0025,R004,7,7383.1,0.25,51681.68,12920.42,38761.26,43179.81,-4418.55
ST0000133,9/14/2025,O001221,C00461,P0114,E0017,R002,7,14167.75,0,99174.27,0,99174.27,85771.93,13402.35
ST0000134,1/25/2026,O001081,C00468,P0150,E0002,R002,7,51062.55,0.05,357437.88,17871.89,339565.98,237571.34,101994.65
ST0000135,3/7/2026,O000713,C00363,P0014,E0029,R006,6,22422.28,0.25,134533.69,33633.42,100900.27,110613.02,-9712.75
ST0000136,12/17/2025,O001859,C00130,P0122,E0020,R001,4,5740.97,0.15,22963.89,3444.58,19519.3,14161.91,5357.4
ST0000137,6/11/2025,O002254,C00188,P0093,E0014,R005,3,15949.99,0.25,47849.98,11962.5,35887.49,35251.13,636.36
ST0000138,6/4/2025,O000951,C00394,P0092,E0013,R004,7,59273.94,0,414917.57,0,414917.57,233806.57,181111
ST0000139,11/14/2025,O001371,C00481,P0046,E0003,R001,7,55385.25,0.1,387696.77,38769.68,348927.09,211122.27,137804.82
ST0000140,5/1/2026,O001520,C00418,P0086,E0039,R005,2,20679.86,0.25,41359.73,10339.93,31019.79,34565.92,-3546.12
ST0000141,8/31/2025,O001598,C00215,P0041,E0006,R002,6,48813.18,0.25,292879.11,73219.78,219659.33,170203.18,49456.15
ST0000142,1/28/2026,O002620,C00473,P0131,E0012,R004,1,39900.69,0.1,39900.69,3990.07,35910.62,34308.82,1601.8
ST0000143,7/14/2025,O001706,C00437,P0077,E0007,R002,2,474.8,0.25,949.6,237.4,712.2,831.3,-119.1
ST0000144,3/4/2026,O001514,C00285,P0057,E0014,R005,4,28487.64,0.15,113950.55,17092.58,96857.97,73498.74,23359.23
ST0000145,7/1/2026,O002859,C00286,P0095,E0002,R002,3,2045.1,0.1,6135.29,613.53,5521.76,4475.61,1046.15
ST0000146,6/8/2026,O001110,C00517,P0101,E0013,R004,7,37291.97,0.2,261043.78,52208.76,208835.03,142293.05,66541.98
ST0000147,11/7/2025,O000956,C00412,P0087,E0029,R006,4,5552.2,0.2,22208.81,4441.76,17767.05,15303.96,2463.09
ST0000148,2/13/2026,O002824,C00305,P0105,E0004,R008,3,3020.3,0.25,9060.89,2265.22,6795.67,6963.84,-168.17
ST0000149,6/12/2026,O002362,C00011,P0142,E0040,R005,6,33975.83,0,203855,0,203855,118075.48,85779.52
ST0000150,2/18/2026,O001187,C00203,P0052,E0020,R001,7,9529.2,0.15,66704.37,10005.66,56698.71,44739.33,11959.39
ST0000151,8/9/2026,O000618,C00157,P0077,E0002,R002,2,478.31,0,956.61,0,956.61,831.3,125.31
ST0000152,1/12/2025,O000642,C00126,P0118,E0001,R002,7,21784.17,0.2,152489.17,30497.83,121991.33,106969.43,15021.91
ST0000153,2/23/2026,O002562,C00079,P0141,E0041,R002,4,18470.65,0,73882.59,0,73882.59,65406.03,8476.56
ST0000154,5/20/2026,O002701,C00310,P0074,E0036,R004,7,15596.84,0.15,109177.85,16376.68,92801.17,82625.64,10175.53
ST0000155,8/12/2026,O001758,C00394,P0064,E0036,R004,1,17172.41,0,17172.41,0,17172.41,9920.3,7252.11
ST0000156,8/23/2025,O001611,C00426,P0138,E0007,R002,3,24402.47,0.1,73207.4,7320.74,65886.66,55915.5,9971.16
ST0000157,6/19/2026,O002418,C00554,P0061,E0040,R005,2,42979.79,0.05,85959.58,4297.98,81661.61,52519.91,29141.7
ST0000158,5/16/2025,O000920,C00253,P0129,E0021,R001,2,15644.27,0.25,31288.54,7822.13,23466.4,19714.96,3751.44
ST0000159,7/4/2026,O002111,C00565,P0051,E0015,R008,8,8036.52,0,64292.18,0,64292.18,39249.94,25042.23
ST0000160,8/18/2025,O000095,C00465,P0128,E0033,R008,4,5460.32,0.1,21841.29,2184.13,19657.16,12544.9,7112.26
ST0000161,5/5/2025,O000242,C00443,P0121,E0028,R006,3,11696.43,0.25,35089.3,8772.33,26316.98,21157.35,5159.63
ST0000162,6/2/2026,O000017,C00165,P0025,E0034,R001,5,2020.28,0.1,10101.42,1010.14,9091.28,5656.32,3434.96
ST0000163,7/23/2026,O001975,C00174,P0142,E0002,R002,1,33339.26,0,33339.26,0,33339.26,19679.25,13660.01
ST0000164,10/6/2025,O001584,C00535,P0071,E0018,R003,4,34881.6,0,139526.42,0,139526.42,98926.4,40600.02
ST0000165,4/9/2025,O001170,C00142,P0102,E0023,R004,4,29911.16,0.05,119644.66,5982.23,113662.43,66224.56,47437.86
ST0000166,6/8/2026,O001811,C00146,P0102,E0041,R002,3,29114.38,0.05,87343.14,4367.16,82975.98,49668.42,33307.56
ST0000167,11/1/2025,O000591,C00095,P0149,E0029,R006,3,35815.86,0.2,107447.57,21489.51,85958.06,73302.67,12655.38
ST0000169,7/2/2026,O000784,C00567,P0028,E0026,R006,8,22811.79,0.15,182494.3,27374.14,155120.15,159395.93,-4275.78
ST0000170,6/16/2025,O002412,C00491,P0077,E0030,R003,1,472.3,0.25,472.3,118.08,354.23,415.65,-61.42
ST0000171,2/24/2026,O002346,C00131,P0068,E0031,R001,2,25743,0,51486,0,51486,30947.31,20538.69
ST0000172,7/20/2025,O000744,C00137,P0106,E0038,R002,7,53768.8,0.15,376381.57,56457.24,319924.33,239104.33,80820
ST0000173,8/23/2026,O001885,C00039,P0023,E0002,R002,7,28825.23,0.2,201776.59,40355.32,161421.27,133303.81,28117.46
ST0000174,6/23/2025,O000105,C00595,P0106,E0013,R004,4,51137.06,0,204548.23,0,204548.23,136631.05,67917.18
ST0000175,8/30/2026,O002458,C00465,P0029,E0009,R002,1,37760.74,0.1,37760.74,3776.07,33984.67,23994.59,9990.07
ST0000176,10/3/2025,O000441,C00549,P0044,E0015,R008,6,763.09,0.15,4578.52,686.78,3891.74,2419.2,1472.55
ST0000177,4/14/2026,O000113,C00453,P0030,E0024,R002,7,48661.82,0,340632.72,0,340632.72,211085.27,129547.45
ST0000178,8/13/2026,O002326,C00158,P0070,E0028,R006,1,18161.13,0,18161.13,0,18161.13,10631.69,7529.44
ST0000179,3/21/2025,O000798,C00241,P0058,E0024,R002,4,28541.7,0.05,114166.78,5708.34,108458.44,75708.8,32749.65
ST0000180,1/16/2026,O000883,C00145,P0122,E0020,R001,7,6067.75,0.2,42474.28,8494.86,33979.43,24783.34,9196.09
ST0000181,5/18/2026,O000841,C00004,P0071,E0029,R006,2,35475.02,0.25,70950.05,17737.51,53212.54,49463.2,3749.33
ST0000182,6/26/2025,O002308,C00475,P0140,E0011,R008,5,30922.8,0,154613.99,0,154613.99,90370.04,64243.95
ST0000183,10/29/2025,O000292,C00078,P0112,E0024,R002,8,34035.91,0,272287.27,0,272287.27,179496.96,92790.3
ST0000184,7/5/2026,O000303,C00430,P0065,E0029,R006,2,39819.88,0,79639.76,0,79639.76,51790.35,27849.4
ST0000185,5/25/2026,O001159,C00472,P0149,E0041,R002,2,37203.27,0,74406.54,0,74406.54,48868.45,25538.09
ST0000186,2/13/2025,O001277,C00234,P0042,E0039,R005,1,20419.28,0.15,20419.28,3062.89,17356.39,13722.6,3633.79
ST0000187,1/31/2025,O001709,C00522,P0107,E0019,R002,2,7126.06,0.15,14252.12,2137.82,12114.3,12339.71,-225.41
ST0000188,2/7/2026,O000136,C00474,P0019,E0013,R004,1,18445.86,0,18445.86,0,18445.86,16404.63,2041.23
ST0000189,3/6/2026,O000500,C00447,P0052,E0005,R005,5,9536.91,0.2,47684.55,9536.91,38147.64,31956.66,6190.98
ST0000190,6/28/2025,O001349,C00329,P0078,E0024,R002,5,20844.91,0,104224.57,0,104224.57,78372.32,25852.25
ST0000191,6/24/2026,O000859,C00014,P0082,E0003,R001,4,28330.86,0,113323.45,0,113323.45,65629.64,47693.81
ST0000192,3/22/2025,O002849,C00552,P0123,E0039,R005,2,23771.55,0.15,47543.1,7131.47,40411.64,41056.04,-644.4
ST0000193,10/18/2025,O000409,C00512,P0053,E0031,R001,7,9850.73,0.05,68955.1,3447.75,65507.34,46202.74,19304.6
ST0000194,9/17/2025,O001969,C00571,P0026,E0016,R002,2,19298.97,0,38597.94,0,38597.94,29990.25,8607.69
ST0000195,4/1/2026,O000833,C00303,P0035,E0009,R002,2,11047.08,0.05,22094.17,1104.71,20989.46,16883.01,4106.45
ST0000196,3/9/2026,O000067,C00498,P0035,E0037,R004,5,11401.24,0.2,57006.19,11401.24,45604.95,42207.53,3397.42
ST0000197,6/26/2026,O000018,C00102,P0042,E0039,R005,2,20712.98,0,41425.95,0,41425.95,27445.19,13980.76
ST0000198,12/24/2025,O000543,C00137,P0137,E0009,R002,8,28628.32,0.05,229026.57,11451.33,217575.25,197376.83,20198.41
ST0000199,7/30/2026,O001299,C00336,P0035,E0024,R002,8,11431.56,0,91452.47,0,91452.47,67532.05,23920.42
ST0000200,5/22/2026,O002489,C00031,P0055,E0004,R008,7,23525.7,0.15,164679.92,24701.99,139977.93,118834.75,21143.19
ST0000201,4/20/2026,O001510,C00399,P0126,E0013,R004,7,42497.8,0.1,297484.58,29748.46,267736.13,208779.2,58956.93
ST0000202,2/14/2025,O000769,C00450,P0019,E0013,R004,4,19028.13,0,76112.53,0,76112.53,65618.53,10494
ST0000203,4/26/2026,O000154,C00166,P0128,E0020,R001,5,5537.34,0,27686.7,0,27686.7,15681.12,12005.58
ST0000205,7/18/2025,O000694,C00369,P0064,E0015,R008,3,16663.13,0.05,49989.38,2499.47,47489.91,29760.9,17729.01
ST0000206,1/29/2025,O000197,C00311,P0020,E0020,R001,4,40398.97,0.05,161595.9,8079.79,153516.1,106305.06,47211.05
ST0000207,4/30/2026,O000893,C00339,P0085,E0038,R002,1,22701.04,0.2,22701.04,4540.21,18160.83,15487.25,2673.58
ST0000208,6/9/2026,O001775,C00199,P0048,E0021,R001,7,7208.31,0.15,50458.15,7568.72,42889.42,43179.81,-290.39
ST0000209,7/18/2025,O001038,C00454,P0089,E0023,R004,6,39095.73,0.05,234574.39,11728.72,222845.67,134729.37,88116.31
ST0000210,8/22/2026,O000719,C00340,P0128,E0004,R008,5,5689.95,0,28449.73,0,28449.73,15681.12,12768.61
ST0000211,6/6/2025,O000570,C00214,P0094,E0041,R002,5,40834.48,0.25,204172.4,51043.1,153129.3,149422.86,3706.44
ST0000212,1/4/2025,O000267,C00044,P0120,E0033,R008,5,3354.62,0.05,16773.08,838.65,15934.43,12957.9,2976.53
ST0000213,1/16/2025,O001745,C00089,P0100,E0027,R008,5,45467.1,0.15,227335.5,34100.32,193235.17,141358.89,51876.29
ST0000214,9/17/2025,O000905,C00337,P0015,E0007,R002,1,29870.15,0.15,29870.15,4480.52,25389.63,17769.09,7620.53
