Invoice_ID,Order_ID,Invoice_Date,Due_Date,Net_Amount,Tax_Amount,Invoice_Amount,Invoice_Status
INV000048,O002735,2025-04-15,2025-06-14,1955.55,352,2307.55,Open
INV000049,O000438,2025-10-12,2025-10-27,458541.07,82537.39,541078.47,Open
INV000050,O001574,2025-08-04,2025-10-03,299791.54,53962.48,353754.01,Paid
INV000051,O001446,2025-03-10,2025-04-09,17824.95,3208.49,21033.44,Partially Paid
INV000052,O000725,2025-07-08,2025-09-06,181954.81,32751.86,214706.67,Partially Paid
INV000053,O002791,2026-08-04,2026-09-03,107494.51,19349.01,126843.52,Partially Paid
INV000054,O002695,2025-11-25,2026-01-09,153599.33,27647.88,181247.21,Partially Paid
INV000055,O001528,2026-07-13,2026-08-27,399888.77,71979.98,471868.74,Partially Paid
INV000056,O000246,2025-01-28,2025-02-27,40689.54,7324.12,48013.66,Open
INV000057,O002281,2025-06-12,2025-07-27,177996.21,32039.32,210035.52,Open
INV000058,O002765,2025-06-24,2025-07-09,43341.89,7801.54,51143.43,Partially Paid
INV000059,O000482,2026-05-30,2026-07-14,157114.83,28280.67,185395.5,Open
INV000060,O001508,2026-01-08,2026-01-23,110547.58,19898.56,130446.15,Paid
INV000061,O002319,2025-07-07,2025-07-22,30297.33,5453.52,35750.85,Open
INV000062,O001352,2026-04-24,2026-05-24,140178.52,25232.13,165410.65,Partially Paid
INV000063,O002465,2025-03-19,2025-05-18,32790.97,5902.37,38693.34,Open
INV000064,O002999,2026-08-08,2026-08-23,9243.04,1663.75,10906.78,Partially Paid
INV000065,O001263,2025-03-01,2025-04-30,16387.12,2949.68,19336.81,Partially Paid
INV000066,O000985,2026-03-05,2026-03-20,12662.54,2279.26,14941.79,Paid
INV000067,O000446,2025-04-12,2025-04-27,598854.74,107793.85,706648.59,Partially Paid
INV000068,O001386,2025-07-21,2025-08-05,433760.5,78076.89,511837.39,Paid
INV000069,O000089,2026-09-05,2026-10-20,75587.67,13605.78,89193.45,Open
INV000070,O001799,2025-05-30,2025-06-14,125704.69,22626.84,148331.53,Open
INV000071,O000290,2025-07-14,2025-08-13,47758.55,8596.54,56355.09,Paid
INV000072,O002037,2026-05-11,2026-06-25,337427.5,60736.95,398164.45,Paid
INV000073,O001052,2025-12-18,2026-01-02,11699.09,2105.84,13804.92,Paid
INV000074,O000292,2025-10-29,2025-11-28,272287.27,49011.71,321298.97,Open
INV000075,O002589,2025-02-04,2025-04-05,33047.56,5948.56,38996.12,Paid
INV000076,O001773,2026-07-28,2026-09-11,18808.33,3385.5,22193.83,Open
INV000077,O002801,2025-08-22,2025-09-21,247618.02,44571.24,292189.26,Paid
INV000078,O001125,2025-09-22,2025-11-06,65918.25,11865.29,77783.54,Open
INV000079,O001971,2025-05-31,2025-07-30,77588.54,13965.94,91554.48,Open
INV000080,O001984,2026-07-04,2026-09-02,38423.91,6916.3,45340.22,Paid
INV000081,O002709,2025-04-18,2025-06-02,10430.33,1877.46,12307.78,Partially Paid
INV000082,O001587,2025-06-02,2025-07-17,39922.76,7186.1,47108.85,Open
INV000083,O000773,2025-11-26,2026-01-10,94780.99,17060.58,111841.56,Open
INV000084,O000416,2026-08-21,2026-09-20,71924.82,12946.47,84871.29,Partially Paid
INV000085,O002564,2025-08-03,2025-08-18,201257.75,36226.4,237484.15,Open
INV000086,O000164,2025-09-24,2025-11-08,11644.87,2096.08,13740.95,Paid
INV000087,O002830,2025-10-28,2025-12-12,25788.13,4641.86,30429.99,Partially Paid
INV000088,O000937,2025-11-08,2025-11-23,542770.07,97698.61,640468.68,Partially Paid
INV000089,O000641,2026-01-17,2026-02-16,187587.51,33765.75,221353.26,Open
INV000090,O002870,2026-01-22,2026-02-06,608.44,109.52,717.95,Partially Paid
INV000091,O001014,2025-05-15,2025-05-30,159952.18,28791.39,188743.57,Partially Paid
INV000092,O000499,2026-01-12,2026-01-27,201237.31,36222.72,237460.02,Paid
INV000093,O002392,2025-05-08,2025-06-07,48467.27,8724.11,57191.38,Paid
INV000094,O001879,2026-04-21,2026-06-05,40830.38,7349.47,48179.84,Open
INV000095,O001647,2025-08-11,2025-09-10,85955.58,15472,101427.58,Partially Paid
INV000096,O001933,2025-04-15,2025-05-30,122319.72,22017.55,144337.27,Open
INV000097,O000238,2026-08-05,2026-10-04,433532.11,78035.78,511567.89,Partially Paid
INV000098,O000665,2025-07-17,2025-09-15,271422.35,48856.02,320278.37,Open
INV000099,O001484,2025-09-14,2025-11-13,44664.47,8039.6,52704.07,Open
INV000100,O001259,2025-01-27,2025-03-13,80604.72,14508.85,95113.56,Open
INV000101,O001540,2026-01-23,2026-02-07,14573.11,2623.16,17196.27,Paid
INV000102,O000409,2025-10-23,2025-12-22,172263.03,31007.35,203270.37,Open
INV000103,O001693,2025-06-03,2025-07-18,33218.02,5979.24,39197.26,Paid
INV000104,O002089,2025-12-07,2026-01-21,55823.34,10048.2,65871.54,Paid
INV000105,O001041,2026-07-28,2026-08-12,1258.62,226.55,1485.17,Open
INV000106,O001199,2025-08-01,2025-09-15,167775.86,30199.65,197975.51,Paid
INV000107,O001139,2025-06-17,2025-08-01,243405.27,43812.95,287218.22,Open
INV000108,O001556,2026-07-24,2026-09-07,197531.82,35555.73,233087.54,Open
INV000109,O002432,2025-08-15,2025-08-30,252002.1,45360.38,297362.48,Partially Paid
INV000110,O001718,2025-06-15,2025-07-30,26275.04,4729.51,31004.54,Open
INV000111,O001159,2026-05-27,2026-07-26,190920.89,34365.76,225286.65,Partially Paid
INV000112,O001497,2025-07-17,2025-08-16,149400.57,26892.1,176292.67,Paid
INV000113,O002637,2025-08-29,2025-10-28,260517.18,46893.09,307410.28,Open
INV000114,O002069,2025-10-18,2025-11-17,17636.64,3174.6,20811.24,Paid
INV000115,O002487,2026-02-25,2026-03-12,43830.8,7889.54,51720.34,Open
INV000116,O000738,2025-04-09,2025-06-08,13102.99,2358.54,15461.52,Open
INV000117,O001030,2026-07-14,2026-08-28,49700.78,8946.14,58646.92,Paid
INV000118,O002799,2025-11-01,2025-12-16,160713.52,28928.43,189641.95,Partially Paid
INV000119,O002936,2026-02-03,2026-04-04,2063.22,371.38,2434.6,Partially Paid
INV000120,O000345,2026-07-19,2026-08-18,2290.52,412.29,2702.82,Partially Paid
INV000121,O002721,2026-09-03,2026-10-03,63472.19,11424.99,74897.19,Open
INV000122,O002222,2026-09-04,2026-09-19,163058.74,29350.57,192409.31,Open
INV000123,O000934,2025-09-17,2025-11-16,200459.29,36082.67,236541.96,Partially Paid
INV000124,O000759,2026-01-01,2026-01-16,33217.48,5979.15,39196.62,Open
INV000125,O002083,2026-01-29,2026-03-30,40703.23,7326.58,48029.81,Paid
INV000126,O000276,2026-01-17,2026-03-03,488991.42,88018.46,577009.88,Paid
INV000127,O000361,2026-01-29,2026-02-28,29001.96,5220.35,34222.31,Paid
INV000128,O000992,2025-10-25,2025-12-09,410126.51,73822.77,483949.28,Open
INV000129,O001819,2026-05-21,2026-07-05,71989.79,12958.16,84947.95,Open
INV000130,O002592,2026-08-15,2026-09-14,39817.57,7167.16,46984.74,Paid
INV000131,O000521,2025-05-20,2025-06-19,29124.63,5242.43,34367.07,Partially Paid
INV000132,O001114,2025-01-10,2025-02-24,21880.52,3938.49,25819.01,Partially Paid
INV000133,O002797,2025-04-22,2025-05-22,17079.87,3074.38,20154.24,Partially Paid
INV000134,O002789,2025-06-08,2025-07-23,33971.12,6114.8,40085.92,Open
INV000135,O001143,2025-07-15,2025-09-13,1054.73,189.85,1244.58,Paid
INV000136,O002020,2025-03-26,2025-04-10,123720.52,22269.69,145990.21,Partially Paid
INV000137,O002440,2025-03-13,2025-04-27,334157.87,60148.42,394306.29,Open
INV000138,O000644,2025-08-03,2025-08-18,26739.13,4813.04,31552.17,Paid
INV000139,O002369,2025-09-03,2025-10-03,269371.77,48486.92,317858.69,Open
INV000140,O001875,2026-07-10,2026-07-25,36830.63,6629.51,43460.15,Open
INV000141,O001330,2025-08-13,2025-08-28,266128.25,47903.08,314031.33,Open
INV000142,O002354,2025-05-30,2025-07-29,230891.09,41560.4,272451.48,Partially Paid
INV000143,O000379,2026-01-23,2026-02-07,25248.87,4544.8,29793.67,Partially Paid
INV000144,O001091,2026-07-10,2026-07-25,252677.43,45481.94,298159.36,Partially Paid
INV000145,O001227,2026-01-11,2026-02-25,171717.46,30909.14,202626.6,Paid
INV000146,O002172,2025-10-12,2025-12-11,17743.31,3193.8,20937.11,Partially Paid
INV000147,O002357,2026-07-29,2026-08-28,82272.19,14808.99,97081.18,Partially Paid
INV000148,O001253,2025-03-27,2025-04-26,64943.86,11689.89,76633.76,Partially Paid
INV000149,O000082,2025-09-09,2025-10-24,32354.06,5823.73,38177.79,Partially Paid
INV000150,O000021,2025-08-11,2025-10-10,228745.73,41174.23,269919.97,Partially Paid
INV000151,O002353,2026-08-21,2026-09-20,608543.29,109537.79,718081.08,Partially Paid
INV000152,O002706,2026-03-25,2026-04-24,378400.57,68112.1,446512.68,Partially Paid
INV000153,O001268,2025-09-29,2025-10-29,362759.55,65296.72,428056.27,Paid
INV000154,O001575,2025-07-20,2025-08-04,37924.28,6826.37,44750.65,Partially Paid
INV000155,O001392,2026-05-08,2026-07-07,123242.27,22183.61,145425.88,Paid
INV000156,O002230,2025-04-24,2025-05-09,38357.08,6904.27,45261.35,Partially Paid
INV000157,O001045,2025-07-15,2025-09-13,12061.89,2171.14,14233.03,Paid
INV000158,O001660,2025-05-19,2025-07-18,60834.48,10950.21,71784.69,Paid
INV000159,O000962,2025-09-16,2025-11-15,52629.59,9473.33,62102.91,Open
INV000160,O002376,2026-03-18,2026-04-02,25599.3,4607.87,30207.17,Paid
INV000161,O000634,2025-10-20,2025-12-04,433945.06,78110.11,512055.17,Open
INV000162,O002640,2026-03-20,2026-04-19,43352.05,7803.37,51155.42,Paid
INV000163,O001185,2025-11-28,2025-12-28,282158.93,50788.61,332947.54,Partially Paid
INV000164,O002296,2026-06-05,2026-07-20,38617.37,6951.13,45568.5,Open
INV000165,O002061,2025-04-15,2025-06-14,126087.64,22695.77,148783.41,Partially Paid
INV000166,O002025,2025-05-27,2025-06-26,66993.7,12058.87,79052.56,Paid
INV000167,O002295,2026-04-04,2026-05-19,202817.3,36507.11,239324.42,Paid
INV000168,O000075,2025-06-24,2025-08-23,19396.73,3491.41,22888.14,Open
INV000169,O002638,2026-05-04,2026-06-03,298073.41,53653.21,351726.62,Partially Paid
INV000170,O001953,2026-03-07,2026-04-21,118137.09,21264.68,139401.77,Paid
INV000171,O001000,2026-04-18,2026-06-17,193932.04,34907.77,228839.81,Open
INV000172,O001960,2025-03-06,2025-04-20,192804.25,34704.76,227509.01,Partially Paid
INV000173,O001628,2025-10-28,2025-12-27,85390.97,15370.37,100761.34,Partially Paid
INV000174,O002729,2025-10-21,2025-12-05,511652.94,92097.53,603750.46,Open
INV000175,O002616,2025-11-25,2026-01-09,37990.93,6838.37,44829.3,Partially Paid
INV000176,O002759,2026-05-05,2026-05-20,33560.84,6040.95,39601.79,Paid
INV000177,O001956,2025-10-29,2025-11-13,439187.21,79053.7,518240.91,Partially Paid
INV000178,O001713,2025-09-28,2025-10-13,39714.06,7148.53,46862.59,Partially Paid
INV000179,O002995,2025-04-15,2025-05-15,266925.18,48046.53,314971.72,Partially Paid
INV000180,O002344,2026-01-18,2026-02-02,158512.45,28532.24,187044.7,Paid
INV000181,O001926,2026-01-22,2026-03-23,10658.66,1918.56,12577.22,Open
INV000182,O000843,2026-05-12,2026-05-27,223517.54,40233.16,263750.7,Paid
INV000183,O001855,2026-05-13,2026-05-28,585325.73,105358.63,690684.36,Open
INV000184,O002176,2026-08-14,2026-09-13,35166.75,6330.02,41496.77,Partially Paid
INV000185,O000186,2025-01-10,2025-02-24,37349.09,6722.84,44071.92,Open
INV000186,O001318,2025-01-09,2025-02-08,32671.72,5880.91,38552.63,Paid
INV000187,O001017,2025-12-22,2026-02-05,246070.28,44292.65,290362.93,Paid
INV000188,O001124,2025-06-08,2025-08-07,118561.9,21341.14,139903.04,Open
INV000189,O000607,2025-05-02,2025-05-17,44985.76,8097.44,53083.19,Open
INV000190,O001437,2026-03-16,2026-04-15,155327,27958.86,183285.86,Partially Paid
INV000191,O000457,2026-05-12,2026-05-27,151657.62,27298.37,178955.99,Partially Paid
INV000192,O002306,2025-06-06,2025-07-06,32025.12,5764.52,37789.64,Paid
INV000193,O002899,2026-04-06,2026-04-21,123092.33,22156.62,145248.95,Open
INV000194,O002204,2026-02-15,2026-03-02,4874.45,877.4,5751.85,Paid
INV000195,O001862,2025-09-03,2025-10-18,3041.98,547.56,3589.53,Open
INV000196,O000503,2026-05-04,2026-07-03,45736.55,8232.58,53969.12,Paid
INV000197,O001735,2026-08-30,2026-10-14,154724.84,27850.47,182575.31,Partially Paid
INV000198,O000520,2026-01-23,2026-03-24,91445.06,16460.11,107905.17,Partially Paid
INV000199,O002205,2026-01-06,2026-01-21,39647.36,7136.52,46783.89,Open
INV000200,O002342,2025-03-07,2025-03-22,250384.91,45069.28,295454.2,Paid
INV000201,O001829,2026-06-12,2026-07-12,291202.95,52416.53,343619.49,Paid
INV000202,O001256,2026-01-15,2026-03-01,98366.45,17705.96,116072.41,Partially Paid
INV000203,O001809,2026-08-03,2026-09-02,212689.37,38284.09,250973.46,Open
INV000204,O001783,2025-12-29,2026-02-12,303634.4,54654.19,358288.59,Paid
INV000205,O002861,2025-09-17,2025-11-01,28822.56,5188.06,34010.62,Open
INV000206,O001772,2026-01-14,2026-02-13,659176.25,118651.73,777827.98,Open
INV000207,O001742,2026-06-15,2026-08-14,240975.24,43375.54,284350.78,Open
INV000208,O001640,2025-10-05,2025-10-20,45343.19,8161.77,53504.96,Partially Paid
INV000209,O000235,2025-11-12,2025-12-12,685554.65,123399.84,808954.49,Open
INV000210,O002502,2026-02-06,2026-02-21,49673.24,8941.18,58614.42,Open
INV000211,O000335,2025-07-27,2025-09-25,58909.87,10603.78,69513.64,Open
INV000212,O002410,2025-10-16,2025-10-31,49751.15,8955.21,58706.36,Open
INV000213,O000494,2025-01-03,2025-02-17,28287.31,5091.72,33379.02,Paid
INV000214,O002464,2025-04-19,2025-05-19,412782.52,74300.85,487083.38,Paid
INV000215,O000778,2025-11-07,2025-12-22,266925.61,48046.61,314972.22,Partially Paid
INV000216,O001495,2026-08-10,2026-10-09,414587.3,74625.71,489213.01,Partially Paid
INV000217,O000671,2026-07-27,2026-08-11,32503.75,5850.67,38354.42,Paid
INV000218,O001559,2026-04-29,2026-06-28,260149.16,46826.85,306976.01,Paid
INV000219,O001037,2026-03-03,2026-04-17,1754.03,315.72,2069.75,Partially Paid
INV000220,O000517,2025-11-17,2025-12-02,258753.68,46575.66,305329.34,Paid
INV000221,O001403,2026-05-03,2026-05-18,18306.82,3295.23,21602.05,Partially Paid
INV000222,O002363,2025-02-04,2025-03-06,239931.5,43187.67,283119.17,Paid
INV000223,O002947,2025-09-12,2025-10-12,20530.97,3695.57,24226.55,Paid
INV000224,O002657,2025-10-17,2025-11-01,186971.96,33654.95,220626.92,Partially Paid
INV000225,O002504,2025-08-17,2025-10-16,13981.76,2516.72,16498.48,Paid
INV000226,O000863,2026-05-27,2026-07-11,24342.16,4381.59,28723.75,Partially Paid
INV000227,O000464,2025-11-11,2025-12-11,31537.4,5676.73,37214.13,Paid
INV000228,O001837,2026-06-15,2026-07-15,4148.67,746.76,4895.43,Paid
INV000229,O002868,2026-07-13,2026-08-12,14936.04,2688.49,17624.52,Open
INV000230,O002374,2026-05-30,2026-07-14,222592.64,40066.67,262659.31,Open
INV000231,O002033,2026-04-27,2026-05-27,54210.42,9757.88,63968.3,Paid
INV000232,O000064,2025-10-04,2025-10-19,258428.59,46517.15,304945.74,Open
INV000233,O002175,2025-12-30,2026-01-29,261825.11,47128.52,308953.63,Partially Paid
INV000234,O001455,2026-08-29,2026-09-13,16976.89,3055.84,20032.73,Paid
INV000235,O001723,2025-12-21,2026-02-19,23589.19,4246.05,27835.25,Partially Paid
INV000236,O001833,2026-08-12,2026-09-26,418598.28,75347.69,493945.97,Open
INV000237,O001305,2025-11-23,2025-12-08,147017.28,26463.11,173480.39,Paid
INV000238,O002356,2026-07-21,2026-08-20,70927.6,12766.97,83694.56,Paid
INV000239,O000479,2026-07-17,2026-09-15,30741.82,5533.53,36275.35,Paid
INV000240,O000108,2026-03-17,2026-05-16,139001.81,25020.33,164022.13,Open
INV000241,O002574,2026-09-03,2026-09-18,30928.58,5567.14,36495.72,Paid
INV000242,O001536,2026-05-31,2026-06-30,42474.16,7645.35,50119.5,Partially Paid
INV000243,O002674,2025-01-11,2025-02-25,9421.51,1695.87,11117.38,Open
INV000244,O001787,2025-12-07,2026-01-21,220116.01,39620.88,259736.89,Open
INV000245,O000871,2025-02-13,2025-04-14,18268.8,3288.38,21557.19,Paid
INV000246,O002422,2025-03-17,2025-05-16,259003.96,46620.71,305624.67,Paid
INV000247,O002672,2026-07-15,2026-08-14,89454.5,16101.81,105556.31,Partially Paid
INV000248,O002749,2026-04-17,2026-06-16,304479.94,54806.39,359286.33,Partially Paid
INV000249,O001703,2026-07-14,2026-09-12,94037.38,16926.73,110964.11,Open
INV000250,O001987,2026-07-08,2026-09-06,1220.12,219.62,1439.75,Open
INV000251,O000191,2026-03-10,2026-03-25,104878.82,18878.19,123757,Partially Paid
INV000252,O002710,2025-07-12,2025-09-10,5041.39,907.45,5948.84,Paid
INV000253,O001242,2025-06-17,2025-07-02,201107.83,36199.41,237307.24,Partially Paid
INV000254,O001137,2025-03-26,2025-05-25,17472.19,3144.99,20617.19,Paid
INV000255,O001825,2025-12-03,2026-01-17,95799.09,17243.84,113042.93,Partially Paid
INV000256,O002824,2026-02-18,2026-03-05,6795.67,1223.22,8018.89,Partially Paid
INV000257,O001972,2025-06-08,2025-08-07,4628.65,833.16,5461.81,Partially Paid
INV000258,O000455,2025-03-26,2025-05-10,78529.5,14135.31,92664.81,Paid
INV000259,O001113,2025-06-15,2025-07-15,108669.26,19560.47,128229.73,Paid
INV000260,O000140,2025-06-28,2025-07-13,78413.23,14114.38,92527.61,Paid
INV000261,O001456,2026-06-04,2026-07-04,226928.68,40847.16,267775.84,Partially Paid
INV000262,O001845,2025-07-06,2025-09-04,82626.37,14872.75,97499.12,Paid
INV000263,O001918,2025-06-18,2025-07-03,268610.32,48349.86,316960.17,Partially Paid
INV000264,O000227,2025-12-21,2026-01-05,210766.46,37937.96,248704.42,Paid
INV000265,O000553,2025-01-22,2025-03-23,5844.99,1052.1,6897.09,Open
INV000266,O001496,2025-04-16,2025-05-31,224511.84,40412.13,264923.97,Paid
INV000267,O002833,2026-01-09,2026-02-08,140291.69,25252.5,165544.2,Paid
INV000268,O000351,2025-10-24,2025-11-23,263837.35,47490.72,311328.07,Open
INV000269,O001475,2025-10-28,2025-11-27,30232.7,5441.89,35674.58,Open
INV000270,O001510,2026-04-21,2026-06-05,470690.52,84724.29,555414.82,Partially Paid
INV000271,O002974,2025-03-08,2025-03-23,10657.33,1918.32,12575.64,Open
INV000272,O001049,2025-10-11,2025-12-10,327769.3,58998.47,386767.77,Partially Paid
INV000273,O002531,2025-09-13,2025-11-12,24513.12,4412.36,28925.48,Partially Paid
INV000274,O002730,2025-04-14,2025-06-13,318470.25,57324.65,375794.9,Partially Paid
INV000275,O000147,2026-08-28,2026-09-12,12474.51,2245.41,14719.92,Partially Paid
INV000276,O002622,2025-02-07,2025-03-24,74921.19,13485.81,88407.01,Open
INV000277,O002544,2026-07-31,2026-09-29,233669.43,42060.5,275729.93,Paid
INV000278,O002552,2025-01-16,2025-02-15,192322.24,34618,226940.24,Partially Paid
INV000279,O002802,2026-07-21,2026-09-19,464041.18,83527.41,547568.59,Paid
INV000280,O001314,2025-03-27,2025-05-26,11297.02,2033.46,13330.49,Paid
INV000281,O001878,2025-12-12,2025-12-27,99638.47,17934.92,117573.4,Open
INV000282,O001327,2025-07-31,2025-09-14,5851.81,1053.33,6905.13,Partially Paid
INV000283,O000542,2026-01-11,2026-02-25,16835.97,3030.47,19866.45,Paid
INV000284,O001517,2026-06-27,2026-08-26,10567.19,1902.09,12469.29,Partially Paid
INV000285,O001596,2026-01-17,2026-02-01,148163.57,26669.44,174833.02,Open
INV000286,O002581,2026-02-04,2026-03-21,33917.01,6105.06,40022.07,Partially Paid
INV000287,O000887,2025-12-09,2026-02-07,164965.75,29693.83,194659.58,Partially Paid
INV000288,O002010,2026-06-19,2026-08-18,43644.86,7856.07,51500.93,Open
INV000289,O001059,2025-03-24,2025-04-08,28459.83,5122.77,33582.6,Partially Paid
INV000290,O001095,2025-12-02,2025-12-17,34788.72,6261.97,41050.69,Partially Paid
INV000291,O002252,2026-02-06,2026-02-21,333561.54,60041.08,393602.61,Partially Paid
INV000292,O001103,2025-10-28,2025-12-27,14431.86,2597.74,17029.6,Paid
INV000293,O001463,2025-09-12,2025-10-12,658658.17,118558.47,777216.64,Paid
INV000294,O001379,2026-08-26,2026-09-25,81701.4,14706.25,96407.65,Paid
INV000295,O001380,2025-06-18,2025-08-02,248221.91,44679.94,292901.86,Paid
INV000296,O002681,2025-10-08,2025-12-07,265975.31,47875.56,313850.87,Paid
INV000297,O001940,2026-04-15,2026-04-30,45289.12,8152.04,53441.16,Partially Paid
INV000298,O001599,2025-02-17,2025-04-18,5031.08,905.59,5936.67,Open
INV000299,O001680,2025-06-30,2025-07-15,6814.99,1226.7,8041.68,Open
INV000300,O002775,2025-06-15,2025-06-30,333856.74,60094.21,393950.95,Partially Paid
INV000301,O002873,2025-03-05,2025-04-19,415771.96,74838.95,490610.92,Partially Paid
INV000302,O002933,2026-04-16,2026-06-15,24992.98,4498.74,29491.71,Paid
INV000303,O002742,2026-03-09,2026-04-08,74739.73,13453.15,88192.88,Partially Paid
INV000304,O000753,2025-09-18,2025-11-17,216808.44,39025.52,255833.96,Partially Paid
INV000305,O000014,2026-05-10,2026-06-24,46551.28,8379.23,54930.52,Partially Paid
INV000306,O001368,2026-01-25,2026-03-26,272992.7,49138.69,322131.39,Paid
INV000307,O000109,2026-02-18,2026-04-19,3818.91,687.4,4506.31,Paid
INV000308,O002316,2026-08-23,2026-09-07,16988.12,3057.86,20045.98,Paid
INV000309,O001399,2025-08-24,2025-10-23,45150.81,8127.15,53277.96,Open
INV000310,O000884,2025-12-06,2025-12-21,391285.67,70431.42,461717.1,Open
INV000311,O000041,2026-02-25,2026-04-11,7549.47,1358.9,8908.38,Partially Paid
INV000312,O001841,2026-02-20,2026-04-06,20839.45,3751.1,24590.55,Open
INV000313,O000658,2026-02-20,2026-04-06,30697.07,5525.47,36222.54,Paid
INV000314,O001927,2026-02-15,2026-04-01,370632.37,66713.83,437346.2,Open
INV000315,O002820,2025-09-19,2025-11-03,44787.83,8061.81,52849.64,Partially Paid
INV000316,O000536,2025-11-27,2025-12-27,286192.24,51514.6,337706.84,Open
INV000317,O002163,2025-09-24,2025-10-09,116866.73,21036.01,137902.74,Partially Paid
INV000318,O002561,2025-03-25,2025-04-24,32781.4,5900.65,38682.05,Partially Paid
INV000319,O000586,2025-09-22,2025-10-22,30979.27,5576.27,36555.54,Partially Paid
INV000320,O001945,2025-05-25,2025-06-24,118762.75,21377.29,140140.04,Open
INV000321,O001594,2025-07-31,2025-08-15,222468,40044.24,262512.24,Paid
INV000322,O002343,2026-05-13,2026-07-12,117841.64,21211.49,139053.13,Partially Paid
INV000323,O001340,2026-08-17,2026-09-01,215481.26,38786.63,254267.89,Partially Paid
INV000324,O002079,2025-01-21,2025-02-05,268747.82,48374.61,317122.43,Paid
INV000325,O002279,2026-01-31,2026-03-17,89609.58,16129.72,105739.3,Open
INV000326,O002040,2025-03-26,2025-05-10,140715.71,25328.83,166044.54,Partially Paid
INV000327,O000247,2025-02-01,2025-04-02,549991.52,98998.47,648989.99,Open
