Order_ID,Order_Date,Customer_ID,Employee_ID,Region_ID,Order_Status,Order_Channel
O000047,2025-09-11,C00360,E0004,R008,Delivered,Marketplace
O000048,2025-04-28,C00087,E0005,R005,Delivered,Direct Sales
O000049,2025-02-08,C00021,E0036,R004,Shipped,Distributor
O000050,2025-10-01,C00582,E0034,R001,Delivered,Distributor
O000051,2026-08-08,C00023,E0022,R003,Delivered,Marketplace
O000052,2025-04-13,C00587,E0007,R002,Delivered,Marketplace
O000053,2025-06-20,C00509,E0034,R001,Cancelled,Marketplace
O000054,2026-05-24,C00373,E0029,R006,Delivered,Direct Sales
O000055,2025-11-01,C00295,E0018,R003,Cancelled,Distributor
O000056,2026-08-16,C00232,E0041,R002,Delivered,Marketplace
O000057,2026-03-14,C00280,E0005,R005,Delivered,Marketplace
O000058,2026-03-20,C00079,E0021,R001,Processing,Marketplace
O000059,2025-09-15,C00205,E0028,R006,Cancelled,Distributor
O000060,2026-06-13,C00561,E0013,R004,Delivered,Distributor
O000061,2026-06-30,C00219,E0031,R001,Cancelled,Distributor
O000062,2026-01-09,C00580,E0004,R008,Shipped,Direct Sales
O000063,2026-03-22,C00247,E0011,R008,Delivered,Marketplace
O000064,2025-10-01,C00066,E0015,R008,Delivered,Direct Sales
O000065,2026-02-20,C00263,E0040,R005,Delivered,Online
O000066,2025-09-09,C00154,E0014,R005,Delivered,Distributor
O000067,2026-03-09,C00498,E0037,R004,Delivered,Direct Sales
O000068,2025-01-30,C00164,E0019,R002,Delivered,Marketplace
O000069,2026-05-13,C00564,E0013,R004,Delivered,Online
O000070,2025-03-07,C00086,E0022,R003,Delivered,Marketplace
O000071,2025-08-30,C00093,E0027,R008,Delivered,Online
O000072,2026-05-24,C00535,E0039,R005,Delivered,Direct Sales
O000073,2026-08-22,C00126,E0022,R003,Delivered,Direct Sales
O000074,2025-04-20,C00434,E0015,R008,Delivered,Direct Sales
O000075,2025-09-18,C00282,E0030,R003,Cancelled,Online
O000076,2025-04-26,C00503,E0036,R004,Delivered,Distributor
O000077,2025-05-29,C00487,E0017,R002,Delivered,Distributor
O000079,2025-11-13,C00260,E0037,R004,Delivered,Online
O000080,2026-02-02,C00548,E0017,R002,Delivered,Distributor
O000081,2025-08-30,C00262,E0021,R001,Delivered,Direct Sales
O000082,2026-02-21,C00165,E0030,R003,Delivered,Marketplace
O000083,2026-02-27,C00083,E0033,R008,Delivered,Distributor
O000084,2026-06-03,C00103,E0012,R004,Delivered,Marketplace
O000085,2026-04-10,C00431,E0040,R005,Delivered,Online
O000086,2025-01-04,C00189,E0030,R003,Delivered,Direct Sales
O000087,2025-04-24,C00313,E0022,R003,Delivered,Direct Sales
O000088,2025-11-24,C00529,E0010,R004,Shipped,Distributor
O000089,2026-08-31,C00137,E0018,R003,Delivered,Marketplace
O000090,2026-01-12,C00204,E0006,R002,Delivered,Distributor
O000091,2025-01-22,C00387,E0038,R002,Delivered,Direct Sales
O000092,2025-09-26,C00092,E0031,R001,Delivered,Online
O000093,2025-09-24,C00411,E0041,R002,Delivered,Online
O000094,2025-01-15,C00377,E0012,R004,Processing,Distributor
O000095,2025-08-18,C00465,E0033,R008,Delivered,Direct Sales
O000096,2026-01-27,C00273,E0020,R001,Delivered,Distributor
O000097,2025-10-17,C00212,E0040,R005,Delivered,Distributor
O000098,2025-01-30,C00185,E0028,R006,Delivered,Marketplace
O000099,2025-09-12,C00242,E0041,R002,Delivered,Distributor
O000100,2025-05-17,C00088,E0001,R002,Delivered,Distributor
O000101,2025-09-20,C00218,E0026,R006,Delivered,Online
O000103,2025-01-06,C00363,E0040,R005,Delivered,Distributor
O000104,2025-05-16,C00310,E0027,R008,Processing,Online
O000105,2025-06-23,C00595,E0013,R004,Processing,Distributor
O000106,2025-04-02,C00348,E0031,R001,Delivered,Distributor
O000107,2025-11-17,C00146,E0018,R003,Delivered,Direct Sales
O000108,2026-03-17,C00512,E0019,R002,Delivered,Marketplace
O000109,2026-03-23,C00271,E0035,R002,Delivered,Marketplace
O000110,2025-02-24,C00504,E0011,R008,Delivered,Direct Sales
O000111,2025-02-06,C00056,E0016,R002,Shipped,Marketplace
O000112,2025-04-29,C00168,E0031,R001,Shipped,Online
O000113,2026-04-14,C00453,E0024,R002,Shipped,Online
O000114,2025-04-06,C00152,E0009,R002,Delivered,Marketplace
O000115,2026-07-31,C00185,E0012,R004,Cancelled,Direct Sales
O000116,2026-03-03,C00598,E0001,R002,Delivered,Direct Sales
O000117,2025-01-27,C00511,E0007,R002,Delivered,Online
O000118,2025-11-28,C00404,E0025,R004,Delivered,Online
O000119,2026-04-10,C00084,E0031,R001,Delivered,Online
O000120,2025-11-29,C00338,E0003,R001,Cancelled,Direct Sales
O000121,2025-11-27,C00217,E0004,R008,Delivered,Online
O000122,2025-04-05,C00561,E0040,R005,Delivered,Marketplace
O000123,2025-04-02,C00183,E0017,R002,Delivered,Direct Sales
O000124,2025-10-19,C00167,E0026,R006,Delivered,Online
O000125,2025-11-14,C00306,E0033,R008,Cancelled,Direct Sales
O000126,2026-06-09,C00368,E0007,R002,Delivered,Distributor
O000127,2025-10-02,C00457,E0026,R006,Cancelled,Distributor
O000128,2025-07-10,C00093,E0029,R006,Delivered,Distributor
O000129,2026-04-20,C00096,E0003,R001,Delivered,Direct Sales
O000130,2025-10-25,C00508,E0035,R002,Shipped,Distributor
O000132,2025-10-30,C00255,E0035,R002,Cancelled,Online
O000133,2026-06-10,C00565,E0005,R005,Delivered,Distributor
O000134,2026-08-06,C00423,E0007,R002,Delivered,Marketplace
O000135,2026-05-31,C00261,E0039,R005,Delivered,Online
O000136,2026-02-07,C00474,E0013,R004,Delivered,Online
O000137,2026-08-25,C00427,E0021,R001,Shipped,Distributor
O000138,2025-08-05,C00272,E0023,R004,Delivered,Online
O000139,2026-07-02,C00266,E0007,R002,Delivered,Online
O000140,2025-06-25,C00405,E0009,R002,Shipped,Distributor
O000141,2025-11-07,C00415,E0040,R005,Cancelled,Marketplace
O000142,2025-05-09,C00405,E0021,R001,Delivered,Online
O000143,2025-07-12,C00196,E0009,R002,Delivered,Direct Sales
O000144,2026-03-23,C00493,E0011,R008,Processing,Direct Sales
O000145,2025-06-01,C00089,E0021,R001,Shipped,Distributor
O000146,2025-06-06,C00023,E0009,R002,Shipped,Distributor
O000147,2026-08-23,C00483,E0002,R002,Delivered,Direct Sales
O000148,2025-02-22,C00302,E0038,R002,Delivered,Online
O000149,2026-05-23,C00106,E0029,R006,Cancelled,Marketplace
O000150,2026-05-13,C00038,E0033,R008,Processing,Distributor
O000151,2026-03-09,C00238,E0004,R008,Cancelled,Marketplace
O000152,2026-03-04,C00567,E0005,R005,Shipped,Online
O000153,2026-04-05,C00507,E0041,R002,Delivered,Online
O000154,2026-04-26,C00166,E0020,R001,Delivered,Distributor
O000155,2026-08-25,C00238,E0034,R001,Delivered,Distributor
O000156,2026-03-03,C00135,E0020,R001,Delivered,Distributor
O000157,2025-10-17,C00166,E0041,R002,Delivered,Distributor
O000158,2025-06-10,C00133,E0013,R004,Cancelled,Distributor
O000159,2025-11-07,C00104,E0028,R006,Delivered,Direct Sales
O000160,2026-01-03,C00571,E0004,R008,Delivered,Marketplace
O000161,2025-03-07,C00163,E0013,R004,Delivered,Distributor
O000162,2025-05-04,C00117,E0041,R002,Processing,Direct Sales
O000163,2025-12-30,C00499,E0018,R003,Delivered,Marketplace
O000164,2025-02-21,C00155,E0034,R001,Shipped,Distributor
O000165,2026-07-30,C00114,E0007,R002,Delivered,Online
O000166,2026-01-06,C00172,E0009,R002,Delivered,Marketplace
O000167,2025-04-12,C00453,E0034,R001,Delivered,Marketplace
O000168,2025-07-26,C00343,E0010,R004,Shipped,Distributor
O000169,2025-12-16,C00007,E0017,R002,Delivered,Direct Sales
O000170,2026-03-01,C00088,E0019,R002,Delivered,Direct Sales
O000171,2025-08-22,C00156,E0035,R002,Delivered,Distributor
O000172,2026-06-13,C00424,E0028,R006,Delivered,Online
O000173,2026-06-14,C00454,E0011,R008,Delivered,Online
O000174,2025-06-18,C00347,E0022,R003,Delivered,Online
O000175,2026-08-12,C00403,E0003,R001,Delivered,Marketplace
O000176,2025-11-18,C00430,E0027,R008,Delivered,Online
O000177,2026-02-18,C00287,E0035,R002,Shipped,Direct Sales
O000178,2025-12-20,C00558,E0041,R002,Delivered,Direct Sales
O000179,2026-07-05,C00309,E0006,R002,Delivered,Distributor
O000180,2025-08-07,C00130,E0035,R002,Delivered,Marketplace
O000181,2025-01-24,C00534,E0023,R004,Delivered,Marketplace
O000182,2026-06-02,C00248,E0021,R001,Delivered,Online
O000183,2025-05-07,C00382,E0018,R003,Delivered,Online
O000184,2026-04-10,C00460,E0021,R001,Delivered,Direct Sales
O000185,2025-12-25,C00596,E0038,R002,Delivered,Marketplace
O000186,2026-06-17,C00587,E0010,R004,Delivered,Online
O000187,2026-01-05,C00336,E0035,R002,Shipped,Online
O000188,2025-03-25,C00151,E0029,R006,Delivered,Online
O000189,2025-08-08,C00436,E0010,R004,Shipped,Online
O000190,2026-08-26,C00379,E0035,R002,Processing,Distributor
O000191,2026-03-10,C00271,E0039,R005,Shipped,Distributor
O000192,2026-06-02,C00427,E0012,R004,Delivered,Distributor
O000193,2025-08-06,C00469,E0010,R004,Shipped,Distributor
O000194,2025-05-02,C00034,E0012,R004,Cancelled,Distributor
O000195,2026-08-09,C00113,E0009,R002,Delivered,Online
O000196,2026-01-16,C00536,E0011,R008,Delivered,Marketplace
O000197,2025-01-29,C00311,E0020,R001,Delivered,Direct Sales
O000198,2025-10-18,C00432,E0004,R008,Delivered,Direct Sales
O000199,2026-07-15,C00501,E0001,R002,Delivered,Online
O000200,2026-08-10,C00046,E0028,R006,Delivered,Distributor
O000201,2025-05-16,C00346,E0026,R006,Delivered,Distributor
O000202,2025-11-30,C00461,E0030,R003,Delivered,Distributor
O000203,2025-12-14,C00397,E0016,R002,Processing,Online
O000204,2025-06-19,C00454,E0019,R002,Delivered,Marketplace
O000205,2025-07-17,C00575,E0009,R002,Cancelled,Online
O000206,2026-05-03,C00584,E0035,R002,Processing,Online
O000207,2025-01-20,C00124,E0036,R004,Delivered,Direct Sales
O000208,2025-03-28,C00252,E0039,R005,Processing,Marketplace
O000209,2026-05-19,C00412,E0039,R005,Delivered,Marketplace
O000210,2025-01-25,C00448,E0013,R004,Processing,Marketplace
O000211,2025-04-28,C00392,E0018,R003,Delivered,Direct Sales
O000212,2025-09-19,C00293,E0011,R008,Delivered,Direct Sales
O000213,2025-03-02,C00315,E0028,R006,Cancelled,Marketplace
O000214,2025-11-02,C00186,E0002,R002,Delivered,Online
O000215,2025-11-28,C00328,E0011,R008,Delivered,Distributor
O000216,2025-09-03,C00124,E0004,R008,Cancelled,Direct Sales
O000217,2025-04-28,C00505,E0034,R001,Delivered,Online
O000218,2025-03-09,C00326,E0031,R001,Shipped,Online
O000219,2025-10-03,C00418,E0016,R002,Processing,Online
O000220,2025-11-08,C00253,E0037,R004,Cancelled,Distributor
O000221,2025-05-26,C00457,E0006,R002,Delivered,Direct Sales
O000222,2026-07-23,C00252,E0036,R004,Shipped,Online
O000223,2025-06-21,C00002,E0031,R001,Delivered,Online
O000224,2026-01-25,C00494,E0019,R002,Delivered,Direct Sales
O000225,2025-02-16,C00600,E0034,R001,Delivered,Online
O000226,2025-05-06,C00308,E0006,R002,Delivered,Marketplace
O000227,2025-12-17,C00443,E0015,R008,Delivered,Distributor
O000228,2025-12-16,C00280,E0017,R002,Delivered,Distributor
O000229,2025-01-03,C00337,E0002,R002,Cancelled,Distributor
O000230,2026-02-28,C00005,E0001,R002,Processing,Distributor
O000231,2025-03-21,C00403,E0036,R004,Processing,Online
O000232,2026-01-21,C00456,E0009,R002,Cancelled,Marketplace
O000233,2025-05-08,C00397,E0013,R004,Shipped,Marketplace
O000234,2025-08-15,C00198,E0030,R003,Delivered,Marketplace
O000235,2025-11-07,C00367,E0014,R005,Delivered,Direct Sales
O000236,2025-10-15,C00506,E0025,R004,Shipped,Direct Sales
O000237,2025-04-24,C00008,E0014,R005,Delivered,Distributor
O000238,2026-08-03,C00175,E0037,R004,Cancelled,Direct Sales
O000239,2025-03-08,C00067,E0039,R005,Delivered,Marketplace
O000240,2025-07-16,C00584,E0016,R002,Delivered,Marketplace
O000241,2026-03-14,C00574,E0031,R001,Delivered,Marketplace
O000242,2025-05-05,C00443,E0028,R006,Processing,Distributor
O000243,2025-08-18,C00508,E0025,R004,Delivered,Marketplace
O000244,2025-11-20,C00431,E0036,R004,Delivered,Distributor
O000245,2026-08-09,C00200,E0023,R004,Delivered,Direct Sales
O000246,2025-07-21,C00434,E0005,R005,Delivered,Marketplace
O000247,2025-01-29,C00319,E0005,R005,Shipped,Distributor
O000248,2025-09-14,C00025,E0039,R005,Delivered,Online
O000249,2025-02-25,C00485,E0017,R002,Delivered,Direct Sales
O000250,2025-04-08,C00075,E0040,R005,Shipped,Online
O000251,2026-01-22,C00088,E0004,R008,Delivered,Online
O000252,2025-02-26,C00131,E0004,R008,Delivered,Distributor
O000253,2026-07-27,C00068,E0007,R002,Delivered,Marketplace
O000254,2026-02-25,C00391,E0027,R008,Delivered,Online
O000255,2026-03-15,C00465,E0026,R006,Cancelled,Online
O000256,2026-06-14,C00348,E0002,R002,Delivered,Direct Sales
O000257,2025-03-11,C00111,E0007,R002,Cancelled,Direct Sales
O000258,2025-12-30,C00587,E0010,R004,Delivered,Distributor
O000259,2025-05-21,C00456,E0013,R004,Delivered,Online
O000260,2026-06-10,C00131,E0021,R001,Delivered,Marketplace
O000261,2025-05-31,C00598,E0036,R004,Shipped,Marketplace
O000262,2025-01-09,C00352,E0020,R001,Processing,Direct Sales
O000263,2026-03-09,C00059,E0017,R002,Delivered,Direct Sales
O000264,2025-12-16,C00206,E0014,R005,Delivered,Distributor
O000265,2026-08-16,C00479,E0040,R005,Cancelled,Marketplace
O000266,2025-06-16,C00307,E0028,R006,Delivered,Distributor
O000267,2025-01-04,C00044,E0033,R008,Delivered,Direct Sales
O000268,2025-09-02,C00478,E0041,R002,Shipped,Marketplace
O000269,2025-07-08,C00385,E0015,R008,Delivered,Marketplace
O000270,2025-01-31,C00011,E0005,R005,Processing,Online
O000271,2025-07-19,C00146,E0020,R001,Cancelled,Marketplace
O000272,2025-07-22,C00045,E0002,R002,Delivered,Direct Sales
O000273,2025-12-14,C00225,E0018,R003,Processing,Direct Sales
O000274,2025-06-30,C00183,E0014,R005,Delivered,Online
O000275,2025-04-24,C00022,E0010,R004,Delivered,Direct Sales
O000276,2026-01-14,C00313,E0031,R001,Delivered,Direct Sales
O000277,2025-03-08,C00540,E0041,R002,Delivered,Direct Sales
O000278,2026-06-30,C00134,E0014,R005,Delivered,Marketplace
O000279,2025-09-08,C00326,E0040,R005,Delivered,Direct Sales
O000280,2025-12-02,C00549,E0020,R001,Delivered,Online
O000281,2025-08-03,C00287,E0010,R004,Delivered,Distributor
O000282,2026-06-06,C00067,E0012,R004,Delivered,Distributor
O000283,2025-11-26,C00532,E0031,R001,Delivered,Distributor
O000284,2026-08-19,C00507,E0032,R001,Delivered,Online
O000285,2026-04-08,C00213,E0016,R002,Delivered,Distributor
O000286,2026-01-22,C00224,E0021,R001,Cancelled,Direct Sales
O000287,2025-05-18,C00384,E0018,R003,Delivered,Marketplace
O000288,2025-08-24,C00456,E0035,R002,Cancelled,Online
O000289,2026-03-13,C00477,E0034,R001,Shipped,Distributor
O000290,2026-05-25,C00443,E0028,R006,Delivered,Marketplace
O000291,2026-03-29,C00392,E0002,R002,Delivered,Marketplace
O000292,2025-10-29,C00078,E0024,R002,Processing,Online
O000293,2025-05-02,C00284,E0016,R002,Delivered,Marketplace
O000294,2025-12-08,C00040,E0036,R004,Delivered,Marketplace
O000295,2025-07-15,C00257,E0021,R001,Cancelled,Direct Sales
O000296,2025-11-03,C00557,E0018,R003,Delivered,Marketplace
O000297,2026-04-29,C00414,E0027,R008,Processing,Direct Sales
O000298,2025-08-03,C00408,E0016,R002,Shipped,Direct Sales
O000299,2026-04-18,C00529,E0039,R005,Delivered,Online
O000300,2026-03-04,C00321,E0014,R005,Delivered,Distributor
O000301,2026-01-19,C00461,E0037,R004,Delivered,Direct Sales
O000302,2025-12-30,C00313,E0001,R002,Delivered,Direct Sales
O000303,2026-07-05,C00430,E0029,R006,Delivered,Marketplace
O000304,2025-05-23,C00024,E0038,R002,Delivered,Marketplace
O000305,2026-01-26,C00582,E0040,R005,Delivered,Distributor
O000306,2025-07-12,C00066,E0036,R004,Shipped,Online
O000307,2025-11-08,C00337,E0038,R002,Delivered,Direct Sales
O000308,2025-02-02,C00107,E0037,R004,Cancelled,Distributor
O000309,2025-03-13,C00028,E0013,R004,Delivered,Marketplace
O000310,2026-06-21,C00211,E0016,R002,Delivered,Distributor
O000311,2025-06-25,C00059,E0025,R004,Delivered,Distributor
O000312,2025-05-13,C00401,E0012,R004,Processing,Distributor
O000313,2025-07-31,C00490,E0005,R005,Delivered,Direct Sales
O000314,2025-06-12,C00318,E0029,R006,Cancelled,Marketplace
O000315,2025-10-10,C00208,E0034,R001,Delivered,Online
O000316,2026-02-13,C00147,E0030,R003,Cancelled,Direct Sales
O000317,2026-04-17,C00539,E0023,R004,Shipped,Online
O000318,2025-12-22,C00094,E0020,R001,Delivered,Distributor
O000319,2025-07-03,C00180,E0028,R006,Cancelled,Distributor
O000320,2026-08-06,C00469,E0026,R006,Delivered,Distributor
O000321,2025-10-08,C00045,E0017,R002,Processing,Marketplace
O000322,2026-02-26,C00069,E0015,R008,Processing,Online
O000323,2026-06-01,C00378,E0005,R005,Delivered,Distributor
O000324,2025-08-01,C00462,E0012,R004,Processing,Online
O000325,2026-04-18,C00474,E0002,R002,Delivered,Marketplace
O000326,2025-02-08,C00409,E0014,R005,Delivered,Marketplace
O000327,2026-04-21,C00118,E0010,R004,Shipped,Distributor
O000328,2026-03-25,C00070,E0006,R002,Delivered,Distributor
O000329,2025-01-19,C00286,E0012,R004,Cancelled,Online
O000330,2026-07-02,C00182,E0020,R001,Delivered,Direct Sales
O000331,2025-06-07,C00080,E0001,R002,Shipped,Marketplace
O000332,2026-06-30,C00183,E0015,R008,Delivered,Distributor
O000333,2026-02-04,C00049,E0035,R002,Delivered,Distributor
O000334,2025-02-19,C00054,E0040,R005,Delivered,Direct Sales
O000335,2025-07-24,C00256,E0025,R004,Delivered,Online
O000336,2025-12-12,C00432,E0002,R002,Delivered,Online
O000337,2025-06-21,C00226,E0007,R002,Delivered,Distributor
O000338,2025-11-27,C00525,E0007,R002,Processing,Direct Sales
O000339,2026-03-15,C00213,E0036,R004,Delivered,Direct Sales
O000340,2025-11-28,C00219,E0007,R002,Delivered,Online
O000341,2026-02-03,C00412,E0022,R003,Delivered,Distributor
O000342,2026-01-13,C00226,E0005,R005,Delivered,Online
O000343,2026-05-27,C00224,E0028,R006,Delivered,Direct Sales
O000344,2026-02-02,C00258,E0007,R002,Delivered,Marketplace
O000345,2025-03-11,C00180,E0022,R003,Delivered,Online
O000346,2026-06-08,C00600,E0030,R003,Delivered,Online
O000347,2025-11-13,C00239,E0002,R002,Delivered,Distributor
O000348,2025-03-03,C00250,E0041,R002,Delivered,Marketplace
O000349,2025-06-05,C00511,E0020,R001,Delivered,Direct Sales
O000350,2025-12-03,C00039,E0017,R002,Delivered,Marketplace
O000351,2025-10-23,C00326,E0003,R001,Delivered,Direct Sales
O000352,2025-07-30,C00340,E0023,R004,Processing,Online
O000353,2026-06-18,C00255,E0016,R002,Delivered,Direct Sales
O000354,2026-05-19,C00453,E0001,R002,Delivered,Direct Sales
O000355,2025-05-09,C00054,E0011,R008,Delivered,Direct Sales
O000356,2026-06-04,C00563,E0015,R008,Delivered,Distributor
O000357,2025-07-22,C00479,E0021,R001,Delivered,Distributor
O000358,2025-11-07,C00181,E0040,R005,Delivered,Distributor
O000359,2025-03-23,C00207,E0019,R002,Delivered,Distributor
O000360,2026-03-28,C00387,E0012,R004,Delivered,Distributor
O000361,2026-01-26,C00160,E0032,R001,Delivered,Online
O000362,2026-07-21,C00308,E0040,R005,Delivered,Marketplace
O000363,2026-04-10,C00390,E0031,R001,Delivered,Distributor
O000364,2025-03-15,C00576,E0040,R005,Delivered,Direct Sales
O000365,2025-07-14,C00481,E0014,R005,Delivered,Online
O000366,2026-02-19,C00513,E0025,R004,Delivered,Distributor
O000367,2025-11-12,C00383,E0026,R006,Cancelled,Online
O000368,2026-01-30,C00419,E0003,R001,Cancelled,Direct Sales
O000369,2025-12-23,C00199,E0029,R006,Processing,Distributor
O000370,2026-03-11,C00378,E0004,R008,Delivered,Direct Sales
O000371,2025-01-29,C00490,E0003,R001,Delivered,Marketplace
O000372,2025-09-11,C00467,E0011,R008,Cancelled,Direct Sales
O000374,2025-06-19,C00531,E0014,R005,Delivered,Marketplace
O000375,2026-08-24,C00310,E0034,R001,Delivered,Distributor
O000376,2025-05-27,C00092,E0007,R002,Delivered,Direct Sales
O000377,2025-06-22,C00408,E0021,R001,Shipped,Online
O000378,2026-06-22,C00100,E0005,R005,Delivered,Marketplace
O000379,2026-01-19,C00442,E0012,R004,Delivered,Direct Sales
O000380,2026-05-30,C00203,E0033,R008,Delivered,Distributor
O000381,2025-07-25,C00581,E0015,R008,Delivered,Direct Sales
O000382,2026-03-28,C00197,E0018,R003,Cancelled,Online
O000383,2025-03-29,C00171,E0006,R002,Delivered,Online
O000384,2025-01-31,C00284,E0005,R005,Cancelled,Direct Sales
O000385,2025-01-10,C00490,E0033,R008,Delivered,Marketplace
O000386,2025-04-10,C00008,E0039,R005,Delivered,Online
O000387,2026-05-13,C00385,E0040,R005,Shipped,Marketplace
O000388,2025-12-18,C00440,E0023,R004,Delivered,Direct Sales
O000389,2025-02-28,C00370,E0027,R008,Delivered,Marketplace
O000390,2026-02-16,C00103,E0001,R002,Delivered,Online
O000391,2025-09-12,C00126,E0035,R002,Delivered,Distributor
O000392,2025-07-12,C00487,E0034,R001,Delivered,Marketplace
O000393,2025-11-30,C00018,E0025,R004,Shipped,Direct Sales
O000394,2025-12-23,C00497,E0027,R008,Delivered,Distributor
O000395,2025-07-19,C00103,E0026,R006,Delivered,Online
O000396,2025-11-05,C00131,E0033,R008,Processing,Distributor
O000397,2026-05-09,C00173,E0030,R003,Processing,Direct Sales
O000398,2025-04-02,C00250,E0015,R008,Delivered,Distributor
O000399,2026-01-28,C00030,E0012,R004,Delivered,Direct Sales
O000400,2025-05-20,C00264,E0032,R001,Processing,Distributor
O000401,2026-08-13,C00093,E0023,R004,Cancelled,Online
O000402,2026-07-30,C00352,E0026,R006,Delivered,Direct Sales
O000403,2025-10-25,C00229,E0018,R003,Delivered,Online
O000404,2025-04-29,C00092,E0023,R004,Cancelled,Marketplace
O000405,2026-08-14,C00131,E0022,R003,Delivered,Marketplace
O000406,2026-02-02,C00064,E0039,R005,Delivered,Marketplace
O000407,2025-04-20,C00374,E0010,R004,Delivered,Online
O000408,2025-05-29,C00552,E0031,R001,Delivered,Direct Sales
O000409,2025-10-18,C00512,E0031,R001,Delivered,Online
O000410,2025-10-08,C00328,E0021,R001,Cancelled,Distributor
O000411,2026-01-21,C00221,E0033,R008,Delivered,Marketplace
O000412,2025-02-23,C00157,E0015,R008,Delivered,Distributor
O000413,2025-01-23,C00402,E0021,R001,Processing,Distributor
O000414,2025-12-23,C00346,E0029,R006,Delivered,Distributor
O000415,2025-10-17,C00074,E0035,R002,Delivered,Distributor
O000416,2026-08-18,C00100,E0010,R004,Delivered,Marketplace
O000417,2026-03-29,C00469,E0012,R004,Shipped,Marketplace
O000418,2025-07-20,C00149,E0015,R008,Delivered,Marketplace
O000419,2026-01-21,C00590,E0007,R002,Delivered,Direct Sales
O000420,2026-05-01,C00058,E0007,R002,Delivered,Online
O000421,2026-08-31,C00121,E0034,R001,Delivered,Direct Sales
O000422,2025-05-02,C00414,E0017,R002,Delivered,Distributor
O000423,2026-01-20,C00501,E0021,R001,Delivered,Distributor
O000424,2026-01-12,C00392,E0019,R002,Delivered,Online
O000425,2026-05-16,C00120,E0006,R002,Processing,Direct Sales
O000426,2025-10-08,C00024,E0039,R005,Delivered,Direct Sales
O000427,2025-11-02,C00394,E0032,R001,Cancelled,Direct Sales
O000428,2026-07-05,C00102,E0022,R003,Delivered,Distributor
O000429,2025-03-07,C00021,E0027,R008,Processing,Online
O000430,2025-07-04,C00213,E0009,R002,Delivered,Distributor
O000431,2025-05-12,C00322,E0009,R002,Cancelled,Direct Sales
O000432,2025-02-05,C00166,E0006,R002,Delivered,Online
O000433,2026-07-12,C00519,E0021,R001,Delivered,Distributor
O000434,2025-02-17,C00001,E0017,R002,Processing,Marketplace
O000435,2026-08-14,C00547,E0030,R003,Shipped,Marketplace
O000436,2025-04-12,C00536,E0024,R002,Delivered,Direct Sales
