Inventory_ID,Snapshot_Date,Product_ID,Warehouse_ID,Opening_Stock,Purchases_Qty,Sales_Qty,Returns_Qty,Closing_Stock,Stock_Value,Stockout_Days
INVSTK-P0008-WH-DEL,2026-08-31,P0008,WH-DEL,129,63,198,18,12,263961.04,8
INVSTK-P0008-WH-KOL,2026-08-31,P0008,WH-KOL,26,28,36,3,21,461931.81,0
INVSTK-P0009-WH-BLR,2026-08-31,P0009,WH-BLR,85,151,126,0,110,228146.3,1
INVSTK-P0009-WH-CHE,2026-08-31,P0009,WH-CHE,47,175,66,8,164,340145.4,2
INVSTK-P0009-WH-MUM,2026-08-31,P0009,WH-MUM,81,106,125,7,69,143109.95,2
INVSTK-P0009-WH-DEL,2026-08-31,P0009,WH-DEL,178,43,152,3,72,149332.13,7
INVSTK-P0009-WH-KOL,2026-08-31,P0009,WH-KOL,26,42,63,5,10,20740.57,0
INVSTK-P0010-WH-BLR,2026-08-31,P0010,WH-BLR,225,153,184,10,204,157671.37,5
INVSTK-P0010-WH-CHE,2026-08-31,P0010,WH-CHE,226,78,0,19,323,249646.33,3
INVSTK-P0010-WH-HYD,2026-08-31,P0010,WH-HYD,71,58,96,16,49,37872.04,8
INVSTK-P0010-WH-MUM,2026-08-31,P0010,WH-MUM,106,146,27,8,233,180085.43,8
INVSTK-P0010-WH-DEL,2026-08-31,P0010,WH-DEL,14,55,7,12,74,57194.52,6
INVSTK-P0010-WH-KOL,2026-08-31,P0010,WH-KOL,95,101,175,18,39,30143.06,3
INVSTK-P0011-WH-CHE,2026-08-31,P0011,WH-CHE,63,130,172,15,36,1060019.34,5
INVSTK-P0011-WH-HYD,2026-08-31,P0011,WH-HYD,164,84,106,14,156,4593417.14,6
INVSTK-P0011-WH-MUM,2026-08-31,P0011,WH-MUM,226,20,59,8,195,5741771.43,2
INVSTK-P0011-WH-DEL,2026-08-31,P0011,WH-DEL,142,33,59,6,122,3592287.76,4
INVSTK-P0011-WH-KOL,2026-08-31,P0011,WH-KOL,216,69,60,0,225,6625120.88,4
INVSTK-P0012-WH-BLR,2026-08-31,P0012,WH-BLR,121,23,78,5,71,1508496.91,7
INVSTK-P0012-WH-HYD,2026-08-31,P0012,WH-HYD,154,91,72,3,176,3739372.63,4
INVSTK-P0012-WH-DEL,2026-08-31,P0012,WH-DEL,164,22,20,4,170,3611894.02,8
INVSTK-P0012-WH-KOL,2026-08-31,P0012,WH-KOL,65,37,81,13,34,722378.8,1
INVSTK-P0013-WH-BLR,2026-08-31,P0013,WH-BLR,246,152,101,5,302,2896128.63,3
INVSTK-P0013-WH-CHE,2026-08-31,P0013,WH-CHE,196,34,162,12,80,767186.39,8
INVSTK-P0013-WH-HYD,2026-08-31,P0013,WH-HYD,107,36,94,2,51,489081.32,3
INVSTK-P0013-WH-MUM,2026-08-31,P0013,WH-MUM,119,122,36,15,220,2109762.58,6
INVSTK-P0013-WH-DEL,2026-08-31,P0013,WH-DEL,171,153,1,11,334,3203003.18,5
INVSTK-P0013-WH-KOL,2026-08-31,P0013,WH-KOL,91,153,2,16,258,2474176.11,4
INVSTK-P0014-WH-BLR,2026-08-31,P0014,WH-BLR,168,132,52,3,251,4627311.16,0
INVSTK-P0014-WH-CHE,2026-08-31,P0014,WH-CHE,55,68,79,13,57,1050823.65,4
INVSTK-P0014-WH-MUM,2026-08-31,P0014,WH-MUM,214,167,176,5,210,3871455.55,0
INVSTK-P0014-WH-DEL,2026-08-31,P0014,WH-DEL,155,121,198,20,98,1806679.26,6
INVSTK-P0014-WH-KOL,2026-08-31,P0014,WH-KOL,128,19,37,14,124,2286002.33,8
INVSTK-P0015-WH-BLR,2026-08-31,P0015,WH-BLR,128,132,181,19,98,1741371.3,0
INVSTK-P0015-WH-CHE,2026-08-31,P0015,WH-CHE,228,17,164,5,86,1528142.16,2
INVSTK-P0015-WH-HYD,2026-08-31,P0015,WH-HYD,103,159,144,11,129,2292213.24,1
INVSTK-P0015-WH-MUM,2026-08-31,P0015,WH-MUM,241,155,13,13,396,7036561.57,2
INVSTK-P0015-WH-DEL,2026-08-31,P0015,WH-DEL,155,77,77,4,159,2825286.09,0
INVSTK-P0015-WH-KOL,2026-08-31,P0015,WH-KOL,94,44,5,6,139,2469904.19,0
INVSTK-P0017-WH-BLR,2026-08-31,P0017,WH-BLR,70,45,86,8,37,877784.26,8
INVSTK-P0017-WH-CHE,2026-08-31,P0017,WH-CHE,46,116,25,17,154,3653480.45,8
INVSTK-P0017-WH-HYD,2026-08-31,P0017,WH-HYD,7,75,81,14,15,355858.49,6
INVSTK-P0017-WH-MUM,2026-08-31,P0017,WH-MUM,149,45,43,18,169,4009338.94,6
INVSTK-P0017-WH-KOL,2026-08-31,P0017,WH-KOL,194,121,163,0,152,3606032.65,7
INVSTK-P0018-WH-BLR,2026-08-31,P0018,WH-BLR,175,39,29,15,200,6056915.97,6
INVSTK-P0018-WH-CHE,2026-08-31,P0018,WH-CHE,208,152,163,18,215,6511184.67,5
INVSTK-P0018-WH-HYD,2026-08-31,P0018,WH-HYD,159,14,90,7,90,2725612.19,0
INVSTK-P0018-WH-DEL,2026-08-31,P0018,WH-DEL,164,156,119,9,210,6359761.77,0
INVSTK-P0019-WH-BLR,2026-08-31,P0019,WH-BLR,158,12,122,0,48,787422.31,0
INVSTK-P0019-WH-CHE,2026-08-31,P0019,WH-CHE,159,113,73,1,200,3280926.3,7
INVSTK-P0019-WH-HYD,2026-08-31,P0019,WH-HYD,225,62,61,18,244,4002730.08,7
INVSTK-P0019-WH-MUM,2026-08-31,P0019,WH-MUM,55,83,29,0,109,1788104.83,0
INVSTK-P0019-WH-DEL,2026-08-31,P0019,WH-DEL,230,148,51,6,333,5462742.28,1
INVSTK-P0019-WH-KOL,2026-08-31,P0019,WH-KOL,133,106,177,16,78,1279561.26,3
INVSTK-P0020-WH-BLR,2026-08-31,P0020,WH-BLR,170,149,134,10,195,5182371.57,1
INVSTK-P0020-WH-CHE,2026-08-31,P0020,WH-CHE,221,65,176,12,122,3242304.26,3
INVSTK-P0020-WH-HYD,2026-08-31,P0020,WH-HYD,221,100,96,12,237,6298574.68,3
INVSTK-P0020-WH-MUM,2026-08-31,P0020,WH-MUM,149,17,173,17,10,265762.64,0
INVSTK-P0020-WH-DEL,2026-08-31,P0020,WH-DEL,10,149,30,16,145,3853558.35,0
INVSTK-P0020-WH-KOL,2026-08-31,P0020,WH-KOL,227,122,59,20,310,8238641.98,2
INVSTK-P0021-WH-BLR,2026-08-31,P0021,WH-BLR,196,24,132,18,106,1035570.81,5
INVSTK-P0021-WH-HYD,2026-08-31,P0021,WH-HYD,177,52,71,16,174,1699899.25,6
INVSTK-P0021-WH-DEL,2026-08-31,P0021,WH-DEL,193,124,80,9,246,2403305.83,5
INVSTK-P0021-WH-KOL,2026-08-31,P0021,WH-KOL,198,4,124,20,98,957414.52,5
INVSTK-P0022-WH-BLR,2026-08-31,P0022,WH-BLR,238,101,128,13,224,1257415.26,8
INVSTK-P0022-WH-HYD,2026-08-31,P0022,WH-HYD,239,178,146,1,272,1526861.39,0
INVSTK-P0022-WH-MUM,2026-08-31,P0022,WH-MUM,22,161,48,17,152,853246.07,8
INVSTK-P0022-WH-DEL,2026-08-31,P0022,WH-DEL,92,147,113,17,143,802724.92,7
INVSTK-P0022-WH-KOL,2026-08-31,P0022,WH-KOL,238,18,148,2,110,617480.71,3
INVSTK-P0023-WH-BLR,2026-08-31,P0023,WH-BLR,159,47,16,3,193,3675376.5,7
INVSTK-P0023-WH-HYD,2026-08-31,P0023,WH-HYD,96,150,99,3,150,2856510.23,4
INVSTK-P0023-WH-MUM,2026-08-31,P0023,WH-MUM,243,171,121,18,311,5922497.88,7
INVSTK-P0023-WH-DEL,2026-08-31,P0023,WH-DEL,171,144,50,16,281,5351195.83,2
INVSTK-P0023-WH-KOL,2026-08-31,P0023,WH-KOL,100,152,68,16,200,3808680.31,1
INVSTK-P0024-WH-BLR,2026-08-31,P0024,WH-BLR,57,170,63,11,175,1066462.45,2
INVSTK-P0024-WH-CHE,2026-08-31,P0024,WH-CHE,150,170,90,8,238,1450388.93,0
INVSTK-P0024-WH-HYD,2026-08-31,P0024,WH-HYD,161,169,7,11,334,2035419.76,4
INVSTK-P0024-WH-MUM,2026-08-31,P0024,WH-MUM,84,59,7,9,145,883640.32,2
INVSTK-P0024-WH-DEL,2026-08-31,P0024,WH-DEL,225,27,73,7,186,1133497.23,1
INVSTK-P0024-WH-KOL,2026-08-31,P0024,WH-KOL,176,107,191,13,105,639877.47,5
INVSTK-P0025-WH-BLR,2026-08-31,P0025,WH-BLR,29,142,151,18,38,42988.07,4
INVSTK-P0025-WH-HYD,2026-08-31,P0025,WH-HYD,35,148,138,2,47,53169.45,6
INVSTK-P0025-WH-MUM,2026-08-31,P0025,WH-MUM,129,124,212,17,58,65613.36,3
INVSTK-P0025-WH-DEL,2026-08-31,P0025,WH-DEL,54,47,97,5,9,10181.38,1
INVSTK-P0026-WH-BLR,2026-08-31,P0026,WH-BLR,130,157,68,15,234,3508859.3,2
INVSTK-P0026-WH-MUM,2026-08-31,P0026,WH-MUM,150,135,194,6,97,1454527.14,6
INVSTK-P0026-WH-DEL,2026-08-31,P0026,WH-DEL,178,36,54,0,160,2399220.03,8
INVSTK-P0026-WH-KOL,2026-08-31,P0026,WH-KOL,20,162,118,4,68,1019668.51,6
INVSTK-P0027-WH-BLR,2026-08-31,P0027,WH-BLR,4,123,110,2,19,209340.67,2
INVSTK-P0027-WH-CHE,2026-08-31,P0027,WH-CHE,70,32,12,9,99,1090775.06,4
INVSTK-P0027-WH-HYD,2026-08-31,P0027,WH-HYD,19,85,100,17,21,231376.53,2
INVSTK-P0027-WH-MUM,2026-08-31,P0027,WH-MUM,216,166,210,1,173,1906101.87,7
INVSTK-P0027-WH-DEL,2026-08-31,P0027,WH-DEL,39,123,173,19,8,88143.44,4
INVSTK-P0027-WH-KOL,2026-08-31,P0027,WH-KOL,146,177,157,8,174,1917119.8,0
INVSTK-P0028-WH-BLR,2026-08-31,P0028,WH-BLR,203,30,182,16,67,1334940.89,8
INVSTK-P0028-WH-CHE,2026-08-31,P0028,WH-CHE,147,44,98,13,106,2111996.03,2
INVSTK-P0028-WH-HYD,2026-08-31,P0028,WH-HYD,228,147,58,20,337,6714553.42,6
INVSTK-P0028-WH-MUM,2026-08-31,P0028,WH-MUM,115,64,14,16,181,3606332.85,6
INVSTK-P0028-WH-DEL,2026-08-31,P0028,WH-DEL,94,104,187,1,12,239093.89,0
INVSTK-P0028-WH-KOL,2026-08-31,P0028,WH-KOL,203,42,189,5,61,1215393.94,5
INVSTK-P0029-WH-BLR,2026-08-31,P0029,WH-BLR,193,180,125,0,248,5950658.76,3
INVSTK-P0029-WH-CHE,2026-08-31,P0029,WH-CHE,76,151,49,11,189,4534977.84,5
INVSTK-P0029-WH-HYD,2026-08-31,P0029,WH-HYD,54,69,30,15,108,2591415.91,6
INVSTK-P0029-WH-MUM,2026-08-31,P0029,WH-MUM,15,122,153,16,0,0,7
INVSTK-P0029-WH-DEL,2026-08-31,P0029,WH-DEL,100,121,152,19,88,2111524.07,3
INVSTK-P0029-WH-KOL,2026-08-31,P0029,WH-KOL,227,107,186,17,165,3959107.64,1
INVSTK-P0030-WH-BLR,2026-08-31,P0030,WH-BLR,237,153,91,5,304,9167131.6,0
INVSTK-P0030-WH-CHE,2026-08-31,P0030,WH-CHE,150,135,78,12,219,6603953.35,3
INVSTK-P0030-WH-HYD,2026-08-31,P0030,WH-HYD,239,72,125,14,200,6031007.63,7
INVSTK-P0030-WH-MUM,2026-08-31,P0030,WH-MUM,65,26,88,9,12,361860.46,6
INVSTK-P0030-WH-DEL,2026-08-31,P0030,WH-DEL,223,50,160,6,119,3588449.54,4
INVSTK-P0030-WH-KOL,2026-08-31,P0030,WH-KOL,174,76,183,3,70,2110852.67,0
INVSTK-P0031-WH-CHE,2026-08-31,P0031,WH-CHE,148,16,77,6,93,1082691.04,4
INVSTK-P0031-WH-HYD,2026-08-31,P0031,WH-HYD,245,37,196,1,87,1012840,7
INVSTK-P0031-WH-MUM,2026-08-31,P0031,WH-MUM,66,128,14,2,182,2118814.72,5
INVSTK-P0031-WH-DEL,2026-08-31,P0031,WH-DEL,92,154,117,5,134,1560006.44,0
INVSTK-P0031-WH-KOL,2026-08-31,P0031,WH-KOL,88,98,80,4,110,1280602.3,2
INVSTK-P0032-WH-CHE,2026-08-31,P0032,WH-CHE,161,140,4,14,311,5193595.05,5
INVSTK-P0032-WH-HYD,2026-08-31,P0032,WH-HYD,250,9,167,1,93,1553068.62,6
INVSTK-P0032-WH-DEL,2026-08-31,P0032,WH-DEL,227,133,135,16,241,4024618.67,0
INVSTK-P0032-WH-KOL,2026-08-31,P0032,WH-KOL,109,144,204,14,63,1052078.74,3
INVSTK-P0033-WH-BLR,2026-08-31,P0033,WH-BLR,198,50,135,4,117,2359278.98,8
INVSTK-P0033-WH-CHE,2026-08-31,P0033,WH-CHE,123,130,175,19,97,1955983.43,1
INVSTK-P0033-WH-HYD,2026-08-31,P0033,WH-HYD,175,113,38,6,256,5162183.08,5
INVSTK-P0033-WH-MUM,2026-08-31,P0033,WH-MUM,248,46,142,17,169,3407847.42,1
INVSTK-P0033-WH-DEL,2026-08-31,P0033,WH-DEL,91,24,48,13,80,1613182.21,2
INVSTK-P0033-WH-KOL,2026-08-31,P0033,WH-KOL,129,127,25,0,231,4658063.64,0
INVSTK-P0034-WH-CHE,2026-08-31,P0034,WH-CHE,219,115,213,0,121,2755516.7,4
INVSTK-P0034-WH-HYD,2026-08-31,P0034,WH-HYD,56,17,53,9,29,660413.09,5
INVSTK-P0034-WH-MUM,2026-08-31,P0034,WH-MUM,200,177,94,2,285,6490266.6,6
INVSTK-P0034-WH-DEL,2026-08-31,P0034,WH-DEL,52,135,131,16,72,1639646.3,3
INVSTK-P0034-WH-KOL,2026-08-31,P0034,WH-KOL,45,129,156,19,37,842596.02,7
INVSTK-P0035-WH-BLR,2026-08-31,P0035,WH-BLR,173,29,10,11,203,1713625.75,7
INVSTK-P0035-WH-HYD,2026-08-31,P0035,WH-HYD,207,19,29,2,199,1679859.73,8
INVSTK-P0035-WH-MUM,2026-08-31,P0035,WH-MUM,3,157,143,2,19,160388.62,6
INVSTK-P0035-WH-DEL,2026-08-31,P0035,WH-DEL,111,175,2,17,301,2540893.36,8
INVSTK-P0035-WH-KOL,2026-08-31,P0035,WH-KOL,249,167,154,3,265,2236999.14,1
INVSTK-P0036-WH-BLR,2026-08-31,P0036,WH-BLR,39,130,28,9,150,1107501.98,7
INVSTK-P0036-WH-CHE,2026-08-31,P0036,WH-CHE,25,68,60,17,50,369167.33,4
INVSTK-P0036-WH-HYD,2026-08-31,P0036,WH-HYD,248,8,27,2,231,1705553.05,5
INVSTK-P0036-WH-MUM,2026-08-31,P0036,WH-MUM,208,161,72,0,297,2192853.92,3
INVSTK-P0036-WH-KOL,2026-08-31,P0036,WH-KOL,15,117,10,10,132,974601.74,5
INVSTK-P0037-WH-CHE,2026-08-31,P0037,WH-CHE,186,125,114,2,199,4841941.54,8
INVSTK-P0037-WH-HYD,2026-08-31,P0037,WH-HYD,107,149,132,13,137,3333396.94,8
INVSTK-P0037-WH-MUM,2026-08-31,P0037,WH-MUM,224,50,15,3,262,6374817.5,7
INVSTK-P0037-WH-DEL,2026-08-31,P0037,WH-DEL,126,108,45,12,201,4890604.27,0
INVSTK-P0037-WH-KOL,2026-08-31,P0037,WH-KOL,156,172,64,19,283,6885776.16,2
INVSTK-P0038-WH-BLR,2026-08-31,P0038,WH-BLR,227,122,173,9,185,3843310.28,5
INVSTK-P0038-WH-CHE,2026-08-31,P0038,WH-CHE,62,120,153,11,40,830986.01,6
INVSTK-P0038-WH-HYD,2026-08-31,P0038,WH-HYD,158,106,140,5,129,2679929.87,6
INVSTK-P0038-WH-MUM,2026-08-31,P0038,WH-MUM,206,176,14,12,380,7894367.06,2
INVSTK-P0038-WH-DEL,2026-08-31,P0038,WH-DEL,143,4,78,3,72,1495774.81,7
INVSTK-P0038-WH-KOL,2026-08-31,P0038,WH-KOL,157,161,95,17,240,4985916.04,8
INVSTK-P0039-WH-BLR,2026-08-31,P0039,WH-BLR,172,55,10,7,224,7495312.07,3
INVSTK-P0039-WH-CHE,2026-08-31,P0039,WH-CHE,87,13,6,6,100,3346121.46,7
INVSTK-P0039-WH-HYD,2026-08-31,P0039,WH-HYD,98,100,10,1,189,6324169.56,2
INVSTK-P0039-WH-MUM,2026-08-31,P0039,WH-MUM,211,132,80,10,273,9134911.59,0
INVSTK-P0039-WH-DEL,2026-08-31,P0039,WH-DEL,53,142,71,14,138,4617647.62,1
INVSTK-P0040-WH-CHE,2026-08-31,P0040,WH-CHE,114,38,63,2,91,1579852.34,0
INVSTK-P0040-WH-HYD,2026-08-31,P0040,WH-HYD,238,172,30,0,380,6597185.6,4
INVSTK-P0040-WH-MUM,2026-08-31,P0040,WH-MUM,236,90,213,18,131,2274292.93,7
INVSTK-P0040-WH-DEL,2026-08-31,P0040,WH-DEL,90,169,26,7,240,4166643.54,0
INVSTK-P0040-WH-KOL,2026-08-31,P0040,WH-KOL,27,42,2,15,82,1423603.21,3
INVSTK-P0041-WH-BLR,2026-08-31,P0041,WH-BLR,5,139,19,12,137,3886306.01,3
INVSTK-P0041-WH-CHE,2026-08-31,P0041,WH-CHE,247,73,128,3,195,5531603.44,1
INVSTK-P0041-WH-HYD,2026-08-31,P0041,WH-HYD,5,86,5,4,90,2553047.74,7
INVSTK-P0041-WH-MUM,2026-08-31,P0041,WH-MUM,195,42,210,10,37,1049586.29,7
INVSTK-P0041-WH-DEL,2026-08-31,P0041,WH-DEL,203,116,199,5,125,3545899.64,6
INVSTK-P0041-WH-KOL,2026-08-31,P0041,WH-KOL,21,154,81,17,111,3148758.88,4
INVSTK-P0042-WH-BLR,2026-08-31,P0042,WH-BLR,199,62,99,3,165,2264228.21,2
INVSTK-P0042-WH-CHE,2026-08-31,P0042,WH-CHE,247,127,48,11,337,4624514.58,8
INVSTK-P0042-WH-HYD,2026-08-31,P0042,WH-HYD,91,139,168,4,66,905691.28,4
INVSTK-P0042-WH-KOL,2026-08-31,P0042,WH-KOL,114,97,43,6,174,2387731.56,6
INVSTK-P0043-WH-CHE,2026-08-31,P0043,WH-CHE,183,26,200,7,16,445228.98,5
INVSTK-P0043-WH-HYD,2026-08-31,P0043,WH-HYD,204,0,36,9,177,4925345.63,8
INVSTK-P0043-WH-MUM,2026-08-31,P0043,WH-MUM,220,169,186,10,213,5927110.85,5
INVSTK-P0043-WH-DEL,2026-08-31,P0043,WH-DEL,200,45,86,12,171,4758384.77,8
INVSTK-P0043-WH-KOL,2026-08-31,P0043,WH-KOL,242,114,177,20,199,5537535.49,0
INVSTK-P0044-WH-BLR,2026-08-31,P0044,WH-BLR,134,137,10,12,273,110073.47,3
INVSTK-P0044-WH-CHE,2026-08-31,P0044,WH-CHE,89,122,200,4,15,6047.99,8
INVSTK-P0044-WH-HYD,2026-08-31,P0044,WH-HYD,210,160,153,17,234,94348.69,2
INVSTK-P0044-WH-MUM,2026-08-31,P0044,WH-MUM,11,88,78,2,23,9273.59,3
INVSTK-P0044-WH-DEL,2026-08-31,P0044,WH-DEL,119,44,139,5,29,11692.79,1
INVSTK-P0044-WH-KOL,2026-08-31,P0044,WH-KOL,45,112,21,12,148,59673.53,4
INVSTK-P0045-WH-CHE,2026-08-31,P0045,WH-CHE,236,164,140,1,261,8234424.78,0
INVSTK-P0045-WH-HYD,2026-08-31,P0045,WH-HYD,200,105,133,8,180,5678913.64,1
INVSTK-P0045-WH-MUM,2026-08-31,P0045,WH-MUM,194,175,19,13,363,11452475.85,0
INVSTK-P0045-WH-DEL,2026-08-31,P0045,WH-DEL,223,42,161,1,105,3312699.63,1
INVSTK-P0045-WH-KOL,2026-08-31,P0045,WH-KOL,43,37,27,4,57,1798322.65,5
INVSTK-P0046-WH-BLR,2026-08-31,P0046,WH-BLR,138,78,201,15,30,904809.74,2
INVSTK-P0046-WH-CHE,2026-08-31,P0046,WH-CHE,60,134,117,9,86,2593787.92,8
INVSTK-P0046-WH-HYD,2026-08-31,P0046,WH-HYD,221,73,129,18,183,5519339.41,3
INVSTK-P0046-WH-MUM,2026-08-31,P0046,WH-MUM,195,165,104,18,274,8263928.95,8
INVSTK-P0046-WH-DEL,2026-08-31,P0046,WH-DEL,3,179,32,5,155,4674850.32,5
INVSTK-P0046-WH-KOL,2026-08-31,P0046,WH-KOL,250,11,144,3,120,3619238.96,3
INVSTK-P0047-WH-BLR,2026-08-31,P0047,WH-BLR,95,169,187,14,91,1020681.53,8
INVSTK-P0047-WH-CHE,2026-08-31,P0047,WH-CHE,199,23,55,15,182,2041363.06,4
INVSTK-P0047-WH-MUM,2026-08-31,P0047,WH-MUM,192,120,5,18,325,3645291.18,5
INVSTK-P0047-WH-DEL,2026-08-31,P0047,WH-DEL,33,31,15,8,57,639327.99,6
INVSTK-P0047-WH-KOL,2026-08-31,P0047,WH-KOL,204,1,87,19,137,1536630.44,8
INVSTK-P0048-WH-BLR,2026-08-31,P0048,WH-BLR,151,144,41,12,266,1640832.84,1
INVSTK-P0048-WH-HYD,2026-08-31,P0048,WH-HYD,186,124,190,13,133,820416.42,1
INVSTK-P0048-WH-MUM,2026-08-31,P0048,WH-MUM,179,73,146,8,114,703214.07,3
INVSTK-P0048-WH-KOL,2026-08-31,P0048,WH-KOL,59,106,128,3,40,246741.78,4
INVSTK-P0049-WH-BLR,2026-08-31,P0049,WH-BLR,219,173,196,11,207,2107645.85,7
INVSTK-P0049-WH-CHE,2026-08-31,P0049,WH-CHE,205,80,207,8,86,875640.3,5
INVSTK-P0049-WH-HYD,2026-08-31,P0049,WH-HYD,43,56,80,11,30,305455.92,8
INVSTK-P0049-WH-MUM,2026-08-31,P0049,WH-MUM,154,119,32,18,259,2637102.78,5
INVSTK-P0049-WH-DEL,2026-08-31,P0049,WH-DEL,93,0,89,11,15,152727.96,2
INVSTK-P0049-WH-KOL,2026-08-31,P0049,WH-KOL,71,17,25,0,63,641457.43,8
INVSTK-P0050-WH-BLR,2026-08-31,P0050,WH-BLR,124,164,22,10,276,184337.1,4
INVSTK-P0050-WH-CHE,2026-08-31,P0050,WH-CHE,2,156,144,5,19,12689.87,2
INVSTK-P0050-WH-HYD,2026-08-31,P0050,WH-HYD,158,175,172,6,167,111537.3,4
INVSTK-P0050-WH-MUM,2026-08-31,P0050,WH-MUM,104,102,42,19,183,122223.51,7
INVSTK-P0050-WH-KOL,2026-08-31,P0050,WH-KOL,57,90,70,11,88,58774.15,5
INVSTK-P0051-WH-BLR,2026-08-31,P0051,WH-BLR,116,47,110,6,59,289468.33,4
INVSTK-P0051-WH-CHE,2026-08-31,P0051,WH-CHE,132,95,207,10,30,147187.29,0
INVSTK-P0051-WH-MUM,2026-08-31,P0051,WH-MUM,241,40,152,12,141,691780.26,7
INVSTK-P0051-WH-DEL,2026-08-31,P0051,WH-DEL,198,137,40,17,312,1530747.8,6
INVSTK-P0052-WH-BLR,2026-08-31,P0052,WH-BLR,225,131,83,19,292,1866269.09,0
INVSTK-P0052-WH-HYD,2026-08-31,P0052,WH-HYD,145,163,78,7,237,1514745.81,4
INVSTK-P0052-WH-MUM,2026-08-31,P0052,WH-MUM,29,2,38,7,0,0,0
INVSTK-P0052-WH-DEL,2026-08-31,P0052,WH-DEL,27,169,50,1,147,939525.88,1
INVSTK-P0052-WH-KOL,2026-08-31,P0052,WH-KOL,203,17,62,4,162,1035395.87,6
INVSTK-P0053-WH-BLR,2026-08-31,P0053,WH-BLR,242,61,63,19,259,1709501.34,8
INVSTK-P0053-WH-CHE,2026-08-31,P0053,WH-CHE,141,104,131,9,123,811848.12,6
INVSTK-P0053-WH-HYD,2026-08-31,P0053,WH-HYD,109,106,135,12,92,607236,7
INVSTK-P0053-WH-DEL,2026-08-31,P0053,WH-DEL,222,91,175,7,145,957056.73,1
