Return_ID,Return_Date,Transaction_ID,Order_ID,Customer_ID,Product_ID,Return_Qty,Return_Value,Return_Reason,Return_Status
RET00029,2026-07-05,ST0000166,O001811,C00146,P0102,3,82975.98,Late Delivery,Rejected
RET00030,2026-07-27,ST0003481,O000002,C00097,P0063,2,29668.67,Damaged,Pending
RET00031,2026-04-19,ST0002877,O000647,C00511,P0041,1,45440.73,Defective,Rejected
RET00032,2025-07-04,ST0002575,O000331,C00080,P0122,1,5311.58,Wrong Item,Approved
RET00033,2026-02-15,ST0001268,O000379,C00442,P0129,2,25248.87,Damaged,Pending
RET00034,2025-11-02,ST0003041,O001628,C00389,P0128,1,4736.51,Defective,Approved
RET00035,2026-08-17,ST0001717,O001546,C00140,P0054,2,25358.75,Defective,Approved
RET00036,2025-05-30,ST0002499,O000259,C00456,P0135,1,6198.53,Late Delivery,Approved
RET00037,2026-09-23,ST0003470,O000907,C00260,P0088,1,22892.72,Wrong Item,Pending
RET00038,2026-01-14,ST0003407,O002851,C00572,P0037,3,78470.97,Late Delivery,Rejected
RET00039,2026-08-09,ST0002277,O001335,C00311,P0022,2,11567.68,Late Delivery,Rejected
RET00040,2026-07-31,ST0002457,O001577,C00063,P0008,1,34019.88,Not Needed,Approved
RET00042,2025-05-02,ST0002367,O002960,C00588,P0135,2,17008.62,Late Delivery,Approved
RET00043,2025-10-26,ST0003802,O002034,C00574,P0005,2,21032.99,Late Delivery,Approved
RET00044,2025-03-23,ST0000496,O000569,C00298,P0067,1,35773.65,Wrong Item,Approved
RET00045,2025-11-09,ST0003529,O001220,C00021,P0046,1,40652.36,Wrong Item,Pending
RET00046,2026-09-20,ST0002810,O000016,C00093,P0071,3,100154.36,Damaged,Pending
RET00047,2025-01-08,ST0002909,O001919,C00417,P0138,5,108377.42,Wrong Item,Approved
RET00048,2025-07-24,ST0003610,O002923,C00001,P0046,3,155070.18,Not Needed,Approved
RET00049,2026-03-23,ST0001799,O002138,C00547,P0072,1,49024.34,Late Delivery,Pending
RET00050,2026-09-25,ST0000175,O002458,C00465,P0029,1,33984.67,Damaged,Rejected
RET00051,2025-12-17,ST0001864,O002973,C00419,P0034,4,133293.09,Wrong Item,Approved
RET00052,2026-05-21,ST0000099,O002416,C00546,P0082,4,84893.52,Damaged,Pending
RET00053,2026-08-23,ST0003695,O002114,C00068,P0032,7,159999.14,Defective,Rejected
RET00054,2025-07-03,ST0002902,O002238,C00539,P0060,2,87453.96,Damaged,Approved
RET00055,2026-01-26,ST0001854,O000414,C00346,P0135,6,41278.75,Defective,Pending
RET00056,2026-09-16,ST0001531,O002236,C00249,P0079,3,74935.38,Not Needed,Rejected
RET00057,2026-03-17,ST0001910,O000614,C00132,P0062,1,26553.07,Damaged,Rejected
RET00058,2026-07-22,ST0001157,O001767,C00401,P0042,2,31626.93,Damaged,Rejected
RET00059,2026-03-12,ST0002498,O002233,C00403,P0029,3,106317.49,Late Delivery,Approved
RET00060,2026-04-26,ST0000763,O000113,C00453,P0062,4,111087.22,Late Delivery,Pending
RET00061,2025-12-11,ST0003068,O000454,C00283,P0085,5,83334.38,Damaged,Approved
RET00062,2026-05-19,ST0000203,O000154,C00166,P0128,1,5537.34,Not Needed,Pending
RET00063,2026-05-19,ST0000472,O000556,C00189,P0083,4,193875.19,Not Needed,Approved
RET00064,2026-08-14,ST0001576,O001532,C00100,P0063,6,107546.67,Defective,Pending
RET00065,2025-12-27,ST0002120,O000773,C00251,P0048,1,6243.14,Damaged,Approved
RET00066,2026-07-18,ST0002371,O002516,C00286,P0086,5,102855.7,Late Delivery,Pending
RET00067,2025-03-29,ST0003178,O002422,C00053,P0049,3,55319.64,Late Delivery,Rejected
RET00068,2025-10-29,ST0000761,O000981,C00546,P0074,1,14212.15,Defective,Pending
RET00069,2025-05-24,ST0000044,O001196,C00047,P0068,4,87383.16,Wrong Item,Approved
RET00070,2026-01-08,ST0003025,O000336,C00432,P0044,2,1205.38,Wrong Item,Approved
RET00071,2026-09-17,ST0001469,O002841,C00047,P0054,1,14347.14,Defective,Rejected
RET00072,2026-02-12,ST0002431,O000276,C00313,P0085,2,44375.22,Wrong Item,Approved
RET00073,2025-01-28,ST0001955,O002494,C00146,P0057,1,26120.47,Defective,Pending
RET00074,2026-06-29,ST0000655,O000961,C00289,P0141,2,27224.18,Defective,Rejected
RET00075,2026-08-05,ST0003666,O001867,C00213,P0057,1,22365.21,Not Needed,Approved
RET00076,2025-12-06,ST0001183,O002598,C00016,P0014,4,71047.36,Damaged,Rejected
RET00077,2026-01-12,ST0000445,O000467,C00359,P0001,2,52609.47,Damaged,Pending
RET00078,2026-01-03,ST0001894,O000632,C00494,P0106,4,154764.87,Wrong Item,Rejected
RET00079,2026-07-09,ST0000602,O001482,C00495,P0067,4,143919.14,Defective,Approved
RET00080,2026-05-24,ST0003794,O002932,C00408,P0098,3,113947.02,Wrong Item,Rejected
RET00081,2025-05-26,ST0003301,O002995,C00493,P0107,1,5525.62,Late Delivery,Approved
RET00082,2025-11-30,ST0003382,O001360,C00508,P0113,5,8916,Defective,Rejected
RET00083,2026-01-02,ST0002929,O001048,C00330,P0008,1,30375.89,Wrong Item,Rejected
RET00084,2025-09-15,ST0001339,O000947,C00501,P0001,1,25844.83,Late Delivery,Rejected
RET00085,2026-04-11,ST0002843,O000500,C00447,P0005,3,28489.99,Late Delivery,Rejected
RET00086,2026-08-08,ST0000788,O000278,C00134,P0071,2,59196.86,Wrong Item,Pending
RET00087,2025-11-16,ST0000420,O001371,C00481,P0127,2,17298.61,Not Needed,Pending
RET00088,2025-06-15,ST0000353,O000201,C00346,P0133,2,9578.64,Late Delivery,Rejected
RET00089,2025-10-22,ST0003968,O000962,C00052,P0056,1,46850.49,Defective,Approved
RET00090,2025-08-08,ST0003817,O000626,C00322,P0054,3,44450.02,Defective,Rejected
RET00091,2025-08-14,ST0001341,O002728,C00151,P0097,1,9261.89,Defective,Approved
RET00092,2026-08-28,ST0001134,O002126,C00402,P0127,1,7199.64,Wrong Item,Rejected
RET00093,2025-10-10,ST0003034,O001991,C00092,P0065,2,67849.42,Damaged,Pending
RET00094,2025-12-01,ST0001683,O000773,C00251,P0093,1,15241.63,Damaged,Approved
RET00095,2025-07-03,ST0003983,O000551,C00014,P0148,1,16907.92,Late Delivery,Rejected
RET00096,2026-01-29,ST0001894,O000632,C00494,P0106,3,116073.65,Wrong Item,Approved
RET00097,2025-04-27,ST0003745,O000707,C00396,P0098,2,64664.4,Damaged,Approved
RET00098,2026-05-10,ST0000598,O001871,C00111,P0030,2,78421.2,Not Needed,Rejected
RET00099,2026-04-30,ST0003728,O001296,C00084,P0027,5,76451.04,Late Delivery,Rejected
RET00100,2026-05-13,ST0002206,O001182,C00466,P0064,4,59465.08,Not Needed,Pending
RET00101,2026-06-04,ST0000472,O000556,C00189,P0083,3,145406.39,Not Needed,Pending
RET00102,2025-10-12,ST0002936,O002278,C00488,P0104,3,12265.77,Not Needed,Approved
RET00103,2026-07-12,ST0000926,O001115,C00411,P0113,7,11217.34,Not Needed,Approved
RET00104,2025-08-13,ST0002545,O000306,C00066,P0091,2,37383.98,Late Delivery,Rejected
RET00105,2025-03-24,ST0002551,O000555,C00129,P0028,1,21811.97,Damaged,Pending
RET00106,2026-02-28,ST0003839,O002252,C00266,P0040,3,80140.65,Not Needed,Approved
RET00107,2025-02-10,ST0001981,O000552,C00178,P0100,3,124013.32,Defective,Rejected
RET00108,2026-03-19,ST0000395,O002614,C00122,P0095,1,2019.2,Damaged,Approved
RET00109,2025-09-23,ST0000533,O001489,C00380,P0127,4,32395.88,Not Needed,Approved
RET00110,2025-04-11,ST0001982,O001590,C00205,P0022,1,6237.72,Damaged,Pending
RET00111,2026-02-05,ST0003151,O000302,C00313,P0064,3,38642.56,Late Delivery,Pending
RET00112,2025-12-10,ST0000113,O000296,C00557,P0096,1,27581.97,Wrong Item,Rejected
RET00113,2025-08-08,ST0001784,O000665,C00222,P0109,4,155111.03,Damaged,Pending
RET00114,2025-12-28,ST0000890,O000918,C00187,P0069,2,30058.68,Wrong Item,Approved
RET00115,2026-06-15,ST0001930,O000791,C00478,P0133,1,4841.09,Damaged,Approved
RET00116,2025-08-27,ST0003574,O000808,C00337,P0100,2,88187,Not Needed,Approved
RET00117,2025-10-24,ST0002727,O001979,C00333,P0019,1,15640.3,Wrong Item,Approved
RET00118,2026-05-18,ST0000598,O001871,C00111,P0030,5,196053.01,Damaged,Approved
RET00119,2026-03-11,ST0002225,O002378,C00135,P0024,1,6159.62,Not Needed,Approved
RET00120,2025-12-22,ST0002040,O000536,C00286,P0030,2,95397.42,Not Needed,Pending
RET00121,2025-02-04,ST0000659,O002578,C00085,P0066,7,210594.23,Damaged,Approved
RET00122,2026-06-19,ST0000732,O002362,C00011,P0059,2,48460.6,Wrong Item,Rejected
RET00123,2026-08-31,ST0001230,O002817,C00387,P0143,7,190373.72,Defective,Pending
RET00124,2026-04-16,ST0002648,O000108,C00512,P0092,3,139001.8,Not Needed,Rejected
RET00125,2026-03-09,ST0002202,O000550,C00541,P0040,5,131291.47,Late Delivery,Rejected
RET00126,2026-01-29,ST0000987,O002535,C00031,P0079,2,39654.92,Damaged,Pending
RET00127,2026-05-17,ST0003999,O001044,C00342,P0070,3,44496.3,Late Delivery,Rejected
RET00128,2026-03-16,ST0001235,O001402,C00316,P0076,1,15456.18,Defective,Approved
RET00129,2026-07-08,ST0001536,O002985,C00239,P0102,1,30512.06,Wrong Item,Approved
RET00130,2025-09-17,ST0001225,O001020,C00231,P0023,1,24136.8,Defective,Rejected
RET00131,2025-12-26,ST0002119,O000885,C00537,P0051,1,7427.01,Not Needed,Approved
RET00132,2026-08-31,ST0003857,O001294,C00243,P0135,5,37230.3,Not Needed,Approved
RET00133,2026-02-10,ST0002108,O001081,C00468,P0086,7,135462.6,Not Needed,Rejected
RET00134,2026-02-23,ST0001166,O000251,C00088,P0111,2,64717.32,Late Delivery,Approved
RET00135,2026-01-13,ST0003713,O000185,C00596,P0011,1,39676.85,Late Delivery,Rejected
RET00136,2025-01-27,ST0002170,O002460,C00508,P0043,4,159597.68,Defective,Pending
RET00137,2026-02-26,ST0000633,O002979,C00113,P0134,3,46378.06,Wrong Item,Rejected
RET00138,2025-12-20,ST0001738,O000964,C00428,P0110,6,2574,Defective,Pending
RET00139,2025-04-22,ST0000023,O000541,C00540,P0057,3,75394.04,Wrong Item,Approved
RET00140,2026-08-27,ST0002121,O001556,C00563,P0078,1,19437.56,Defective,Approved
RET00141,2026-03-12,ST0001719,O002752,C00425,P0015,1,24867.78,Wrong Item,Rejected
RET00142,2026-05-05,ST0002579,O001292,C00335,P0024,2,15937.56,Late Delivery,Approved
RET00143,2025-03-06,ST0000422,O000621,C00282,P0108,1,15396.44,Late Delivery,Approved
RET00144,2026-01-13,ST0003730,O002057,C00403,P0115,3,81820.08,Damaged,Approved
RET00145,2025-11-20,ST0001047,O001082,C00103,P0088,1,25509.36,Defective,Rejected
RET00146,2026-09-10,ST0000151,O000618,C00157,P0077,1,478.31,Not Needed,Pending
RET00147,2025-09-06,ST0000355,O002225,C00251,P0053,1,10813.35,Defective,Approved
RET00148,2025-10-05,ST0003526,O002156,C00558,P0080,7,58379.02,Late Delivery,Rejected
RET00149,2026-07-22,ST0001576,O001532,C00100,P0063,1,17924.44,Not Needed,Approved
RET00150,2025-05-25,ST0000061,O000471,C00439,P0109,2,82786.88,Late Delivery,Approved
RET00151,2026-01-16,ST0000796,O002050,C00480,P0087,3,15351.9,Late Delivery,Approved
RET00152,2026-03-25,ST0000385,O002209,C00207,P0018,1,32575.5,Late Delivery,Rejected
RET00153,2026-07-24,ST0000732,O002362,C00011,P0059,8,193842.4,Late Delivery,Rejected
RET00154,2025-07-03,ST0002938,O002475,C00103,P0007,1,21261.62,Defective,Rejected
RET00155,2025-07-08,ST0003937,O000349,C00511,P0062,2,47946.13,Not Needed,Approved
RET00156,2025-04-02,ST0001146,O000218,C00326,P0022,5,28167.48,Late Delivery,Rejected
RET00157,2025-03-19,ST0001575,O000110,C00504,P0145,6,17694.05,Late Delivery,Rejected
RET00158,2025-09-05,ST0002392,O000324,C00462,P0118,5,101134.85,Wrong Item,Rejected
RET00159,2025-11-19,ST0000238,O001789,C00461,P0075,2,73248.88,Late Delivery,Approved
RET00160,2025-02-21,ST0001099,O002790,C00307,P0041,1,40920.1,Damaged,Approved
RET00162,2025-03-07,ST0001983,O000562,C00578,P0139,2,70304.79,Defective,Rejected
RET00163,2025-11-19,ST0003050,O002962,C00327,P0112,3,96257.25,Defective,Pending
RET00164,2025-09-04,ST0003775,O001206,C00089,P0150,2,102356.02,Damaged,Approved
RET00165,2026-06-08,ST0003564,O000533,C00357,P0100,6,246144.31,Defective,Approved
RET00166,2025-11-12,ST0002025,O000559,C00344,P0102,3,68252.5,Late Delivery,Rejected
RET00167,2025-12-26,ST0001270,O002695,C00340,P0037,2,55820.99,Late Delivery,Approved
RET00168,2026-08-30,ST0002753,O001133,C00111,P0050,7,7392.61,Damaged,Approved
RET00169,2025-06-18,ST0002852,O001243,C00288,P0103,7,260822.96,Wrong Item,Approved
RET00170,2026-07-27,ST0002701,O002966,C00346,P0001,1,23351.89,Damaged,Approved
RET00171,2025-10-07,ST0003061,O002773,C00429,P0005,3,33236.22,Not Needed,Approved
RET00172,2025-06-09,ST0000909,O001363,C00069,P0053,1,8057.71,Late Delivery,Rejected
RET00173,2026-08-12,ST0000169,O000784,C00567,P0028,8,155120.17,Defective,Rejected
RET00174,2025-09-22,ST0002565,O001541,C00496,P0109,7,296029.34,Defective,Pending
RET00175,2025-09-30,ST0002543,O000934,C00409,P0133,6,28159.81,Wrong Item,Approved
RET00176,2026-09-03,ST0003519,O002544,C00164,P0089,2,62690.14,Wrong Item,Approved
RET00177,2025-12-18,ST0002726,O002095,C00090,P0067,3,89945.78,Wrong Item,Approved
RET00178,2026-04-15,ST0000611,O000191,C00271,P0043,3,104878.82,Wrong Item,Approved
RET00179,2026-09-21,ST0003168,O002082,C00129,P0043,1,34412.86,Defective,Rejected
RET00180,2025-08-06,ST0003127,O002338,C00117,P0047,3,36242.08,Damaged,Pending
RET00181,2026-06-02,ST0002313,O000069,C00564,P0095,3,5029.18,Damaged,Pending
RET00182,2025-01-19,ST0003934,O000747,C00209,P0126,4,164224.79,Wrong Item,Approved
RET00183,2025-09-20,ST0003697,O000189,C00436,P0103,4,149819.48,Not Needed,Pending
RET00184,2025-11-05,ST0003124,O001974,C00408,P0147,6,311613.18,Defective,Rejected
RET00185,2026-07-27,ST0000711,O002587,C00596,P0003,2,3545.23,Wrong Item,Pending
RET00186,2026-05-24,ST0002412,O000154,C00166,P0049,2,32067.86,Late Delivery,Approved
RET00187,2026-08-05,ST0001503,O001382,C00022,P0006,5,130924.46,Not Needed,Approved
RET00188,2025-11-27,ST0001711,O000124,C00167,P0029,1,30140.69,Not Needed,Pending
RET00189,2025-03-14,ST0001505,O000098,C00185,P0018,3,111389.16,Damaged,Approved
RET00190,2026-08-16,ST0000887,O001133,C00111,P0023,1,28083.61,Defective,Rejected
RET00191,2025-02-12,ST0000277,O002622,C00474,P0138,3,74921.19,Wrong Item,Approved
RET00192,2026-06-25,ST0000157,O002418,C00554,P0061,1,40830.8,Defective,Rejected
RET00193,2025-11-22,ST0002577,O000634,C00257,P0091,6,130572.7,Late Delivery,Rejected
RET00194,2026-07-21,ST0000461,O002653,C00080,P0008,2,69466.81,Defective,Approved
RET00195,2025-11-29,ST0001226,O001798,C00103,P0054,3,48779.31,Wrong Item,Pending
RET00196,2025-06-24,ST0002358,O000431,C00322,P0145,3,7617.19,Damaged,Pending
RET00197,2026-01-31,ST0003018,O000166,C00172,P0095,1,1689.01,Wrong Item,Pending
RET00198,2025-05-14,ST0003533,O001571,C00589,P0148,4,70019.04,Not Needed,Approved
RET00199,2026-07-25,ST0002305,O000222,C00252,P0062,4,113780.52,Wrong Item,Rejected
RET00201,2026-07-11,ST0001716,O000629,C00125,P0092,2,110715.5,Damaged,Approved
RET00202,2025-03-15,ST0002486,O000702,C00290,P0042,6,121602.15,Late Delivery,Approved
RET00203,2025-07-15,ST0001214,O001190,C00057,P0115,1,34638.2,Wrong Item,Pending
RET00204,2025-11-06,ST0000563,O000157,C00166,P0041,2,75794.02,Late Delivery,Pending
RET00205,2026-04-03,ST0001447,O001010,C00267,P0147,3,115003.78,Late Delivery,Rejected
RET00206,2026-08-09,ST0003628,O001965,C00169,P0148,2,24900.12,Wrong Item,Approved
RET00207,2025-09-01,ST0002268,O002773,C00429,P0001,1,29493.36,Defective,Pending
RET00208,2025-11-27,ST0001246,O000409,C00512,P0134,5,76254.08,Defective,Pending
RET00209,2026-03-23,ST0000740,O002119,C00428,P0074,3,42992.42,Not Needed,Pending
RET00210,2025-02-03,ST0003978,O001175,C00002,P0095,3,5982.69,Not Needed,Rejected
RET00211,2025-06-24,ST0003113,O002775,C00176,P0107,1,6708.35,Damaged,Rejected
RET00212,2026-08-13,ST0003016,O002704,C00170,P0137,4,98470.66,Not Needed,Approved
RET00213,2026-08-17,ST0000840,O000544,C00302,P0142,3,94977.33,Not Needed,Pending
RET00214,2025-09-17,ST0003682,O001606,C00472,P0087,4,18090.86,Not Needed,Approved
RET00215,2025-10-01,ST0003536,O001720,C00049,P0122,1,5238.11,Defective,Pending
RET00216,2026-02-13,ST0000267,O000577,C00452,P0065,2,68461.12,Defective,Rejected
RET00217,2026-05-11,ST0000263,O002098,C00080,P0072,1,42204.11,Not Needed,Rejected
RET00218,2026-01-31,ST0002219,O001378,C00006,P0143,4,147575.58,Wrong Item,Approved
RET00219,2025-10-28,ST0002831,O001584,C00535,P0092,1,53750.61,Wrong Item,Approved
RET00220,2025-06-06,ST0001255,O002160,C00544,P0142,1,30648.03,Not Needed,Approved
RET00221,2025-08-07,ST0000359,O001375,C00600,P0065,5,183101.43,Late Delivery,Rejected
RET00222,2025-12-26,ST0003516,O001210,C00516,P0001,2,59835.22,Wrong Item,Rejected
RET00223,2025-06-26,ST0003425,O001118,C00061,P0124,1,8671.43,Wrong Item,Pending
RET00224,2026-07-07,ST0000542,O000356,C00563,P0082,3,78888.98,Wrong Item,Pending
RET00225,2025-10-07,ST0001053,O000481,C00256,P0027,1,15356.09,Not Needed,Approved
RET00226,2025-02-22,ST0000715,O000825,C00327,P0002,1,4765.83,Damaged,Approved
RET00227,2026-05-10,ST0003197,O001757,C00080,P0137,1,26435.23,Damaged,Approved
RET00228,2025-04-28,ST0003283,O000208,C00252,P0135,1,6923.47,Wrong Item,Approved
RET00229,2025-07-01,ST0001167,O001097,C00225,P0147,3,146316.98,Defective,Pending
RET00230,2025-10-08,ST0001140,O001716,C00378,P0013,1,9859.18,Damaged,Approved
RET00231,2026-01-06,ST0002713,O001878,C00210,P0112,2,66425.65,Late Delivery,Rejected
RET00232,2026-08-07,ST0001836,O001405,C00321,P0038,2,53273.81,Defective,Pending
RET00233,2026-02-20,ST0003263,O002819,C00508,P0131,1,35770.16,Damaged,Pending
RET00234,2025-02-06,ST0001918,O002548,C00271,P0075,7,298063.64,Defective,Approved
RET00235,2025-08-05,ST0003348,O001813,C00451,P0035,3,26015.47,Defective,Rejected
RET00236,2026-04-26,ST0000942,O002597,C00563,P0125,5,55189.27,Late Delivery,Rejected
RET00237,2025-06-28,ST0002879,O002569,C00444,P0040,2,53263.23,Wrong Item,Rejected
RET00238,2025-08-04,ST0000575,O001419,C00131,P0021,3,41094.93,Wrong Item,Rejected
RET00239,2026-08-31,ST0000687,O002544,C00164,P0139,1,44143.84,Wrong Item,Approved
RET00240,2026-08-09,ST0000623,O001993,C00534,P0059,1,20143.96,Late Delivery,Pending
RET00241,2026-04-07,ST0002918,O002056,C00343,P0082,2,53515.12,Wrong Item,Pending
RET00242,2025-06-24,ST0002617,O002809,C00284,P0101,1,33686.9,Not Needed,Approved
RET00243,2026-03-29,ST0002402,O002346,C00131,P0070,1,15455.91,Not Needed,Rejected
RET00244,2026-06-14,ST0001808,O002296,C00515,P0144,1,19308.68,Damaged,Approved
RET00245,2025-12-28,ST0002687,O000449,C00102,P0111,3,97662.14,Not Needed,Rejected
RET00246,2025-04-07,ST0003443,O002727,C00205,P0094,5,194396.55,Damaged,Approved
RET00247,2025-01-26,ST0003366,O002468,C00291,P0126,4,164141.8,Defective,Rejected
RET00248,2026-01-09,ST0000807,O000488,C00312,P0126,6,217826.66,Damaged,Rejected
RET00249,2025-11-12,ST0002820,O002598,C00016,P0036,5,45103.54,Wrong Item,Rejected
RET00250,2025-08-22,ST0003920,O001419,C00131,P0001,3,85348.72,Wrong Item,Pending
RET00251,2025-08-02,ST0002666,O000694,C00369,P0072,1,49092.27,Defective,Rejected
RET00252,2025-11-07,ST0003269,O001150,C00042,P0024,3,20558.93,Wrong Item,Pending
RET00253,2025-05-06,ST0003885,O002124,C00042,P0090,1,15721.78,Late Delivery,Rejected
RET00254,2026-03-21,ST0002194,O001858,C00442,P0100,2,87842.36,Not Needed,Approved
RET00255,2026-02-28,ST0002685,O002372,C00209,P0116,1,26721.37,Wrong Item,Approved
RET00256,2025-08-10,ST0000773,O001497,C00041,P0063,1,21585.42,Not Needed,Approved
RET00257,2025-12-17,ST0001413,O001189,C00575,P0085,1,17590.75,Not Needed,Pending
RET00258,2026-03-15,ST0002618,O000241,C00574,P0060,2,89283.65,Wrong Item,Rejected
RET00259,2025-07-05,ST0000416,O000821,C00138,P0047,2,27585.36,Damaged,Rejected
RET00260,2025-10-12,ST0000406,O002003,C00523,P0056,1,37113.18,Wrong Item,Pending
RET00261,2025-02-03,ST0000555,O002490,C00342,P0063,4,80923.12,Wrong Item,Approved
RET00262,2026-03-16,ST0003890,O002378,C00135,P0081,1,31751.6,Defective,Approved
RET00263,2026-07-19,ST0000646,O002858,C00245,P0013,1,9317.91,Late Delivery,Rejected
RET00264,2026-08-03,ST0002965,O001738,C00240,P0050,3,3223.35,Defective,Pending
RET00265,2025-08-10,ST0000343,O001531,C00426,P0030,2,96585.32,Defective,Approved
RET00266,2025-09-14,ST0002128,O001152,C00149,P0110,2,653.04,Late Delivery,Approved
RET00267,2025-07-22,ST0002870,O002547,C00033,P0083,7,383590.55,Late Delivery,Pending
RET00268,2026-01-20,ST0003661,O000641,C00075,P0129,2,33337.38,Wrong Item,Pending
RET00269,2025-01-20,ST0003473,O002329,C00173,P0078,4,76427.84,Damaged,Approved
RET00270,2025-07-11,ST0002717,O002968,C00262,P0128,1,5237.55,Late Delivery,Pending
RET00271,2026-06-12,ST0002106,O000690,C00503,P0098,4,153372.06,Not Needed,Pending
RET00272,2026-02-20,ST0001904,O002266,C00017,P0049,2,34135.86,Damaged,Rejected
RET00273,2025-05-13,ST0003522,O002018,C00387,P0123,4,88014.02,Wrong Item,Rejected
RET00274,2025-07-11,ST0003063,O000274,C00183,P0009,1,2921.07,Not Needed,Rejected
RET00275,2025-07-11,ST0001630,O001813,C00451,P0124,3,21664.14,Not Needed,Approved
RET00276,2025-09-08,ST0000355,O002225,C00251,P0053,3,32440.05,Not Needed,Approved
RET00277,2025-05-15,ST0002269,O000275,C00022,P0034,5,176444.19,Damaged,Pending
RET00278,2026-01-05,ST0002512,O002121,C00451,P0068,3,56302.9,Late Delivery,Rejected
RET00279,2025-09-02,ST0000618,O002462,C00328,P0102,5,129466.22,Damaged,Approved
RET00280,2026-05-21,ST0003700,O002617,C00560,P0114,4,57260.96,Not Needed,Pending
RET00281,2025-12-15,ST0001916,O002067,C00428,P0116,1,24687.48,Late Delivery,Approved
RET00282,2025-11-15,ST0003822,O000236,C00506,P0122,1,5710.37,Wrong Item,Pending
RET00283,2026-08-08,ST0001866,O001920,C00273,P0133,4,20517,Late Delivery,Rejected
RET00284,2025-02-22,ST0000837,O002168,C00115,P0050,3,2473.54,Late Delivery,Rejected
RET00285,2026-03-02,ST0002953,O000716,C00055,P0118,2,42186.34,Defective,Pending
RET00286,2025-07-08,ST0001167,O001097,C00225,P0147,3,146316.98,Late Delivery,Pending
RET00287,2025-06-07,ST0002135,O002794,C00484,P0084,2,64069.62,Wrong Item,Rejected
RET00288,2026-07-01,ST0000759,O002516,C00286,P0142,8,259873.79,Defective,Pending
RET00289,2025-04-16,ST0000943,O001347,C00049,P0096,8,221448.9,Wrong Item,Approved
RET00290,2026-02-17,ST0001032,O001354,C00588,P0095,5,10515.6,Wrong Item,Rejected
RET00291,2026-05-02,ST0000884,O000822,C00465,P0021,2,24668.08,Damaged,Rejected
RET00292,2025-11-15,ST0002927,O002825,C00313,P0141,4,68805.65,Wrong Item,Approved
RET00293,2025-03-30,ST0000396,O002122,C00551,P0095,4,8295.64,Defective,Rejected
RET00294,2026-09-10,ST0001756,O000719,C00340,P0102,4,87845.16,Wrong Item,Approved
RET00295,2026-07-30,ST0001545,O002966,C00346,P0103,8,327780.72,Wrong Item,Approved
RET00296,2025-05-28,ST0002302,O000355,C00054,P0106,2,103550.66,Late Delivery,Approved
RET00297,2025-03-27,ST0002104,O002422,C00053,P0076,4,80691.24,Late Delivery,Rejected
RET00298,2026-01-30,ST0001493,O001052,C00061,P0095,3,5849.54,Late Delivery,Approved
RET00299,2025-06-11,ST0000249,O000909,C00040,P0114,1,14357.86,Wrong Item,Rejected
