Target_ID,Employee_ID,Region_ID,Target_Month,Sales_Target
T03E0040,E0040,R005,2026-03-01,1013933
T03E0041,E0041,R002,2026-03-01,713581
T04E0001,E0001,R002,2026-04-01,605136
T04E0002,E0002,R002,2026-04-01,972622
T04E0003,E0003,R001,2026-04-01,367771
T04E0004,E0004,R008,2026-04-01,1017180
T04E0005,E0005,R005,2026-04-01,752248
T04E0006,E0006,R002,2026-04-01,1193901
T04E0007,E0007,R002,2026-04-01,292027
T04E0009,E0009,R002,2026-04-01,396195
T04E0010,E0010,R004,2026-04-01,960943
T04E0011,E0011,R008,2026-04-01,827723
T04E0012,E0012,R004,2026-04-01,372553
T04E0013,E0013,R004,2026-04-01,573047
T04E0014,E0014,R005,2026-04-01,276000
T04E0015,E0015,R008,2026-04-01,671139
T04E0016,E0016,R002,2026-04-01,897518
T04E0017,E0017,R002,2026-04-01,1131723
T04E0018,E0018,R003,2026-04-01,481069
T04E0019,E0019,R002,2026-04-01,717636
T04E0020,E0020,R001,2026-04-01,624754
T04E0021,E0021,R001,2026-04-01,346973
T04E0022,E0022,R003,2026-04-01,592220
T04E0023,E0023,R004,2026-04-01,307706
T04E0024,E0024,R002,2026-04-01,887692
T04E0025,E0025,R004,2026-04-01,922465
T04E0026,E0026,R006,2026-04-01,454629
T04E0027,E0027,R008,2026-04-01,861772
T04E0028,E0028,R006,2026-04-01,802005
T04E0029,E0029,R006,2026-04-01,482934
T04E0030,E0030,R003,2026-04-01,1069234
T04E0031,E0031,R001,2026-04-01,1054357
T04E0032,E0032,R001,2026-04-01,541427
T04E0033,E0033,R008,2026-04-01,455222
T04E0034,E0034,R001,2026-04-01,273643
T04E0035,E0035,R002,2026-04-01,337649
T04E0036,E0036,R004,2026-04-01,814566
T04E0037,E0037,R004,2026-04-01,1140714
T04E0038,E0038,R002,2026-04-01,717096
T04E0039,E0039,R005,2026-04-01,959952
T04E0040,E0040,R005,2026-04-01,954179
T04E0041,E0041,R002,2026-04-01,341621
T05E0001,E0001,R002,2026-05-01,786648
T05E0002,E0002,R002,2026-05-01,663583
T05E0003,E0003,R001,2026-05-01,453895
T05E0004,E0004,R008,2026-05-01,764290
T05E0005,E0005,R005,2026-05-01,583193
T05E0006,E0006,R002,2026-05-01,882471
T05E0007,E0007,R002,2026-05-01,884470
T05E0009,E0009,R002,2026-05-01,786405
T05E0010,E0010,R004,2026-05-01,308770
T05E0011,E0011,R008,2026-05-01,949155
T05E0012,E0012,R004,2026-05-01,628603
T05E0013,E0013,R004,2026-05-01,666869
T05E0014,E0014,R005,2026-05-01,405132
T05E0015,E0015,R008,2026-05-01,1000742
T05E0016,E0016,R002,2026-05-01,1145278
T05E0017,E0017,R002,2026-05-01,698413
T05E0018,E0018,R003,2026-05-01,637585
T05E0019,E0019,R002,2026-05-01,654868
T05E0020,E0020,R001,2026-05-01,640941
T05E0021,E0021,R001,2026-05-01,262782
T05E0022,E0022,R003,2026-05-01,548477
T05E0023,E0023,R004,2026-05-01,611675
T05E0024,E0024,R002,2026-05-01,618422
T05E0025,E0025,R004,2026-05-01,573050
T05E0026,E0026,R006,2026-05-01,717220
T05E0027,E0027,R008,2026-05-01,1166771
T05E0028,E0028,R006,2026-05-01,838285
T05E0029,E0029,R006,2026-05-01,341853
T05E0030,E0030,R003,2026-05-01,476172
T05E0031,E0031,R001,2026-05-01,1013209
T05E0032,E0032,R001,2026-05-01,1180930
T05E0033,E0033,R008,2026-05-01,715798
T05E0034,E0034,R001,2026-05-01,1027548
T05E0035,E0035,R002,2026-05-01,685798
T05E0036,E0036,R004,2026-05-01,1092725
T05E0037,E0037,R004,2026-05-01,713999
T05E0038,E0038,R002,2026-05-01,552654
T05E0039,E0039,R005,2026-05-01,421746
T05E0040,E0040,R005,2026-05-01,1094809
T05E0041,E0041,R002,2026-05-01,1013364
T06E0001,E0001,R002,2026-06-01,1191331
T06E0002,E0002,R002,2026-06-01,694420
T06E0003,E0003,R001,2026-06-01,1013998
T06E0004,E0004,R008,2026-06-01,1189973
T06E0005,E0005,R005,2026-06-01,684313
T06E0006,E0006,R002,2026-06-01,396347
T06E0007,E0007,R002,2026-06-01,1126097
T06E0009,E0009,R002,2026-06-01,865702
T06E0010,E0010,R004,2026-06-01,876981
T06E0011,E0011,R008,2026-06-01,340259
T06E0012,E0012,R004,2026-06-01,400616
T06E0013,E0013,R004,2026-06-01,467877
T06E0014,E0014,R005,2026-06-01,567960
T06E0015,E0015,R008,2026-06-01,747667
T06E0016,E0016,R002,2026-06-01,1159666
T06E0017,E0017,R002,2026-06-01,800818
T06E0018,E0018,R003,2026-06-01,601709
T06E0019,E0019,R002,2026-06-01,319327
T06E0020,E0020,R001,2026-06-01,869371
T06E0021,E0021,R001,2026-06-01,1042843
T06E0022,E0022,R003,2026-06-01,644025
T06E0023,E0023,R004,2026-06-01,342744
T06E0024,E0024,R002,2026-06-01,256940
T06E0025,E0025,R004,2026-06-01,679350
T06E0026,E0026,R006,2026-06-01,919836
T06E0027,E0027,R008,2026-06-01,536606
T06E0028,E0028,R006,2026-06-01,684649
T06E0029,E0029,R006,2026-06-01,433388
T06E0030,E0030,R003,2026-06-01,832813
T06E0031,E0031,R001,2026-06-01,734567
T06E0032,E0032,R001,2026-06-01,994747
T06E0033,E0033,R008,2026-06-01,845503
T06E0034,E0034,R001,2026-06-01,1041930
T06E0035,E0035,R002,2026-06-01,393578
T06E0036,E0036,R004,2026-06-01,458936
T06E0037,E0037,R004,2026-06-01,445041
T06E0038,E0038,R002,2026-06-01,1122712
T06E0039,E0039,R005,2026-06-01,650314
T06E0040,E0040,R005,2026-06-01,553524
T06E0041,E0041,R002,2026-06-01,830771
T07E0001,E0001,R002,2026-07-01,764416
T07E0002,E0002,R002,2026-07-01,294284
T07E0003,E0003,R001,2026-07-01,1112767
T07E0004,E0004,R008,2026-07-01,1116384
T07E0005,E0005,R005,2026-07-01,566662
T07E0006,E0006,R002,2026-07-01,1125126
T07E0007,E0007,R002,2026-07-01,863635
T07E0009,E0009,R002,2026-07-01,568677
T07E0010,E0010,R004,2026-07-01,768101
T07E0011,E0011,R008,2026-07-01,836448
T07E0012,E0012,R004,2026-07-01,1025795
T07E0013,E0013,R004,2026-07-01,735964
T07E0014,E0014,R005,2026-07-01,485426
T07E0015,E0015,R008,2026-07-01,278143
T07E0016,E0016,R002,2026-07-01,1079653
T07E0017,E0017,R002,2026-07-01,252565
T07E0018,E0018,R003,2026-07-01,411505
T07E0019,E0019,R002,2026-07-01,525436
T07E0020,E0020,R001,2026-07-01,564750
T07E0021,E0021,R001,2026-07-01,921670
T07E0022,E0022,R003,2026-07-01,1124767
T07E0023,E0023,R004,2026-07-01,917482
T07E0024,E0024,R002,2026-07-01,745495
T07E0025,E0025,R004,2026-07-01,380208
T07E0026,E0026,R006,2026-07-01,935572
T07E0027,E0027,R008,2026-07-01,948260
T07E0028,E0028,R006,2026-07-01,1186049
T07E0029,E0029,R006,2026-07-01,551663
T07E0030,E0030,R003,2026-07-01,687420
T07E0031,E0031,R001,2026-07-01,438085
T07E0032,E0032,R001,2026-07-01,765780
T07E0033,E0033,R008,2026-07-01,971255
T07E0034,E0034,R001,2026-07-01,926106
T07E0035,E0035,R002,2026-07-01,506639
T07E0036,E0036,R004,2026-07-01,279824
T07E0037,E0037,R004,2026-07-01,375152
T07E0038,E0038,R002,2026-07-01,1051865
T07E0039,E0039,R005,2026-07-01,540683
T07E0040,E0040,R005,2026-07-01,767000
T07E0041,E0041,R002,2026-07-01,319966
T08E0001,E0001,R002,2026-08-01,877983
T08E0002,E0002,R002,2026-08-01,1031782
T08E0003,E0003,R001,2026-08-01,629332
T08E0004,E0004,R008,2026-08-01,859291
T08E0005,E0005,R005,2026-08-01,753825
T08E0006,E0006,R002,2026-08-01,843047
T08E0007,E0007,R002,2026-08-01,707250
T08E0009,E0009,R002,2026-08-01,1160526
T08E0010,E0010,R004,2026-08-01,520439
T08E0011,E0011,R008,2026-08-01,908501
T08E0012,E0012,R004,2026-08-01,969231
T08E0013,E0013,R004,2026-08-01,749164
T08E0014,E0014,R005,2026-08-01,977968
T08E0015,E0015,R008,2026-08-01,1108029
T08E0016,E0016,R002,2026-08-01,375392
T08E0017,E0017,R002,2026-08-01,641330
T08E0018,E0018,R003,2026-08-01,787422
T08E0019,E0019,R002,2026-08-01,1018561
T08E0020,E0020,R001,2026-08-01,853207
T08E0021,E0021,R001,2026-08-01,268397
T08E0022,E0022,R003,2026-08-01,1136340
T08E0023,E0023,R004,2026-08-01,522144
T08E0024,E0024,R002,2026-08-01,420757
T08E0025,E0025,R004,2026-08-01,859908
T08E0026,E0026,R006,2026-08-01,311352
T08E0027,E0027,R008,2026-08-01,403235
T08E0028,E0028,R006,2026-08-01,585209
T08E0029,E0029,R006,2026-08-01,733439
T08E0030,E0030,R003,2026-08-01,1170982
T08E0031,E0031,R001,2026-08-01,976959
T08E0032,E0032,R001,2026-08-01,392079
T08E0033,E0033,R008,2026-08-01,624745
T08E0034,E0034,R001,2026-08-01,421241
T08E0035,E0035,R002,2026-08-01,305457
T08E0036,E0036,R004,2026-08-01,535915
T08E0037,E0037,R004,2026-08-01,628707
T08E0038,E0038,R002,2026-08-01,689892
T08E0039,E0039,R005,2026-08-01,917153
T08E0040,E0040,R005,2026-08-01,623276
T08E0041,E0041,R002,2026-08-01,301081
