Campaign_ID,Campaign_Month,Channel,Campaign_Spend,Leads,Conversions,Revenue,Region_ID,Campaign_Type
CAM0053,2026-03-01,Social Media,225918,3431,393,594648.63,R002,Seasonal
CAM0054,2026-02-01,Other,214785,3255,537,420930.21,R007,Retargeting
CAM0055,2026-08-01,Other,233967,875,28,527765.14,R008,Lead Gen
CAM0056,2026-07-01,Other,43907,3856,440,70685.93,R008,Seasonal
CAM0057,2026-04-01,Email,158908,5608,812,227163.13,R004,Retargeting
CAM0058,2026-03-01,Other,203961,2263,302,514664.07,R002,Seasonal
CAM0059,2026-03-01,Google,224969,3346,335,251030.43,R003,Lead Gen
CAM0060,2026-03-01,Other,248288,2206,193,657822.37,R003,Lead Gen
CAM0061,2026-03-01,Other,21224,3254,344,98711.96,R004,Retargeting
CAM0062,2026-04-01,Referral,104408,5029,748,222461.31,R006,Lead Gen
CAM0063,2026-07-01,Other,212735,2810,248,269782.4,R001,Seasonal
CAM0064,2026-02-01,Google,123590,2046,266,675849.77,R005,Retargeting
CAM0065,2026-04-01,Google,180486,113,21,375804.34,R004,Seasonal
CAM0066,2026-07-01,Social Media,35658,1625,238,147937.17,R003,Lead Gen
CAM0067,2026-06-01,Referral,65615,1448,231,315017.91,R003,Seasonal
CAM0068,2026-03-01,Google,18248,2767,288,16909.13,R008,Seasonal
CAM0069,2026-08-01,Email,111811,5524,1167,149616.91,R003,Retargeting
CAM0070,2026-05-01,Email,146574,2653,255,237601.58,R005,Lead Gen
CAM0071,2026-02-01,Google,61468,1301,40,86121.83,R004,Lead Gen
CAM0072,2026-06-01,Email,185658,2090,329,837087.41,R006,Brand
CAM0073,2026-02-01,Social Media,232587,5200,78,327820.18,R005,Brand
CAM0074,2026-04-01,Social Media,48764,5282,273,210501.49,R006,Seasonal
CAM0075,2026-04-01,Referral,65487,4074,555,196119.37,R007,Lead Gen
CAM0076,2026-03-01,Other,163495,4542,576,389208.16,R003,Retargeting
CAM0077,2026-07-01,Other,228211,3818,779,353429.14,R002,Brand
CAM0078,2026-03-01,Social Media,10411,4608,168,23471.54,R003,Seasonal
CAM0079,2026-06-01,Other,15137,225,41,68751.78,R007,Retargeting
CAM0080,2026-08-01,Referral,71162,3720,628,196418.43,R002,Seasonal
CAM0081,2026-02-01,Other,91018,5832,320,340552.87,R006,Retargeting
CAM0082,2026-05-01,Referral,11406,1111,178,10650.95,R003,Retargeting
CAM0083,2026-04-01,Email,50554,3324,208,241267.23,R001,Lead Gen
CAM0084,2026-04-01,Referral,115512,4947,134,213445.93,R007,Brand
CAM0085,2026-08-01,Referral,230145,3246,205,1005138.06,R004,Lead Gen
CAM0086,2026-02-01,Referral,147504,5875,392,488047.8,R004,Lead Gen
CAM0087,2026-06-01,Referral,191612,167,25,732226.56,R007,Brand
CAM0088,2026-05-01,Email,53061,5198,569,38482.8,R004,Retargeting
CAM0089,2026-02-01,Referral,183354,695,81,341920.57,R007,Lead Gen
CAM0090,2026-06-01,Email,180581,3527,698,302324.72,R006,Retargeting
CAM0091,2026-04-01,Other,16974,2555,78,54327.01,R002,Brand
CAM0092,2026-07-01,Referral,131166,1571,187,477831.66,R006,Brand
CAM0093,2026-04-01,Email,128500,670,19,180096.19,R001,Seasonal
CAM0094,2026-02-01,Social Media,79638,5351,584,272196.46,R005,Lead Gen
CAM0095,2026-05-01,Other,47630,2830,469,143893.37,R006,Brand
CAM0096,2026-03-01,Social Media,227321,5623,1076,472647.19,R005,Lead Gen
CAM0097,2026-04-01,Other,75712,2756,189,201179.77,R007,Seasonal
CAM0098,2026-08-01,Email,92987,2431,42,272459.32,R003,Brand
CAM0099,2026-05-01,Other,84690,136,8,120037.56,R001,Retargeting
CAM0100,2026-05-01,Email,246650,1226,243,541434.48,R001,Seasonal
CAM0101,2026-05-01,Referral,69372,1668,71,372869,R002,Brand
CAM0102,2026-07-01,Google,178500,2781,129,289985.51,R002,Brand
CAM0103,2026-03-01,Social Media,74742,215,15,391323.89,R005,Retargeting
CAM0104,2026-05-01,Google,160231,940,101,493618.53,R003,Lead Gen
CAM0105,2026-04-01,Social Media,171223,4901,205,770846.52,R004,Retargeting
CAM0106,2026-02-01,Other,113098,898,163,496030.95,R001,Lead Gen
CAM0107,2026-06-01,Referral,156202,2344,90,844483.56,R008,Retargeting
CAM0108,2026-02-01,Social Media,202417,5526,1022,765716.06,R003,Seasonal
CAM0109,2026-02-01,Google,136372,806,123,187128.62,R003,Lead Gen
CAM0110,2026-02-01,Social Media,121699,4218,533,299600.7,R002,Seasonal
CAM0111,2026-03-01,Social Media,131906,913,82,518298.12,R003,Seasonal
CAM0112,2026-06-01,Referral,39900,3309,575,68384.21,R001,Brand
CAM0113,2026-07-01,Other,161363,4001,310,450146.78,R006,Seasonal
CAM0114,2026-04-01,Email,45053,5856,125,143131.09,R004,Retargeting
CAM0115,2026-01-01,Email,158135,3712,263,288985.74,R005,Brand
CAM0116,2026-01-01,Referral,22556,4074,119,119438.94,R003,Brand
CAM0117,2026-08-01,Google,36824,2169,404,39256.91,R003,Lead Gen
CAM0118,2026-07-01,Other,182467,423,89,884726.92,R003,Brand
CAM0119,2026-01-01,Google,247915,287,28,1097309.71,R006,Retargeting
CAM0120,2026-04-01,Referral,166396,2609,544,164006.61,R002,Seasonal
CAM0121,2026-02-01,Email,231041,4294,513,717844.29,R008,Retargeting
CAM0122,2026-02-01,Social Media,91968,3961,428,346227.03,R004,Retargeting
CAM0123,2026-02-01,Social Media,62037,1541,213,54678.99,R007,Seasonal
CAM0124,2026-05-01,Other,134554,2834,403,568761.72,R008,Seasonal
CAM0125,2026-06-01,Referral,129716,1660,44,451505.31,R003,Brand
CAM0126,2026-05-01,Google,136434,4025,147,736403.67,R008,Lead Gen
CAM0127,2026-04-01,Referral,73414,1227,213,345425.31,R003,Seasonal
CAM0128,2026-02-01,Social Media,19127,2835,346,49537.34,R004,Brand
CAM0129,2026-03-01,Other,113560,5894,131,573312.02,R006,Retargeting
CAM0130,2026-01-01,Email,33266,3075,485,176964.57,R004,Retargeting
CAM0131,2026-02-01,Social Media,243545,5239,739,524909.81,R007,Retargeting
CAM0132,2026-07-01,Referral,200024,5161,506,374035.16,R005,Brand
CAM0133,2026-03-01,Referral,38130,5033,151,167495.05,R008,Lead Gen
CAM0134,2026-01-01,Google,155346,3659,431,230717.14,R005,Brand
CAM0135,2026-05-01,Other,41563,4842,529,90331.53,R007,Lead Gen
CAM0136,2026-02-01,Referral,206894,1336,39,1067325.51,R002,Retargeting
CAM0137,2026-02-01,Email,231430,5121,287,367349.69,R006,Retargeting
CAM0138,2026-07-01,Google,115557,5433,1155,175080.13,R002,Retargeting
CAM0139,2026-02-01,Referral,21415,5227,675,25370.4,R002,Seasonal
CAM0140,2026-07-01,Referral,249435,5766,1241,1298742.39,R007,Seasonal
CAM0141,2026-02-01,Google,160589,3518,106,142233.99,R001,Retargeting
CAM0142,2026-07-01,Email,142843,843,70,538499.57,R004,Seasonal
CAM0143,2026-02-01,Referral,96990,1211,146,163668.77,R003,Seasonal
CAM0144,2026-03-01,Email,123166,5122,237,312280.74,R007,Retargeting
CAM0145,2026-01-01,Google,165959,675,46,852021.79,R002,Seasonal
CAM0146,2026-03-01,Referral,101361,3649,586,164849.1,R001,Brand
CAM0147,2026-01-01,Other,27868,4845,118,106682.52,R005,Retargeting
CAM0148,2026-07-01,Other,138351,3282,292,198379.4,R007,Seasonal
CAM0149,2026-02-01,Referral,80826,5011,831,130054.72,R008,Seasonal
CAM0150,2026-05-01,Other,96793,4068,298,331563.07,R002,Lead Gen
CAM0151,2026-02-01,Email,185132,3865,232,909890.77,R002,Seasonal
CAM0152,2026-06-01,Other,68981,2976,651,177785.1,R004,Brand
CAM0153,2026-01-01,Other,13656,1624,279,34814.41,R006,Brand
CAM0154,2026-01-01,Google,172270,5292,692,388134.92,R006,Retargeting
CAM0155,2026-07-01,Other,67500,5445,481,161678.9,R004,Seasonal
CAM0156,2026-02-01,Social Media,84661,3823,410,445468.84,R001,Brand
CAM0157,2026-03-01,Other,145283,3444,720,508409.52,R001,Brand
CAM0158,2026-07-01,Social Media,225362,5569,988,432209.73,R005,Seasonal
CAM0159,2026-03-01,Other,30108,1232,241,91686.25,R008,Seasonal
CAM0160,2026-04-01,Email,20241,1036,118,18232.27,R004,Retargeting
CAM0161,2026-08-01,Email,82013,3655,292,339001.6,R003,Brand
CAM0162,2026-01-01,Other,56587,5663,488,72075.53,R004,Lead Gen
CAM0163,2026-07-01,Social Media,106978,4047,421,95169.19,R001,Retargeting
CAM0164,2026-08-01,Other,37140,2913,435,160366.57,R003,Lead Gen
CAM0165,2026-02-01,Email,144755,3579,450,618888.76,R008,Retargeting
CAM0166,2026-05-01,Social Media,95338,4850,875,210755.86,R005,Brand
CAM0167,2026-06-01,Referral,24425,3058,590,24833.69,R005,Lead Gen
CAM0168,2026-05-01,Referral,145116,1658,84,541432.79,R006,Retargeting
CAM0169,2026-04-01,Email,143815,5407,82,363275.11,R005,Seasonal
CAM0170,2026-07-01,Referral,137407,5583,98,104629.92,R006,Seasonal
CAM0171,2026-07-01,Google,116351,4344,597,567803.24,R003,Seasonal
CAM0172,2026-06-01,Email,33820,4120,688,152048.87,R006,Lead Gen
CAM0173,2026-03-01,Google,60176,3257,334,212688.99,R003,Lead Gen
CAM0174,2026-07-01,Other,247012,3454,474,800577.49,R003,Seasonal
CAM0175,2026-04-01,Email,202972,5616,140,306825.3,R004,Seasonal
CAM0176,2026-02-01,Social Media,133642,5580,922,149131.67,R008,Lead Gen
CAM0177,2026-07-01,Social Media,77924,3907,737,110669.85,R006,Lead Gen
CAM0178,2026-03-01,Social Media,178984,5665,713,956473.21,R003,Lead Gen
CAM0179,2026-06-01,Email,195667,1662,210,516524.45,R001,Lead Gen
CAM0180,2026-02-01,Social Media,239263,2196,260,222976.93,R005,Lead Gen
