Payment_ID,Invoice_ID,Payment_Date,Payment_Amount,Payment_Mode,Reference_No,Payment_Status
PAY000126,INV000387,2026-11-26,38547.29,Cheque,REF486981,Failed
PAY000127,INV001522,2025-02-19,262870.87,Credit Card,REF174309,Success
PAY000128,INV000482,2026-02-17,35428.61,Credit Card,REF614525,Success
PAY000129,INV000672,2025-04-21,98668.7,Bank Transfer,REF386136,Success
PAY000130,INV000710,2026-02-15,64031.19,UPI,REF993429,Success
PAY000131,INV000111,2026-09-23,114354.4,Cheque,REF648862,Success
PAY000132,INV000481,2025-07-16,3914.32,UPI,REF382968,Success
PAY000133,INV000219,2026-06-06,942.04,Bank Transfer,REF147653,Success
PAY000134,INV002650,2025-12-22,15020.46,Debit Card,REF370748,Success
PAY000135,INV000382,2026-11-19,16032.6,Debit Card,REF696287,Success
PAY000136,INV000396,2025-11-06,58892.35,Credit Card,REF235747,Success
PAY000137,INV002051,2025-07-21,6781.71,UPI,REF281207,Success
PAY000138,INV001320,2025-05-29,311178.2,Bank Transfer,REF375408,Success
PAY000139,INV000036,2026-08-10,66733.76,Debit Card,REF145298,Failed
PAY000140,INV000740,2026-05-01,4985.81,Credit Card,REF570406,Success
PAY000141,INV000791,2025-04-20,253495.29,Bank Transfer,REF446104,Success
PAY000142,INV000731,2026-05-02,16023.45,Debit Card,REF163706,Success
PAY000143,INV001582,2025-11-28,212023.62,Credit Card,REF963915,Success
PAY000144,INV001633,2026-07-12,281161.58,Bank Transfer,REF101574,Success
PAY000145,INV000714,2025-02-24,335334.68,Bank Transfer,REF921767,Success
PAY000146,INV000476,2026-03-03,198170.55,Debit Card,REF126701,Success
PAY000147,INV001681,2026-06-02,17937.29,Bank Transfer,REF967981,Success
PAY000148,INV001134,2025-11-27,62130.19,Debit Card,REF477382,Success
PAY000149,INV002249,2026-01-07,200235.35,UPI,REF821634,Success
PAY000150,INV002104,2026-09-16,56677.7,Debit Card,REF834479,Failed
PAY000151,INV002055,2026-05-29,30710.47,Cheque,REF417884,Success
PAY000152,INV000008,2025-01-21,101182.77,Debit Card,REF642672,Success
PAY000153,INV001720,2026-07-12,145915.88,Debit Card,REF679004,Success
PAY000154,INV002532,2026-06-08,12163.6,Credit Card,REF946859,Success
PAY000155,INV002456,2026-09-08,37736.55,Debit Card,REF442119,Success
PAY000156,INV001419,2025-09-22,23706.72,Cheque,REF274837,Success
PAY000157,INV002614,2025-08-10,321637.81,Debit Card,REF122088,Success
PAY000158,INV000530,2025-10-23,29616.69,Bank Transfer,REF111931,Success
PAY000159,INV000057,2025-07-05,177113.87,Cheque,REF595544,Success
PAY000160,INV000036,2026-10-07,61529.53,Cheque,REF245668,Success
PAY000161,INV001729,2025-06-28,43733.51,Bank Transfer,REF104997,Failed
PAY000162,INV000604,2025-06-14,14540.85,UPI,REF233990,Success
PAY000163,INV002243,2025-06-05,23718.57,UPI,REF314746,Success
PAY000164,INV002198,2026-07-07,16545.8,Bank Transfer,REF851716,Success
PAY000165,INV000933,2025-10-20,1520.14,Bank Transfer,REF419784,Success
PAY000166,INV000567,2026-05-25,108055.74,Debit Card,REF990932,Success
PAY000167,INV002113,2025-09-19,20835.1,UPI,REF366643,Success
PAY000168,INV002393,2026-07-27,186753.03,Cheque,REF801881,Success
PAY000169,INV002747,2025-10-03,22204.92,Bank Transfer,REF233068,Success
PAY000170,INV002057,2025-09-04,10324.66,Debit Card,REF890960,Success
PAY000171,INV000490,2026-01-06,16646.78,Debit Card,REF185021,Success
PAY000172,INV002083,2026-05-21,26604.23,Cheque,REF519452,Success
PAY000173,INV000601,2026-10-19,541771.59,UPI,REF351540,Success
PAY000174,INV001828,2026-08-19,57763.64,Credit Card,REF850445,Success
PAY000175,INV000331,2025-09-06,396573.69,Credit Card,REF965502,Success
PAY000176,INV001055,2025-03-30,2241.02,Debit Card,REF129241,Success
PAY000177,INV001082,2026-10-29,947401.33,Cheque,REF814409,Failed
PAY000178,INV002017,2026-04-19,310145.1,Credit Card,REF273329,Success
PAY000179,INV002694,2026-07-09,146900.51,Debit Card,REF310386,Success
PAY000180,INV000895,2026-05-11,36023.59,Credit Card,REF779216,Success
PAY000181,INV002150,2025-04-06,214243.34,Credit Card,REF987734,Success
PAY000182,INV000595,2025-05-08,38232.83,UPI,REF519595,Success
PAY000183,INV002655,2025-03-31,165757.59,UPI,REF770102,Success
PAY000184,INV001997,2026-07-30,115242.7,Debit Card,REF606446,Success
PAY000185,INV002080,2025-09-03,14706.52,Debit Card,REF610159,Success
PAY000186,INV001300,2026-08-07,80627.5,Bank Transfer,REF343911,Success
PAY000187,INV000911,2026-09-17,155719.9,Cheque,REF139084,Success
PAY000188,INV001011,2025-09-09,176410.57,Cheque,REF405158,Success
PAY000189,INV001338,2025-08-01,35742.84,Credit Card,REF812029,Success
PAY000190,INV001556,2025-05-11,130090.37,Bank Transfer,REF585841,Success
PAY000191,INV000491,2026-04-27,399466.26,UPI,REF583830,Failed
PAY000192,INV002589,2026-06-18,160282.27,Cheque,REF137726,Failed
PAY000193,INV002514,2025-04-25,32601.89,Credit Card,REF788936,Success
PAY000194,INV001862,2026-08-30,34364.26,Debit Card,REF851440,Success
PAY000195,INV001830,2025-12-23,26913.17,Debit Card,REF992430,Success
PAY000196,INV000261,2026-07-16,126663.51,Credit Card,REF449116,Success
PAY000197,INV001863,2026-04-13,57978.62,Debit Card,REF359832,Success
PAY000198,INV000459,2026-08-12,42662.53,Debit Card,REF850227,Success
PAY000199,INV001217,2026-02-20,183132.32,Cheque,REF928575,Success
PAY000200,INV002309,2026-03-03,54793.86,Debit Card,REF230511,Success
PAY000201,INV002000,2026-05-10,125450.27,Cheque,REF154854,Success
PAY000202,INV000075,2025-03-13,36132.3,Cheque,REF989972,Success
PAY000203,INV000898,2025-09-16,92315.69,UPI,REF110178,Success
PAY000204,INV000879,2026-02-07,74725.38,Cheque,REF603123,Success
PAY000205,INV001312,2026-01-29,322592.24,UPI,REF948241,Success
PAY000206,INV002528,2026-08-16,216207.35,Bank Transfer,REF634304,Success
PAY000207,INV000780,2025-03-16,34027.76,Bank Transfer,REF210552,Success
PAY000208,INV001807,2025-02-20,205525.38,Bank Transfer,REF845755,Failed
PAY000209,INV001513,2025-09-13,85158.78,Credit Card,REF677587,Success
PAY000210,INV002568,2026-06-25,260570.76,Cheque,REF213589,Failed
PAY000211,INV002217,2026-09-04,67559.61,Cheque,REF988938,Failed
PAY000212,INV001895,2026-10-05,210832.77,Bank Transfer,REF773336,Failed
PAY000213,INV000546,2026-01-30,49456.3,Cheque,REF140888,Failed
PAY000214,INV002419,2026-05-12,159826.49,Bank Transfer,REF940284,Failed
PAY000215,INV002210,2025-12-03,199148.41,Cheque,REF198716,Success
PAY000216,INV001719,2025-07-07,20710.51,Debit Card,REF970825,Success
PAY000217,INV002302,2025-11-17,38286.59,UPI,REF905704,Success
PAY000218,INV002224,2025-12-31,2469.19,Cheque,REF170675,Failed
PAY000219,INV001055,2025-05-11,2449.35,UPI,REF590411,Success
PAY000220,INV002509,2025-05-15,386219.49,Debit Card,REF987866,Success
PAY000221,INV001117,2026-04-05,102047.94,UPI,REF225829,Success
PAY000222,INV001438,2025-10-16,22065.5,Credit Card,REF375485,Success
PAY000223,INV001804,2025-10-13,116662.6,Credit Card,REF450475,Success
PAY000224,INV000937,2025-02-10,94652.04,Cheque,REF883174,Success
PAY000225,INV002153,2026-08-19,760702.51,Cheque,REF416066,Success
PAY000226,INV000919,2026-08-31,38197.42,Debit Card,REF941424,Success
PAY000227,INV001986,2026-10-12,204625.63,Credit Card,REF265918,Success
PAY000228,INV001409,2025-07-21,195284.1,Debit Card,REF916398,Success
PAY000229,INV000989,2026-05-04,149324.58,Credit Card,REF332371,Success
PAY000230,INV000278,2025-03-07,198199.18,Bank Transfer,REF668474,Success
PAY000231,INV001712,2025-07-31,20720.57,Credit Card,REF933224,Failed
PAY000232,INV001799,2025-03-25,68004.08,Debit Card,REF214923,Failed
PAY000233,INV002085,2026-05-24,223009.1,UPI,REF469663,Success
PAY000234,INV001234,2025-05-15,237142.63,Credit Card,REF769428,Success
PAY000235,INV001174,2025-09-12,106465.07,UPI,REF743568,Success
PAY000236,INV002205,2025-08-10,90056.95,Cheque,REF557862,Failed
PAY000237,INV002065,2025-06-10,33028.69,Credit Card,REF893394,Success
PAY000238,INV000649,2025-08-23,46031.91,UPI,REF900359,Success
PAY000239,INV001968,2025-05-24,69646.88,UPI,REF441455,Success
PAY000240,INV002446,2026-07-03,161960.37,Cheque,REF167496,Success
PAY000241,INV000053,2026-10-05,52661.41,Debit Card,REF666679,Success
PAY000242,INV000479,2026-01-17,398207.29,Bank Transfer,REF868027,Success
PAY000243,INV000833,2026-04-18,5035.7,UPI,REF715341,Success
PAY000244,INV001986,2026-07-04,202678.63,Bank Transfer,REF292332,Success
PAY000245,INV001302,2026-05-24,78922.38,UPI,REF754828,Success
PAY000246,INV000946,2025-04-23,96100.76,Bank Transfer,REF597801,Success
PAY000247,INV002657,2025-07-21,19004.33,Credit Card,REF791862,Success
PAY000248,INV001162,2025-08-15,243356.96,Debit Card,REF268090,Success
PAY000249,INV002125,2025-12-30,247607.51,Cheque,REF977040,Success
PAY000250,INV001189,2026-04-12,488.11,Debit Card,REF955227,Success
PAY000251,INV001867,2026-02-10,131876.12,Debit Card,REF685162,Success
PAY000252,INV001841,2025-06-29,66297,Credit Card,REF231772,Success
PAY000253,INV001540,2025-07-31,31754.28,Debit Card,REF738873,Success
PAY000254,INV000678,2026-04-28,56829.98,UPI,REF962129,Success
PAY000255,INV000537,2025-08-23,28506.13,Cheque,REF998410,Success
PAY000256,INV000122,2026-11-10,145075.36,Debit Card,REF691106,Success
PAY000257,INV002459,2025-09-20,57856,UPI,REF284737,Success
PAY000258,INV000661,2025-06-09,438179.71,Credit Card,REF936786,Success
PAY000259,INV000458,2026-03-02,305150.68,UPI,REF135234,Success
PAY000260,INV001593,2025-07-08,798.53,Credit Card,REF892663,Success
PAY000261,INV002490,2025-06-24,55052.21,Debit Card,REF236873,Success
PAY000262,INV001181,2025-07-04,151225.45,Bank Transfer,REF936286,Success
PAY000263,INV000753,2025-09-16,8297.34,Credit Card,REF129425,Success
PAY000264,INV000688,2025-08-17,26174.45,Bank Transfer,REF161205,Success
PAY000265,INV001087,2025-08-24,10401.19,Cheque,REF172947,Success
PAY000266,INV000642,2026-03-16,1557.93,UPI,REF260937,Success
PAY000267,INV001973,2025-06-03,18617.84,Debit Card,REF551983,Success
PAY000268,INV002102,2026-02-16,130605.74,UPI,REF614005,Success
PAY000269,INV002445,2026-01-30,2493.65,Cheque,REF739002,Success
PAY000270,INV001948,2025-10-03,9468.39,Debit Card,REF536071,Success
PAY000271,INV001057,2025-07-11,164268.54,UPI,REF847621,Failed
PAY000272,INV001560,2026-11-16,35553.53,UPI,REF683651,Success
PAY000273,INV001337,2025-08-23,22457.98,UPI,REF633464,Success
PAY000274,INV002546,2025-08-10,29562.24,Bank Transfer,REF927695,Success
PAY000275,INV001377,2026-11-06,10925.99,Credit Card,REF141112,Success
PAY000276,INV001652,2025-07-14,150106.19,Credit Card,REF764613,Failed
PAY000277,INV000877,2025-07-30,283827.87,UPI,REF149292,Success
PAY000278,INV001490,2026-11-08,46146.37,Debit Card,REF842216,Failed
PAY000279,INV002529,2025-08-13,174404.75,Credit Card,REF595553,Success
PAY000280,INV000194,2026-03-10,2782.14,Credit Card,REF746968,Success
PAY000281,INV000482,2026-04-08,43282.75,Bank Transfer,REF597976,Success
PAY000282,INV001528,2026-01-25,13102.12,Cheque,REF948447,Success
PAY000283,INV001290,2026-03-19,11272.93,UPI,REF574934,Failed
PAY000284,INV001300,2026-08-20,86437.47,Credit Card,REF919578,Success
PAY000285,INV001923,2025-03-12,52139.96,Bank Transfer,REF748789,Success
PAY000286,INV001810,2025-06-15,134573.84,Bank Transfer,REF690910,Success
PAY000287,INV001818,2026-02-25,24200.71,Debit Card,REF311352,Success
PAY000288,INV000019,2025-12-27,223177.66,Debit Card,REF891437,Success
PAY000289,INV002546,2025-06-28,33304.31,Cheque,REF828270,Failed
PAY000290,INV000158,2025-07-18,50130.17,Bank Transfer,REF278077,Failed
PAY000291,INV000457,2025-10-09,369970.75,Cheque,REF115745,Success
PAY000292,INV001639,2026-01-30,3884.99,Credit Card,REF418459,Success
PAY000293,INV000104,2025-12-31,55413.78,Cheque,REF183716,Failed
PAY000294,INV001484,2025-04-01,23599.44,Credit Card,REF883766,Success
PAY000295,INV001151,2025-05-09,27467.49,Credit Card,REF698351,Success
PAY000296,INV000520,2025-12-03,124375.49,Credit Card,REF847761,Success
PAY000297,INV000140,2026-07-28,37414.89,Cheque,REF345472,Success
PAY000298,INV000263,2025-08-20,143679.67,Credit Card,REF635885,Success
PAY000299,INV000776,2026-02-03,20068.72,Cheque,REF870984,Success
PAY000300,INV001435,2026-08-22,234445.29,UPI,REF597626,Success
PAY000301,INV002708,2026-05-25,182421.58,Credit Card,REF339976,Success
PAY000302,INV002747,2025-09-08,37414.95,Credit Card,REF735680,Success
PAY000303,INV000330,2025-09-29,135463.89,UPI,REF134987,Success
PAY000304,INV001077,2025-03-23,14299.57,UPI,REF892199,Success
PAY000305,INV001831,2025-06-22,487554.09,UPI,REF903683,Success
PAY000306,INV001728,2026-04-30,18794.63,Cheque,REF846025,Failed
PAY000307,INV002480,2025-04-19,72881.63,Cheque,REF953894,Success
PAY000308,INV000797,2025-06-07,503277.58,Cheque,REF799047,Success
PAY000309,INV002208,2026-06-24,321824.11,UPI,REF546541,Success
PAY000310,INV002110,2026-09-22,12513.51,Debit Card,REF446061,Success
PAY000311,INV000430,2026-11-18,143895.6,Cheque,REF680583,Success
PAY000312,INV001171,2025-07-17,197020.33,Debit Card,REF303571,Success
PAY000313,INV000343,2025-05-22,281200,Cheque,REF901857,Success
PAY000314,INV001202,2025-10-05,12610.94,Debit Card,REF814847,Success
PAY000315,INV000096,2025-06-21,94964.8,Credit Card,REF873459,Success
PAY000316,INV002262,2025-08-30,81620.96,Bank Transfer,REF427220,Success
PAY000317,INV001529,2025-04-07,390375.35,Bank Transfer,REF274726,Success
PAY000318,INV001496,2025-05-03,20560.5,Credit Card,REF546470,Success
PAY000319,INV000616,2025-09-11,141149.31,UPI,REF773645,Success
PAY000320,INV001569,2025-04-25,13578.76,Cheque,REF691910,Success
PAY000321,INV000333,2026-11-26,337512.31,Credit Card,REF231894,Success
PAY000322,INV002408,2026-06-16,25160.96,Cheque,REF441555,Success
PAY000323,INV001631,2025-02-28,96810.32,Debit Card,REF853979,Success
PAY000324,INV001676,2026-02-18,53954.33,Debit Card,REF765414,Success
PAY000325,INV002311,2026-04-19,206164.41,Bank Transfer,REF350351,Success
PAY000326,INV001372,2025-10-30,245115.83,Cheque,REF320823,Success
PAY000327,INV002133,2025-08-05,97548.93,Bank Transfer,REF337749,Success
PAY000328,INV001079,2026-04-11,128385.74,Bank Transfer,REF475028,Success
PAY000329,INV002094,2025-10-16,43328.11,Bank Transfer,REF626069,Success
PAY000330,INV000033,2026-01-13,170290.15,Debit Card,REF550506,Success
PAY000331,INV001319,2026-02-14,371952.21,Cheque,REF570243,Success
PAY000332,INV000144,2026-07-13,229227.07,Bank Transfer,REF985258,Success
PAY000333,INV000338,2026-06-20,218557.56,Bank Transfer,REF275955,Success
PAY000334,INV001636,2026-09-11,45918.81,Debit Card,REF687964,Success
PAY000335,INV002082,2026-03-27,5118.58,Debit Card,REF934830,Success
PAY000336,INV001264,2025-08-09,323241.71,Cheque,REF172875,Success
PAY000337,INV000589,2026-08-21,5326.13,Debit Card,REF915958,Success
PAY000338,INV001416,2026-01-15,79065,Cheque,REF900228,Success
PAY000339,INV000663,2025-07-16,51252.53,UPI,REF261616,Success
PAY000340,INV002351,2025-11-17,18830.06,Credit Card,REF312612,Success
PAY000341,INV001343,2026-11-22,4378.06,Bank Transfer,REF604521,Success
PAY000342,INV002427,2025-06-19,12941.45,Debit Card,REF221896,Success
PAY000343,INV000685,2026-02-16,131518.74,Bank Transfer,REF322928,Success
PAY000344,INV000102,2026-01-17,95763.14,UPI,REF900947,Success
PAY000345,INV000183,2026-07-12,328161.12,Credit Card,REF423494,Success
PAY000346,INV000081,2025-05-26,9236.96,Cheque,REF493486,Success
PAY000347,INV002354,2026-05-05,20174.69,Credit Card,REF109993,Success
PAY000348,INV002243,2025-07-13,45347.74,Bank Transfer,REF199785,Success
PAY000349,INV000840,2026-08-08,176420.23,Credit Card,REF995240,Success
PAY000350,INV001118,2026-10-02,405427.49,Bank Transfer,REF208062,Success
PAY000351,INV001175,2025-08-10,49297.88,Bank Transfer,REF574514,Success
PAY000352,INV000429,2026-04-20,53143.95,Credit Card,REF688386,Success
PAY000353,INV001575,2025-11-16,295154.46,Cheque,REF296094,Success
PAY000354,INV002497,2026-03-24,46555,Bank Transfer,REF779245,Success
PAY000355,INV001824,2025-03-12,23640.98,Bank Transfer,REF951675,Success
PAY000356,INV001188,2026-06-02,235976.63,Debit Card,REF325913,Success
PAY000357,INV001501,2026-11-06,402590.19,UPI,REF171329,Success
PAY000358,INV000272,2026-01-05,320055.44,Cheque,REF948309,Success
PAY000359,INV001076,2025-11-12,16736.25,Cheque,REF464920,Success
PAY000360,INV001318,2025-08-21,89384.46,Credit Card,REF704705,Success
PAY000361,INV000970,2025-05-21,29775.36,Cheque,REF506466,Success
PAY000362,INV001113,2025-04-13,1680.08,UPI,REF453093,Failed
PAY000363,INV001188,2026-04-02,285446.77,Cheque,REF695169,Success
PAY000364,INV001065,2026-04-07,132961.99,UPI,REF104743,Success
PAY000365,INV000154,2025-08-16,36513.49,Cheque,REF671766,Success
PAY000366,INV000007,2025-11-03,59034.47,Bank Transfer,REF978001,Success
PAY000367,INV000091,2025-06-01,179490.96,UPI,REF248048,Success
PAY000368,INV000026,2025-06-18,102208.64,Cheque,REF608702,Failed
PAY000369,INV001932,2026-09-11,32613.72,UPI,REF163405,Success
PAY000370,INV001165,2025-11-14,28240.28,Credit Card,REF283814,Success
PAY000371,INV001357,2025-07-02,293726.64,Cheque,REF502409,Success
PAY000372,INV000749,2025-01-28,3238.12,Credit Card,REF946007,Success
PAY000373,INV001161,2025-09-19,44465.69,UPI,REF118545,Success
PAY000374,INV001568,2025-06-04,31859.35,Bank Transfer,REF750173,Success
PAY000375,INV002641,2026-11-07,169665.96,UPI,REF588245,Success
PAY000376,INV001557,2025-09-16,68687.64,Debit Card,REF248603,Success
PAY000377,INV001370,2026-08-01,120319.75,Bank Transfer,REF688821,Failed
PAY000378,INV002732,2026-06-03,51928.7,Credit Card,REF186634,Success
PAY000379,INV001493,2026-04-07,47958.05,Credit Card,REF587215,Success
